Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Laos,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Laos,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Laos,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Laos,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Laos,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Laos,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Laos,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Laos,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Laos,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Laos,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Laos,Health Care,3003,Average Revenue per User by Segment,Total,USD (US$),Statista,4.514,3.994,3.777,4.071,4.662,5.291,6.529,7.166,7.472,7.658,7.851
Laos,Health Care,3003,Average Revenue per User by Segment,Analgesics,USD (US$),Statista,0.806,0.699,0.624,0.551,0.542,0.504,0.524,0.511,0.493,0.484,0.476
Laos,Health Care,3003,Average Revenue per User by Segment,Cold & Cough Remedies,USD (US$),Statista,0.286,0.246,0.218,0.192,0.187,0.173,0.179,0.174,0.167,0.164,0.16
Laos,Health Care,3003,Average Revenue per User by Segment,Digestives & Intestinal Remedies,USD (US$),Statista,0.282,0.241,0.213,0.186,0.181,0.166,0.171,0.165,0.158,0.154,0.151
Laos,Health Care,3003,Average Revenue per User by Segment,Hand Sanitizer,USD (US$),Statista,1.73,1.674,1.716,2.336,2.586,2.986,3.919,4.671,5.278,5.415,5.623
Laos,Health Care,3003,Average Revenue per User by Segment,Incontinence,USD (US$),Statista,0.11,0.112,0.14,0.211,0.364,0.545,0.774,0.89,0.927,0.976,1.018
Laos,Health Care,3003,Average Revenue per User by Segment,Other Health Care,USD (US$),Statista,6.353,5.616,5.302,5.697,6.489,7.328,9.015,9.882,10.3,10.56,10.83
Laos,Health Care,3003,Average Revenue per User by Segment,Skin Treatment,USD (US$),Statista,3.251,2.716,2.415,2.26,2.53,2.756,3.21,3.28,3.167,3.223,3.248
Laos,Health Care,3003,Average Revenue per User by Segment,Vitamins & Minerals,USD (US$),Statista,1.358,1.227,1.203,1.275,1.625,1.959,2.444,2.627,2.651,2.743,2.815
Laos,Health Care,3003,Revenue,Total,thousand USD (US$),Statista,"1,098","1,187","1,345","1,761","2,327","3,010","4,137","4,948","5,582","6,200","6,832"
Laos,Health Care,3003,Revenue,Analgesics,thousand USD (US$),Statista,39.22,41.53,44.43,47.71,54.07,57.33,66.39,70.54,73.62,78.31,82.67
Laos,Health Care,3003,Revenue,Cold & Cough Remedies,thousand USD (US$),Statista,27.8,29.22,31.06,33.16,37.38,39.43,45.44,48.07,49.96,53.01,55.82
Laos,Health Care,3003,Revenue,Digestives & Intestinal Remedies,thousand USD (US$),Statista,20.61,21.53,22.74,24.13,27.04,28.37,32.52,34.23,35.43,37.48,39.36
Laos,Health Care,3003,Revenue,Hand Sanitizer,thousand USD (US$),Statista,168.4,199,244.4,404.2,516.4,679.4,993.1,"1,290","1,577","1,754","1,957"
