Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Lebanon,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Lebanon,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Lebanon,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Lebanon,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Lebanon,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Lebanon,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Lebanon,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Lebanon,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Lebanon,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Lebanon,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Lebanon,Health Care,3003,Average Revenue per User by Segment,Total,USD (US$),Statista,0.772,0.771,0.776,0.81,1.192,1.699,2.658,3.594,4.254,4.555,4.929
Lebanon,Health Care,3003,Average Revenue per User by Segment,Analgesics,USD (US$),Statista,0.505,0.517,0.552,0.626,0.99,1.375,1.867,2.099,2.169,2.352,2.509
Lebanon,Health Care,3003,Average Revenue per User by Segment,Cold & Cough Remedies,USD (US$),Statista,0.194,0.204,0.231,0.284,0.484,0.709,0.996,1.139,1.188,1.294,1.386
Lebanon,Health Care,3003,Average Revenue per User by Segment,Digestives & Intestinal Remedies,USD (US$),Statista,0.24,0.248,0.27,0.315,0.508,0.708,0.956,1.069,1.102,1.196,1.276
Lebanon,Health Care,3003,Average Revenue per User by Segment,Hand Sanitizer,USD (US$),Statista,0.015,0.016,0.016,0.025,0.039,0.09,0.255,0.528,0.791,0.835,0.923
Lebanon,Health Care,3003,Average Revenue per User by Segment,Incontinence,USD (US$),Statista,0.087,0.081,0.073,0.07,0.085,0.126,0.241,0.384,0.482,0.513,0.559
Lebanon,Health Care,3003,Average Revenue per User by Segment,Other Health Care,USD (US$),Statista,0.98,0.98,0.989,1.033,1.526,2.173,3.388,4.566,5.397,5.779,6.252
Lebanon,Health Care,3003,Average Revenue per User by Segment,Skin Treatment,USD (US$),Statista,0.485,0.474,0.443,0.39,0.465,0.598,1.009,1.534,1.965,2.073,2.248
Lebanon,Health Care,3003,Average Revenue per User by Segment,Vitamins & Minerals,USD (US$),Statista,0.157,0.147,0.133,0.118,0.157,0.255,0.533,0.891,1.149,1.224,1.339
Lebanon,Health Care,3003,Revenue,Total,thousand USD (US$),Statista,453.3,488.2,558.7,650.6,"1,025","1,586","2,639","3,718","4,567","5,108","5,735"
Lebanon,Health Care,3003,Revenue,Analgesics,thousand USD (US$),Statista,59.33,65.45,79.41,100.6,170.3,256.6,370.8,434.4,465.9,527.7,584.1
Lebanon,Health Care,3003,Revenue,Cold & Cough Remedies,thousand USD (US$),Statista,45.61,51.72,66.37,91.16,166.5,264.8,395.4,471.5,510.1,580.4,645.4
Lebanon,Health Care,3003,Revenue,Digestives & Intestinal Remedies,thousand USD (US$),Statista,42.24,47.15,58.34,75.9,131,198.2,284.8,331.8,355.1,402.7,445.9
Lebanon,Health Care,3003,Revenue,Hand Sanitizer,thousand USD (US$),Statista,3.561,4.045,4.744,7.985,13.55,33.79,101.2,218.4,339.6,374.6,429.9
Lebanon,Health Care,3003,Revenue,Incontinence,thousand USD (US$),Statista,10.21,10.29,10.49,11.28,14.57,23.48,47.91,79.52,103.4,115.2,130.2
Lebanon,Health Care,3003,Revenue,Other Health Care,thousand USD (US$),Statista,132.3,142.7,163.7,190.9,301.8,466.6,773.7,"1,086","1,333","1,491","1,674"
