Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Lesotho,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Lesotho,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Lesotho,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Lesotho,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Lesotho,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Lesotho,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Lesotho,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Lesotho,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Lesotho,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Lesotho,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Lesotho,Household Care,3402,Average Revenue per User by Segment,Total,USD (US$),Statista,13.55,11.42,10.99,12.19,13.38,13.39,15.89,18.32,22.68,22.74,23.55
Lesotho,Household Care,3402,Average Revenue per User by Segment,Dishwashing Detergents,USD (US$),Statista,2.737,2.283,2.178,2.504,2.756,2.725,3.2,3.645,4.202,4.242,4.372
Lesotho,Household Care,3402,Average Revenue per User by Segment,Household Cleaners,USD (US$),Statista,2.535,2.139,2.06,2.465,2.753,2.736,3.223,3.681,4.255,4.305,4.444
Lesotho,Household Care,3402,Average Revenue per User by Segment,Household Paper,USD (US$),Statista,0.092,0.077,0.064,0.054,0.048,0.042,0.041,0.04,5.664,5.109,5.61
Lesotho,Household Care,3402,Average Revenue per User by Segment,Laundry Care,USD (US$),Statista,8.878,7.514,7.259,7.829,8.545,8.55,10.15,11.69,13.63,13.74,14.18
Lesotho,Household Care,3402,Average Revenue per User by Segment,Other Household Care,USD (US$),Statista,27.59,23.28,22.43,24.88,27.29,27.21,32.18,36.94,42.9,43.28,44.65
Lesotho,Household Care,3402,Average Revenue per User by Segment,Paper Tissues,USD (US$),Statista,0.495,0.421,0.364,0.309,0.298,0.299,0.315,0.313,0.306,0.301,0.296
Lesotho,Household Care,3402,Average Revenue per User by Segment,"Polishes, Room Scents & Insecticides",USD (US$),Statista,2.73,2.311,2.231,2.383,2.582,2.575,3.052,3.509,4.083,4.115,4.243
Lesotho,Household Care,3402,Average Revenue per User by Segment,Toilet Paper,USD (US$),Statista,1.834,1.505,1.458,1.72,1.936,2.077,2.663,3.336,4.231,4.278,4.473
Lesotho,Household Care,3402,Revenue,Total,thousand USD (US$),Statista,551.7,571.2,670.1,878.8,"1,103","1,247","1,615","1,984","2,607","2,821","3,121"
Lesotho,Household Care,3402,Revenue,Dishwashing Detergents,thousand USD (US$),Statista,46.8,47.96,55.77,75.8,95.42,106.6,136.6,165.7,202.9,221,243.3
