Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Lithuania,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Lithuania,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Lithuania,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Lithuania,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Lithuania,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Lithuania,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Lithuania,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Lithuania,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Lithuania,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Lithuania,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Lithuania,Household Care,3402,Average Revenue per User by Segment,Total,USD (US$),Statista,49.12,48.18,47.77,51.76,53.91,62.42,91.18,123.9,169.5,175.8,189.6
Lithuania,Household Care,3402,Average Revenue per User by Segment,Dishwashing Detergents,USD (US$),Statista,4.449,4.318,4.236,4.857,5.198,5.785,8.123,10.62,14,14.41,15.35
Lithuania,Household Care,3402,Average Revenue per User by Segment,Household Cleaners,USD (US$),Statista,7.838,7.608,7.462,8.734,9.458,10.57,14.92,19.59,25.95,26.73,28.51
Lithuania,Household Care,3402,Average Revenue per User by Segment,Household Paper,USD (US$),Statista,21.48,21.4,21.55,22.66,23.35,28.59,43.96,62.59,89.28,91.74,98.58
Lithuania,Household Care,3402,Average Revenue per User by Segment,Laundry Care,USD (US$),Statista,26.48,25.7,25.21,26.81,27.48,30.65,43.13,56.49,74.63,76.6,81.5
Lithuania,Household Care,3402,Average Revenue per User by Segment,Other Household Care,USD (US$),Statista,91.4,89.65,88.88,96.31,100.3,116.1,169.6,230.5,315.4,324.2,346.7
Lithuania,Household Care,3402,Average Revenue per User by Segment,Paper Tissues,USD (US$),Statista,2.919,2.909,2.929,3.173,3.322,4.07,6.262,8.922,12.73,13.1,14.08
Lithuania,Household Care,3402,Average Revenue per User by Segment,"Polishes, Room Scents & Insecticides",USD (US$),Statista,5.15,4.999,4.903,5.167,5.27,5.902,8.34,10.97,14.56,14.94,15.9
Lithuania,Household Care,3402,Average Revenue per User by Segment,Toilet Paper,USD (US$),Statista,16.03,15.97,16.08,17.44,18.28,22.22,33.91,47.91,67.83,69.77,74.95
Lithuania,Household Care,3402,Revenue,Total,million USD (US$),Statista,7.079,7.61,8.265,9.867,11.29,14.13,21.84,30.92,44.02,47.75,53.52
Lithuania,Household Care,3402,Revenue,Dishwashing Detergents,million USD (US$),Statista,0.269,0.286,0.308,0.389,0.457,0.55,0.817,1.113,1.527,1.659,1.852
Lithuania,Household Care,3402,Revenue,Household Cleaners,million USD (US$),Statista,0.508,0.541,0.581,0.749,0.891,1.077,1.608,2.2,3.033,3.296,3.685
Lithuania,Household Care,3402,Revenue,Household Paper,million USD (US$),Statista,0.712,0.777,0.858,0.994,1.125,1.489,2.422,3.593,5.333,5.783,6.513
Lithuania,Household Care,3402,Revenue,Laundry Care,million USD (US$),Statista,1.526,1.624,1.745,2.044,2.302,2.776,4.132,5.64,7.753,8.398,9.364
Lithuania,Household Care,3402,Revenue,Other Household Care,million USD (US$),Statista,2.897,3.115,3.383,4.039,4.622,5.785,8.939,12.66,18.02,19.54,21.91
Lithuania,Household Care,3402,Revenue,Paper Tissues,million USD (US$),Statista,0.135,0.147,0.162,0.194,0.223,0.295,0.48,0.713,1.058,1.148,1.294
Lithuania,Household Care,3402,Revenue,"Polishes, Room Scents & Insecticides",million USD (US$),Statista,0.223,0.237,0.255,0.295,0.331,0.401,0.599,0.822,1.134,1.228,1.37
Lithuania,Household Care,3402,Revenue,Toilet Paper,million USD (US$),Statista,0.808,0.883,0.974,1.164,1.34,1.761,2.843,4.185,6.165,6.692,7.535
Lithuania,Household Care,3402,Revenue Change,Total,percent,Statista,,7.501,8.607,19.383,14.422,25.155,54.565,41.575,42.367,8.473,12.084
Lithuania,Household Care,3402,Revenue Change,Dishwashing Detergents,percent,Statista,,6.387,7.435,26.348,17.562,20.319,48.555,36.197,37.197,8.644,11.634
Lithuania,Household Care,3402,Revenue Change,Household Cleaners,percent,Statista,,6.374,7.472,28.928,18.967,20.835,49.304,36.816,37.864,8.671,11.802
Lithuania,Household Care,3402,Revenue Change,Household Paper,percent,Statista,,9.23,10.315,15.833,13.236,32.356,62.66,48.348,48.427,8.438,12.623
Lithuania,Household Care,3402,Revenue Change,Laundry Care,percent,Statista,,6.422,7.451,17.135,12.622,20.591,48.847,36.496,37.465,8.319,11.503
Lithuania,Household Care,3402,Revenue Change,Other Household Care,percent,Statista,,7.525,8.604,19.391,14.434,25.162,54.52,41.627,42.338,8.435,12.129
Lithuania,Household Care,3402,Revenue Change,Paper Tissues,percent,Statista,,9.212,10.34,19.297,15.039,32.48,62.767,48.438,48.491,8.507,12.718
Lithuania,Household Care,3402,Revenue Change,"Polishes, Room Scents & Insecticides",percent,Statista,,6.379,7.475,16.11,12.047,21.081,49.489,37.093,38.023,8.289,11.564
Lithuania,Household Care,3402,Revenue Change,Toilet Paper,percent,Statista,,9.229,10.318,19.507,15.12,31.418,61.442,47.204,47.312,8.548,12.597
Lithuania,Household Care,3402,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Lithuania,Household Care,3402,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Lithuania,Household Care,3402,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Lithuania,Household Care,3402,Online & Offline Split,Offline,percent,Statista,97.057,96.889,96.677,96.137,95.691,94.244,92.201,89.431,85.725,,
Lithuania,Household Care,3402,Online & Offline Split,Online,percent,Statista,2.943,3.111,3.323,3.863,4.309,5.756,7.799,10.569,14.275,,
Lithuania,Household Care,3402,Mobile/Desktop Split,Desktop,percent,Statista,65.186,62.496,60.274,58.868,57.646,56.856,56.345,55.861,55.381,,
Lithuania,Household Care,3402,Mobile/Desktop Split,Mobile,percent,Statista,34.814,37.504,39.726,41.132,42.354,43.144,43.655,44.139,44.619,,
