Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Luxembourg,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Luxembourg,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Luxembourg,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Luxembourg,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Luxembourg,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Luxembourg,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Luxembourg,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Luxembourg,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Luxembourg,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Luxembourg,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Luxembourg,Household Care,3402,Average Revenue per User by Segment,Total,USD (US$),Statista,83.05,80.86,79.85,89.51,96.18,104,139.6,171.1,208.9,215.4,227.3
Luxembourg,Household Care,3402,Average Revenue per User by Segment,Dishwashing Detergents,USD (US$),Statista,18.31,17.83,17.61,20.64,22.7,24.39,32.5,39.56,47.96,49.55,52.3
Luxembourg,Household Care,3402,Average Revenue per User by Segment,Household Cleaners,USD (US$),Statista,23.96,23.2,22.79,27.22,30.24,32.43,43.11,52.33,63.29,65.42,69.05
Luxembourg,Household Care,3402,Average Revenue per User by Segment,Household Paper,USD (US$),Statista,4.618,4.297,4.071,3.954,3.925,3.631,4.034,4.013,3.938,3.923,3.904
Luxembourg,Household Care,3402,Average Revenue per User by Segment,Laundry Care,USD (US$),Statista,49.01,47.75,47.16,51.28,54.02,58.41,78.43,96.28,117.7,121.2,127.8
Luxembourg,Household Care,3402,Average Revenue per User by Segment,Other Household Care,USD (US$),Statista,123.6,120.1,118.3,133.1,143.1,154.1,206.1,251.8,306.4,315.9,333.3
Luxembourg,Household Care,3402,Average Revenue per User by Segment,Paper Tissues,USD (US$),Statista,0.232,0.217,0.205,0.198,0.216,0.294,0.612,1.036,1.356,1.418,1.528
Luxembourg,Household Care,3402,Average Revenue per User by Segment,"Polishes, Room Scents & Insecticides",USD (US$),Statista,19.37,18.67,18.26,19.42,20.11,21.69,29.09,35.67,43.57,44.78,47.18
