Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Malawi,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Malawi,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),Carvana Co.,billion USD (US$),Statista Company DB,0.859,1.955,3.94,5.587,12.81,,,,,,
Malawi,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Chewy, Inc.",billion USD (US$),Statista Company DB,2.104,3.533,4.847,7.146,,,,,,,
Malawi,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),Costco Wholesale Corp.,billion USD (US$),Statista Company DB,129,141.6,152.7,166.8,195.9,,,,,,
Malawi,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Malawi,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Nike, Inc.",billion USD (US$),Statista Company DB,36.4,39.12,37.4,44.54,,,,,,,
Malawi,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Malawi,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"The Home Depot, Inc.",billion USD (US$),Statista Company DB,100.9,108.2,110.2,132.1,151.2,,,,,,
Malawi,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"W.W. Grainger, Inc.",billion USD (US$),Statista Company DB,10.42,11.22,11.49,11.8,13.02,,,,,,
Malawi,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Malawi,"Toys, Hobby & DIY",950,Revenue,Total,million USD (US$),Statista,2.991,3.975,5.373,8.905,12.32,14.7,19.7,24.85,31.05,34.28,38.16
Malawi,"Toys, Hobby & DIY",950,Revenue,"DIY, Garden & Pets",million USD (US$),Statista,0.171,0.23,0.324,0.585,0.829,1.009,1.322,1.549,1.828,2.035,2.257
Malawi,"Toys, Hobby & DIY",950,Revenue,Hobby & Stationery,million USD (US$),Statista,1.347,1.74,2.248,3.569,4.51,5.13,6.542,8.018,9.737,10.68,11.78
Malawi,"Toys, Hobby & DIY",950,Revenue,Sports & Outdoor,million USD (US$),Statista,0.502,0.677,0.942,1.67,2.551,2.92,3.856,4.793,5.894,6.53,7.265
Malawi,"Toys, Hobby & DIY",950,Revenue,Toys & Baby,million USD (US$),Statista,0.971,1.327,1.86,3.082,4.425,5.642,7.98,10.49,13.59,15.04,16.85
Malawi,"Toys, Hobby & DIY",950,Revenue Change,Total,percent,Statista,,32.899,35.17,65.736,38.349,19.318,34.014,26.142,24.95,10.403,11.319
Malawi,"Toys, Hobby & DIY",950,Revenue Change,"DIY, Garden & Pets",percent,Statista,,34.62,40.66,80.544,41.858,21.669,31.021,17.171,18.012,11.324,10.909
Malawi,"Toys, Hobby & DIY",950,Revenue Change,Hobby & Stationery,percent,Statista,,29.176,29.195,58.763,26.366,13.747,27.524,22.562,21.439,9.685,10.3
Malawi,"Toys, Hobby & DIY",950,Revenue Change,Sports & Outdoor,percent,Statista,,34.88,39.064,77.358,52.754,14.465,32.055,24.3,22.971,10.791,11.256
Malawi,"Toys, Hobby & DIY",950,Revenue Change,Toys & Baby,percent,Statista,,36.72,40.166,65.699,43.576,27.503,41.439,31.454,29.552,10.67,12.035
Malawi,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,Total,USD (US$),Statista,8.768,8.315,7.86,9.376,9.445,8.484,9.021,9.447,10.03,9.962,10.01
Malawi,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,"DIY, Garden & Pets",USD (US$),Statista,0.742,0.721,0.718,0.947,0.986,0.902,0.945,0.918,0.92,0.922,0.923
Malawi,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,Hobby & Stationery,USD (US$),Statista,6.739,6.106,5.395,6.061,5.484,4.643,4.581,4.682,4.844,4.769,4.742
Malawi,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,Sports & Outdoor,USD (US$),Statista,3.192,2.978,2.817,3.516,3.829,3.245,3.39,3.455,3.575,3.561,3.568
Malawi,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,Toys & Baby,USD (US$),Statista,6.049,6.284,6.531,8.112,8.848,8.775,10.19,11.22,12.43,12.45,12.64
Malawi,"Toys, Hobby & DIY",950,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Malawi,"Toys, Hobby & DIY",950,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Malawi,"Toys, Hobby & DIY",950,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Malawi,"Toys, Hobby & DIY",950,Online & Offline Split,Offline,percent,Statista,99.434,99.355,99.246,98.915,98.666,98.452,98.207,97.926,97.615,,
Malawi,"Toys, Hobby & DIY",950,Online & Offline Split,Online,percent,Statista,0.566,0.645,0.754,1.085,1.334,1.548,1.793,2.074,2.385,,
Malawi,"Toys, Hobby & DIY",950,Mobile/Desktop Split,Desktop,percent,Statista,96.35,96.043,96.082,95.955,96.056,95.965,95.848,95.699,95.533,,
Malawi,"Toys, Hobby & DIY",950,Mobile/Desktop Split,Mobile,percent,Statista,3.65,3.957,3.918,4.045,3.944,4.035,4.152,4.301,4.467,,
Malawi,"Toys, Hobby & DIY",950,Users by Segment,Total,million users,Statista,0.341,0.478,0.684,0.95,1.304,1.733,2.184,2.63,3.097,3.442,3.813
Malawi,"Toys, Hobby & DIY",950,Users by Segment,"DIY, Garden & Pets",million users,Statista,0.23,0.32,0.451,0.617,0.841,1.118,1.399,1.687,1.987,2.207,2.444
Malawi,"Toys, Hobby & DIY",950,Users by Segment,Hobby & Stationery,million users,Statista,0.2,0.285,0.417,0.589,0.822,1.105,1.428,1.713,2.01,2.239,2.484
Malawi,"Toys, Hobby & DIY",950,Users by Segment,Sports & Outdoor,million users,Statista,0.157,0.227,0.334,0.475,0.666,0.9,1.137,1.387,1.648,1.834,2.036
Malawi,"Toys, Hobby & DIY",950,Users by Segment,Toys & Baby,million users,Statista,0.16,0.211,0.285,0.38,0.5,0.643,0.783,0.935,1.093,1.208,1.333
Malawi,"Toys, Hobby & DIY",950,Penetration Rate by Segment,"DIY, Garden & Pets",percent,Statista,1.304,1.761,2.422,3.227,4.283,5.538,6.748,7.923,9.093,9.834,10.612
Malawi,"Toys, Hobby & DIY",950,Penetration Rate by Segment,Hobby & Stationery,percent,Statista,1.131,1.571,2.237,3.078,4.186,5.474,6.89,8.045,9.196,9.981,10.788
Malawi,"Toys, Hobby & DIY",950,Penetration Rate by Segment,Sports & Outdoor,percent,Statista,0.89,1.253,1.794,2.483,3.39,4.459,5.488,6.516,7.542,8.174,8.843
Malawi,"Toys, Hobby & DIY",950,Penetration Rate by Segment,"Toys, Hobby & DIY",percent,Statista,1.931,2.635,3.67,4.965,6.636,8.586,10.535,12.356,14.169,15.339,16.56
Malawi,"Toys, Hobby & DIY",950,Penetration Rate by Segment,Toys & Baby,percent,Statista,0.908,1.164,1.528,1.986,2.545,3.186,3.777,4.39,5.001,5.386,5.79
Malawi,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Malawi,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Malawi,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),BANDAI NAMCO Holdings Inc.,billion USD (US$),Statista Company DB,6.047,6.632,6.642,6.939,,,,,,,
