Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Malaysia,"Toys, Hobby & DIY",950,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,12.722,,,,,,
Malaysia,"Toys, Hobby & DIY",950,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,34.911,,,,,,
Malaysia,"Toys, Hobby & DIY",950,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,31.953,,,,,,
Malaysia,"Toys, Hobby & DIY",950,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,14.201,,,,,,
Malaysia,"Toys, Hobby & DIY",950,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,6.21,,,,,,
Malaysia,"Toys, Hobby & DIY",950,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,44.379,,,,,,
Malaysia,"Toys, Hobby & DIY",950,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,55.621,,,,,,
Malaysia,"Toys, Hobby & DIY",950,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,38.095,,,,,,
Malaysia,"Toys, Hobby & DIY",950,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,46.032,,,,,,
Malaysia,"Toys, Hobby & DIY",950,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,15.873,,,,,,
Malaysia,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Malaysia,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),Carvana Co.,billion USD (US$),Statista Company DB,0.859,1.955,3.94,5.587,12.81,,,,,,
Malaysia,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Chewy, Inc.",billion USD (US$),Statista Company DB,2.104,3.533,4.847,7.146,,,,,,,
Malaysia,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),Costco Wholesale Corp.,billion USD (US$),Statista Company DB,129,141.6,152.7,166.8,195.9,,,,,,
Malaysia,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Malaysia,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Nike, Inc.",billion USD (US$),Statista Company DB,36.4,39.12,37.4,44.54,,,,,,,
Malaysia,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Malaysia,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"The Home Depot, Inc.",billion USD (US$),Statista Company DB,100.9,108.2,110.2,132.1,151.2,,,,,,
Malaysia,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"W.W. Grainger, Inc.",billion USD (US$),Statista Company DB,10.42,11.22,11.49,11.8,13.02,,,,,,
Malaysia,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Malaysia,"Toys, Hobby & DIY",950,Revenue,Total,million USD (US$),Statista,271,376.3,491.9,736.9,"1,021","1,108","1,348","1,541","1,762","1,942","2,130"
Malaysia,"Toys, Hobby & DIY",950,Revenue,"DIY, Garden & Pets",million USD (US$),Statista,127.5,175.9,221.6,335.5,419.4,458.2,554.2,619,686.5,756.8,826
Malaysia,"Toys, Hobby & DIY",950,Revenue,Hobby & Stationery,million USD (US$),Statista,48.45,67.12,89.53,126.8,188.7,206.3,255.4,300.3,354.1,390.7,430.9
Malaysia,"Toys, Hobby & DIY",950,Revenue,Sports & Outdoor,million USD (US$),Statista,29.19,40.95,55.86,90.52,154,158.3,184.2,203.9,226.5,249,270.7
Malaysia,"Toys, Hobby & DIY",950,Revenue,Toys & Baby,million USD (US$),Statista,65.9,92.29,124.9,184,259.2,285,354.4,418.2,494.8,545.9,602.2
Malaysia,"Toys, Hobby & DIY",950,Revenue Change,Total,percent,Statista,,38.856,30.72,49.807,38.553,8.521,21.661,14.318,14.341,10.216,9.681
Malaysia,"Toys, Hobby & DIY",950,Revenue Change,"DIY, Garden & Pets",percent,Statista,,37.961,25.981,51.399,25.007,9.251,20.952,11.693,10.905,10.24,9.144
Malaysia,"Toys, Hobby & DIY",950,Revenue Change,Hobby & Stationery,percent,Statista,,38.535,33.388,41.629,48.817,9.327,23.8,17.58,17.915,10.336,10.289
Malaysia,"Toys, Hobby & DIY",950,Revenue Change,Sports & Outdoor,percent,Statista,,40.288,36.41,62.048,70.128,2.792,16.361,10.695,11.084,9.934,8.715
Malaysia,"Toys, Hobby & DIY",950,Revenue Change,Toys & Baby,percent,Statista,,40.046,35.334,47.318,40.87,9.954,24.351,18.002,18.317,10.327,10.313
Malaysia,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,Total,USD (US$),Statista,63.14,74.03,82.74,106.7,126.7,119.3,128.6,133.8,140,142.5,145.2
Malaysia,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,"DIY, Garden & Pets",USD (US$),Statista,44.51,52.24,56.81,74.74,81.06,77.9,84.18,86.06,87.86,89.73,91.26
Malaysia,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,Hobby & Stationery,USD (US$),Statista,18.48,21.54,24.4,29.62,37.41,35.11,38.1,40.39,43.28,44,44.94
Malaysia,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,Sports & Outdoor,USD (US$),Statista,13.66,16.13,18.77,26.21,38.31,34.22,35.41,35.71,36.38,36.94,37.33
Malaysia,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,Toys & Baby,USD (US$),Statista,37.89,45.13,52.52,66.61,80.07,76.32,84.16,90.58,98.32,100.2,102.7
Malaysia,"Toys, Hobby & DIY",950,Comparable Estimates - eCommerce (Malaysia),*Statista,billion USD (US$),,2.266,3.171,4.278,6.144,8.574,9.078,11.65,13.85,16.5,18.07,19.84
Malaysia,"Toys, Hobby & DIY",950,Comparable Estimates - eCommerce (Malaysia),UNCTAD,billion USD (US$),,,,19,,,,,,,,
Malaysia,"Toys, Hobby & DIY",950,Online & Offline Split,Offline,percent,Statista,97.696,97.006,96.238,94.469,93.085,92.368,91.662,90.949,90.166,,
Malaysia,"Toys, Hobby & DIY",950,Online & Offline Split,Online,percent,Statista,2.304,2.994,3.762,5.531,6.915,7.632,8.338,9.051,9.834,,
Malaysia,"Toys, Hobby & DIY",950,Mobile/Desktop Split,Desktop,percent,Statista,56.944,54.683,53.154,51.602,51.005,50.49,49.818,49.231,48.633,,
Malaysia,"Toys, Hobby & DIY",950,Mobile/Desktop Split,Mobile,percent,Statista,43.056,45.317,46.846,48.398,48.995,49.51,50.182,50.769,51.367,,
Malaysia,"Toys, Hobby & DIY",950,Users by Segment,Total,million users,Statista,4.292,5.083,5.945,6.906,8.061,9.288,10.48,11.522,12.584,13.627,14.67
Malaysia,"Toys, Hobby & DIY",950,Users by Segment,"DIY, Garden & Pets",million users,Statista,2.864,3.367,3.9,4.489,5.174,5.883,6.583,7.192,7.813,8.434,9.051
Malaysia,"Toys, Hobby & DIY",950,Users by Segment,Hobby & Stationery,million users,Statista,2.622,3.117,3.67,4.282,5.045,5.876,6.702,7.434,8.181,8.88,9.588
Malaysia,"Toys, Hobby & DIY",950,Users by Segment,Sports & Outdoor,million users,Statista,2.136,2.539,2.975,3.453,4.021,4.625,5.202,5.709,6.226,6.74,7.251
Malaysia,"Toys, Hobby & DIY",950,Users by Segment,Toys & Baby,million users,Statista,1.739,2.045,2.379,2.762,3.237,3.734,4.21,4.617,5.032,5.449,5.863
Malaysia,"Toys, Hobby & DIY",950,Penetration Rate by Segment,"DIY, Garden & Pets",percent,Statista,9.208,10.679,12.207,13.87,15.786,17.729,19.605,21.173,22.747,24.291,25.801
Malaysia,"Toys, Hobby & DIY",950,Penetration Rate by Segment,Hobby & Stationery,percent,Statista,8.429,9.885,11.486,13.229,15.392,17.709,19.958,21.884,23.817,25.577,27.331
Malaysia,"Toys, Hobby & DIY",950,Penetration Rate by Segment,Sports & Outdoor,percent,Statista,6.868,8.053,9.312,10.669,12.267,13.94,15.493,16.807,18.125,19.412,20.671
Malaysia,"Toys, Hobby & DIY",950,Penetration Rate by Segment,"Toys, Hobby & DIY",percent,Statista,13.8,16.121,18.607,21.338,24.593,27.991,31.209,33.919,36.635,39.249,41.817
Malaysia,"Toys, Hobby & DIY",950,Penetration Rate by Segment,Toys & Baby,percent,Statista,5.591,6.486,7.445,8.535,9.875,11.254,12.539,13.593,14.65,15.693,16.712
Malaysia,Toys & Baby,9503,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,5.56,,,,,,
Malaysia,Toys & Baby,9503,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,40.278,,,,,,
Malaysia,Toys & Baby,9503,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,43.75,,,,,,
Malaysia,Toys & Baby,9503,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,9.03,,,,,,
Malaysia,Toys & Baby,9503,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,1.39,,,,,,
Malaysia,Toys & Baby,9503,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,44.444,,,,,,
Malaysia,Toys & Baby,9503,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,55.556,,,,,,
Malaysia,Toys & Baby,9503,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,50,,,,,,
Malaysia,Toys & Baby,9503,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,31.818,,,,,,
Malaysia,Toys & Baby,9503,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,18.182,,,,,,
Malaysia,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Malaysia,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Malaysia,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),BANDAI NAMCO Holdings Inc.,billion USD (US$),Statista Company DB,6.047,6.632,6.642,6.939,,,,,,,
Malaysia,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Build-A-Bear Workshop, Inc.",billion USD (US$),Statista Company DB,0.358,0.337,0.339,0.255,,,,,,,
Malaysia,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Carter'S, Inc.",billion USD (US$),Statista Company DB,3.444,3.501,3.554,3.051,3.523,,,,,,
Malaysia,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Costco Wholesale Corp.,billion USD (US$),Statista Company DB,129,141.6,152.7,166.8,195.9,,,,,,
Malaysia,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Malaysia,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Malaysia,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Malaysia,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Malaysia,Toys & Baby,9503,Revenue,Total,million USD (US$),Statista,65.9,92.29,124.9,184,259.2,285,354.4,418.2,494.8,545.9,602.2
Malaysia,Toys & Baby,9503,Revenue,Baby,million USD (US$),Statista,8.32,11.57,15.73,24.39,34.44,36.9,44.63,51.15,58.67,64.81,71.19
Malaysia,Toys & Baby,9503,Revenue,Other Toys & Baby,million USD (US$),Statista,27.96,39.16,53.01,78.08,110,120.9,150.4,177.5,209.9,231.6,255.5
Malaysia,Toys & Baby,9503,Revenue,Toys,million USD (US$),Statista,29.62,41.56,56.19,81.54,114.8,127.2,159.4,189.6,226.2,249.4,275.5
Malaysia,Toys & Baby,9503,Revenue Change,Total,percent,Statista,,40.046,35.334,47.318,40.87,9.954,24.351,18.002,18.317,10.327,10.313
Malaysia,Toys & Baby,9503,Revenue Change,Baby,percent,Statista,,39.062,35.955,55.054,41.205,7.143,20.949,14.609,14.702,10.465,9.844
Malaysia,Toys & Baby,9503,Revenue Change,Other Toys & Baby,percent,Statista,,40.057,35.368,47.293,40.881,9.909,24.4,18.019,18.254,10.338,10.32
Malaysia,Toys & Baby,9503,Revenue Change,Toys,percent,Statista,,40.311,35.202,45.115,40.79,10.801,25.314,18.946,19.304,10.256,10.465
Malaysia,Toys & Baby,9503,Average Revenue per User,Total,USD (US$),Statista,37.89,45.13,52.52,66.61,80.07,76.32,84.16,90.58,98.32,100.2,102.7
Malaysia,Toys & Baby,9503,Average Revenue per User,Baby,USD (US$),Statista,7.973,9.431,11.02,14.71,17.74,16.47,17.67,18.46,19.43,19.82,20.24
Malaysia,Toys & Baby,9503,Average Revenue per User,Other Toys & Baby,USD (US$),Statista,89.32,106.4,123.8,157,188.8,179.9,198.4,213.5,231.8,236.2,242.1
Malaysia,Toys & Baby,9503,Average Revenue per User,Toys,USD (US$),Statista,21.29,25.4,29.53,36.89,44.32,42.57,47.31,51.33,56.18,57.22,58.74
Malaysia,Toys & Baby,9503,Comparable Estimates - eCommerce (Malaysia),*Statista,billion USD (US$),,2.266,3.171,4.278,6.144,8.574,9.078,11.65,13.85,16.5,18.07,19.84
Malaysia,Toys & Baby,9503,Comparable Estimates - eCommerce (Malaysia),UNCTAD,billion USD (US$),,,,19,,,,,,,,
Malaysia,Toys & Baby,9503,Online & Offline Split,Offline,percent,Statista,91.52,88.948,86.053,81.508,76.311,73.514,71.128,68.368,65.316,,
Malaysia,Toys & Baby,9503,Online & Offline Split,Online,percent,Statista,8.48,11.052,13.947,18.492,23.689,26.486,28.872,31.632,34.684,,
Malaysia,Toys & Baby,9503,Mobile/Desktop Split,Desktop,percent,Statista,49.34,46.664,44.857,43.065,42.315,41.857,41.223,40.696,40.164,,
Malaysia,Toys & Baby,9503,Mobile/Desktop Split,Mobile,percent,Statista,50.66,53.336,55.143,56.935,57.685,58.143,58.777,59.304,59.836,,
