Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Moldova,Apparel,6104,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Moldova,Apparel,6104,Top Company Revenues (Worldwide & Consolidated),Asos Plc,billion USD (US$),Statista Company DB,2.478,3.229,3.491,4.187,5.437,,,,,,
Moldova,Apparel,6104,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Moldova,Apparel,6104,Top Company Revenues (Worldwide & Consolidated),Gap,billion USD (US$),Statista Company DB,15.86,16.58,16.38,13.8,16.67,,,,,,
Moldova,Apparel,6104,Top Company Revenues (Worldwide & Consolidated),Hennes & Mauritz Ab,billion USD (US$),Statista Company DB,23.4,24.2,24.61,20.31,,,,,,,
Moldova,Apparel,6104,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Moldova,Apparel,6104,Top Company Revenues (Worldwide & Consolidated),Kohls,billion USD (US$),Statista Company DB,19.1,20.23,19.97,15.96,19.43,,,,,,
Moldova,Apparel,6104,Top Company Revenues (Worldwide & Consolidated),Macy'S,billion USD (US$),Statista Company DB,24.84,25.75,25.33,18.1,,,,,,,
Moldova,Apparel,6104,Top Company Revenues (Worldwide & Consolidated),"Nordstrom, Inc.",billion USD (US$),Statista Company DB,15.48,15.86,15.52,10.72,14.79,,,,,,
Moldova,Apparel,6104,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Moldova,Apparel,6104,Revenue,Total,million USD (US$),Statista,73.9,84.03,101.6,137.8,169.5,183.5,241,286.4,340.4,372.3,409.1
Moldova,Apparel,6104,Revenue,Children's Apparel,million USD (US$),Statista,9.102,10.4,12.65,17.36,20.7,22.73,30.2,36.22,43.31,47.39,52.14
Moldova,Apparel,6104,Revenue,Luxury Apparel,million USD (US$),Statista,0.392,0.478,0.559,0.849,0.95,0.998,1.313,1.593,1.938,2.114,2.327
Moldova,Apparel,6104,Revenue,Men's Apparel,million USD (US$),Statista,23.14,26.55,32.28,43.77,53.69,57.94,75.98,90.22,107.1,117.2,128.7
Moldova,Apparel,6104,Revenue,Other Apparel,million USD (US$),Statista,5.978,6.816,8.262,11.25,13.97,15.21,20.05,23.92,28.53,31.23,34.34
Moldova,Apparel,6104,Revenue,Women's Apparel,million USD (US$),Statista,35.28,39.79,47.85,64.58,80.15,86.63,113.4,134.5,159.5,174.4,191.5
Moldova,Apparel,6104,Revenue Change,Total,percent,Statista,,13.708,20.909,35.63,23.004,8.26,31.335,18.838,18.855,9.371,9.885
Moldova,Apparel,6104,Revenue Change,Children's Apparel,percent,Statista,,14.261,21.635,37.233,19.24,9.807,32.864,19.934,19.575,9.42,10.023
Moldova,Apparel,6104,Revenue Change,Luxury Apparel,percent,Statista,,21.862,16.998,51.852,11.924,5.095,31.524,21.325,21.657,9.082,10.076
Moldova,Apparel,6104,Revenue Change,Men's Apparel,percent,Statista,,14.736,21.582,35.595,22.664,7.916,31.136,18.742,18.71,9.43,9.812
Moldova,Apparel,6104,Revenue Change,Other Apparel,percent,Statista,,14.018,21.215,36.166,24.178,8.876,31.821,19.302,19.273,9.464,9.958
Moldova,Apparel,6104,Revenue Change,Women's Apparel,percent,Statista,,12.783,20.256,34.963,24.11,8.085,30.902,18.607,18.587,9.342,9.805
Moldova,Apparel,6104,Average Revenue per User,Total,USD (US$),Statista,133.9,133.9,143.1,172.7,192.3,191.5,234.7,263.5,296.7,308.1,323.1
Moldova,Apparel,6104,Average Revenue per User,Children's Apparel,USD (US$),Statista,27.48,27.63,29.7,36.26,39.13,39.54,49.01,55.52,62.92,65.36,68.65
Moldova,Apparel,6104,Average Revenue per User,Luxury Apparel,USD (US$),Statista,3.551,3.807,3.937,5.317,5.389,5.21,6.394,7.324,8.447,8.667,9.033
Moldova,Apparel,6104,Average Revenue per User,Men's Apparel,USD (US$),Statista,139.7,141,151.6,182.8,203.1,201.6,246.6,276.6,311.3,323.1,338.7
Moldova,Apparel,6104,Average Revenue per User,Other Apparel,USD (US$),Statista,54.15,54.32,58.2,70.5,79.22,79.35,97.63,110,124.3,128,133.3
Moldova,Apparel,6104,Average Revenue per User,Women's Apparel,USD (US$),Statista,159.8,158.5,168.5,202.3,227.3,226.1,276.2,309.2,347.6,360.7,378.1
Moldova,Apparel,6104,Comparable Estimates - Apparel (Worldwide),*Statista,trillion USD (US$),,0.288,0.318,0.352,0.437,0.513,0.503,0.613,0.687,0.77,0.82,0.878
Moldova,Apparel,6104,Comparable Estimates - Apparel (Worldwide),The BRC,trillion USD (US$),,,,,,0.551,0.605,,,,0.843,
Moldova,Apparel,6104,Online & Offline Split,Offline,percent,Statista,86.194,85.057,83.348,74.175,69.853,70.55,68.207,64.199,59.579,,
Moldova,Apparel,6104,Online & Offline Split,Online,percent,Statista,13.806,14.943,16.652,25.825,30.147,29.45,31.793,35.801,40.421,,
Moldova,Apparel,6104,Mobile/Desktop Split,Desktop,percent,Statista,61.898,60.661,59.465,58.358,57.367,56.497,55.746,55.104,54.56,,
Moldova,Apparel,6104,Mobile/Desktop Split,Mobile,percent,Statista,38.102,39.339,40.535,41.642,42.633,43.503,44.254,44.896,45.44,,
Moldova,Apparel,6104,Users,Total,million users,Statista,0.552,0.627,0.71,0.798,0.881,0.958,1.027,1.087,1.147,1.208,1.266
Moldova,Apparel,6104,Users,Children's Apparel,million users,Statista,0.331,0.376,0.426,0.479,0.529,0.575,0.616,0.652,0.688,0.725,0.76
Moldova,Apparel,6104,Users,Luxury Apparel,million users,Statista,0.11,0.125,0.142,0.16,0.176,0.192,0.205,0.217,0.229,0.244,0.258
Moldova,Apparel,6104,Users,Men's Apparel,million users,Statista,0.166,0.188,0.213,0.239,0.264,0.287,0.308,0.326,0.344,0.363,0.38
Moldova,Apparel,6104,Users,Other Apparel,million users,Statista,0.11,0.125,0.142,0.16,0.176,0.192,0.205,0.217,0.229,0.244,0.258
Moldova,Apparel,6104,Users,Women's Apparel,million users,Statista,0.221,0.251,0.284,0.319,0.353,0.383,0.411,0.435,0.459,0.483,0.507
Moldova,Apparel,6104,Penetration Rate,Apparel,percent,Statista,13.597,15.486,17.554,19.784,21.903,23.873,25.664,27.26,28.865,30.525,32.112
Moldova,Apparel,6104,Penetration Rate,Children's Apparel,percent,Statista,8.158,9.291,10.533,11.871,13.142,14.324,15.398,16.356,17.319,18.315,19.268
Moldova,Apparel,6104,Penetration Rate,Luxury Apparel,percent,Statista,2.719,3.097,3.511,3.957,4.381,4.775,5.133,5.452,5.773,6.161,6.535
Moldova,Apparel,6104,Penetration Rate,Men's Apparel,percent,Statista,4.079,4.646,5.266,5.935,6.571,7.162,7.699,8.178,8.66,9.16,9.639
Moldova,Apparel,6104,Penetration Rate,Other Apparel,percent,Statista,2.719,3.097,3.511,3.957,4.381,4.775,5.133,5.452,5.773,6.161,6.535
Moldova,Apparel,6104,Penetration Rate,Women's Apparel,percent,Statista,5.439,6.194,7.022,7.914,8.761,9.549,10.266,10.904,11.546,12.212,12.85
Moldova,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Adidas Ag,billion USD (US$),Statista Company DB,,26.09,26.7,22.79,25.49,,,,,,
Moldova,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Moldova,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Anta Sports Products Ltd.,billion USD (US$),Statista Company DB,2.535,3.758,5.059,5.348,,,,,,,
Moldova,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Dick'S Sporting Goods, Inc.",billion USD (US$),Statista Company DB,8.59,8.437,8.751,9.584,12.29,,,,,,
Moldova,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Fila Holdings Corp.,billion USD (US$),Statista Company DB,2.24,2.697,2.972,2.662,3.35,,,,,,
Moldova,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Fitbit,billion USD (US$),Statista Company DB,1.616,1.512,1.435,,,,,,,,
Moldova,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Moldova,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Lululemon Athletica, Inc.",billion USD (US$),Statista Company DB,2.649,3.288,3.979,4.402,,,,,,,
Moldova,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Nike, Inc.",billion USD (US$),Statista Company DB,36.4,39.12,37.4,44.54,,,,,,,
Moldova,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Under Armour, Inc.",billion USD (US$),Statista Company DB,4.977,5.193,5.267,4.475,5.685,,,,,,
Moldova,Sports & Outdoor,9506,Revenue,Total,million USD (US$),Statista,12.51,14.41,17.19,25.1,32.42,32.85,42.18,49.67,58.57,64.04,70.25
Moldova,Sports & Outdoor,9506,Revenue,Athletic Footwear,million USD (US$),Statista,3.05,3.355,3.829,6.155,7.918,6.61,7.901,8.997,10.29,11.1,12.01
Moldova,Sports & Outdoor,9506,Revenue,Fishing Articles & Equipment,million USD (US$),Statista,0.56,0.668,0.785,1.211,1.64,1.648,2.064,2.37,2.731,2.994,3.278
Moldova,Sports & Outdoor,9506,Revenue,Other Sports & Outdoor,million USD (US$),Statista,0.801,0.959,1.14,1.63,2.1,2.146,2.732,3.187,3.73,4.079,4.47
