Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Mongolia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Adidas Ag,billion USD (US$),Statista Company DB,,26.09,26.7,22.79,25.49,,,,,,
Mongolia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Mongolia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Anta Sports Products Ltd.,billion USD (US$),Statista Company DB,2.535,3.758,5.059,5.348,,,,,,,
Mongolia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Dick'S Sporting Goods, Inc.",billion USD (US$),Statista Company DB,8.59,8.437,8.751,9.584,12.29,,,,,,
Mongolia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Fila Holdings Corp.,billion USD (US$),Statista Company DB,2.24,2.697,2.972,2.662,3.35,,,,,,
Mongolia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Fitbit,billion USD (US$),Statista Company DB,1.616,1.512,1.435,,,,,,,,
Mongolia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Mongolia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Lululemon Athletica, Inc.",billion USD (US$),Statista Company DB,2.649,3.288,3.979,4.402,,,,,,,
Mongolia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Nike, Inc.",billion USD (US$),Statista Company DB,36.4,39.12,37.4,44.54,,,,,,,
Mongolia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Under Armour, Inc.",billion USD (US$),Statista Company DB,4.977,5.193,5.267,4.475,5.685,,,,,,
Mongolia,Sports & Outdoor,9506,Revenue,Total,million USD (US$),Statista,2.004,3.83,4.621,7.787,10.64,10.64,12.68,14.46,16.58,18.05,19.61
Mongolia,Sports & Outdoor,9506,Revenue,Athletic Footwear,million USD (US$),Statista,0.453,0.895,1.07,2.11,2.773,2.169,2.388,2.632,2.914,2.985,3.074
Mongolia,Sports & Outdoor,9506,Revenue,Fishing Articles & Equipment,million USD (US$),Statista,0.206,0.36,0.414,0.686,0.928,0.96,1.129,1.259,1.41,1.546,1.682
Mongolia,Sports & Outdoor,9506,Revenue,Other Sports & Outdoor,million USD (US$),Statista,0.36,0.63,0.73,1.122,1.498,1.573,1.872,2.113,2.398,2.641,2.89
Mongolia,Sports & Outdoor,9506,Revenue,Sports & Swimwear,million USD (US$),Statista,0.545,1.172,1.512,2.319,3.312,3.756,4.729,5.619,6.689,7.416,8.213
Mongolia,Sports & Outdoor,9506,Revenue,Summer Sports Equipment,million USD (US$),Statista,0.311,0.545,0.632,1.064,1.455,1.51,1.78,1.988,2.23,2.452,2.673
Mongolia,Sports & Outdoor,9506,Revenue,Winter Sports Equipment,million USD (US$),Statista,0.129,0.227,0.263,0.484,0.671,0.677,0.779,0.851,0.935,1.011,1.082
Mongolia,Sports & Outdoor,9506,Revenue Change,Total,percent,Statista,,91.118,20.653,68.513,36.638,0,19.173,14.038,14.661,8.866,8.643
