Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Montenegro,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Adidas Ag,billion USD (US$),Statista Company DB,,26.09,26.7,22.79,25.49,,,,,,
Montenegro,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Montenegro,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Anta Sports Products Ltd.,billion USD (US$),Statista Company DB,2.535,3.758,5.059,5.348,,,,,,,
Montenegro,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Dick'S Sporting Goods, Inc.",billion USD (US$),Statista Company DB,8.59,8.437,8.751,9.584,12.29,,,,,,
Montenegro,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Fila Holdings Corp.,billion USD (US$),Statista Company DB,2.24,2.697,2.972,2.662,3.35,,,,,,
Montenegro,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Fitbit,billion USD (US$),Statista Company DB,1.616,1.512,1.435,,,,,,,,
Montenegro,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Montenegro,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Lululemon Athletica, Inc.",billion USD (US$),Statista Company DB,2.649,3.288,3.979,4.402,,,,,,,
Montenegro,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Nike, Inc.",billion USD (US$),Statista Company DB,36.4,39.12,37.4,44.54,,,,,,,
Montenegro,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Under Armour, Inc.",billion USD (US$),Statista Company DB,4.977,5.193,5.267,4.475,5.685,,,,,,
Montenegro,Sports & Outdoor,9506,Revenue,Total,million USD (US$),Statista,1.237,1.407,1.602,2.234,2.767,2.725,3.397,3.9,4.501,4.888,5.321
Montenegro,Sports & Outdoor,9506,Revenue,Athletic Footwear,million USD (US$),Statista,0.383,0.439,0.5,0.765,0.939,0.853,1.03,1.169,1.34,1.449,1.571
Montenegro,Sports & Outdoor,9506,Revenue,Fishing Articles & Equipment,million USD (US$),Statista,0.126,0.145,0.17,0.251,0.321,0.312,0.38,0.426,0.479,0.522,0.567
Montenegro,Sports & Outdoor,9506,Revenue,Other Sports & Outdoor,million USD (US$),Statista,0.197,0.227,0.265,0.354,0.438,0.435,0.539,0.613,0.701,0.761,0.828
Montenegro,Sports & Outdoor,9506,Revenue,Sports & Swimwear,million USD (US$),Statista,0.307,0.338,0.369,0.416,0.494,0.572,0.775,0.938,1.135,1.234,1.354
Montenegro,Sports & Outdoor,9506,Revenue,Summer Sports Equipment,million USD (US$),Statista,0.19,0.219,0.255,0.378,0.483,0.468,0.571,0.64,0.72,0.784,0.852
Montenegro,Sports & Outdoor,9506,Revenue,Winter Sports Equipment,million USD (US$),Statista,0.033,0.039,0.045,0.07,0.091,0.086,0.103,0.114,0.126,0.137,0.148
Montenegro,Sports & Outdoor,9506,Revenue Change,Total,percent,Statista,,13.743,13.859,39.451,23.859,-1.518,24.661,14.807,15.41,8.598,8.858
