Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Morocco,"Beauty, Health, Personal & Household Care",3304,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,18,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",3304,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,35.429,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",3304,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,27.429,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",3304,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,13.714,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",3304,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,5.43,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",3304,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,59.143,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",3304,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,40.857,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",3304,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,41.611,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",3304,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,27.181,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",3304,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,31.208,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Morocco,"Beauty, Health, Personal & Household Care",3304,Revenue,Total,million USD (US$),Statista,51.34,64.35,80.1,109.5,136.3,138.9,176.3,210.3,253.2,275.8,302.8
Morocco,"Beauty, Health, Personal & Household Care",3304,Revenue,Beauty Care,million USD (US$),Statista,6.77,8.332,10.27,14.18,17.59,17.72,22.16,25.94,30.52,33.27,36.41
Morocco,"Beauty, Health, Personal & Household Care",3304,Revenue,Health Care,million USD (US$),Statista,10.48,12.76,15.38,22.22,27.09,27.09,33.66,39.14,45.77,49.87,54.5
Morocco,"Beauty, Health, Personal & Household Care",3304,Revenue,Household Care,million USD (US$),Statista,5.385,6.908,8.792,12.21,15.5,17.69,25.16,33.62,45.36,49.58,55.42
Morocco,"Beauty, Health, Personal & Household Care",3304,Revenue,Personal Care,million USD (US$),Statista,28.71,36.36,45.66,60.94,76.14,76.36,95.36,111.6,131.6,143.1,156.5
Morocco,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Total,percent,Statista,,25.341,24.476,36.704,24.475,1.908,26.926,19.285,20.399,8.926,9.79
Morocco,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Beauty Care,percent,Statista,,23.072,23.26,38.072,24.048,0.739,25.056,17.058,17.656,9.01,9.438
Morocco,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Health Care,percent,Statista,,21.756,20.533,44.473,21.917,0,24.252,16.28,16.939,8.958,9.284
Morocco,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Household Care,percent,Statista,,28.282,27.273,38.876,26.945,14.129,42.227,33.625,34.92,9.303,11.779
Morocco,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Personal Care,percent,Statista,,26.646,25.578,33.465,24.943,0.289,24.882,17.03,17.921,8.739,9.364
Morocco,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Total,USD (US$),Statista,15.63,16.74,18.05,21.58,23.86,21.93,25.7,28.83,32.75,33.63,35.04
Morocco,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Beauty Care,USD (US$),Statista,2.945,3.097,3.305,3.991,4.4,3.998,4.615,5.08,5.638,5.794,6.019
Morocco,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Health Care,USD (US$),Statista,4.984,5.187,5.417,6.839,7.409,6.686,7.667,8.385,9.249,9.499,9.855
