Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Mozambique,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Mozambique,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Mozambique,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Mozambique,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Mozambique,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Mozambique,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Mozambique,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Mozambique,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Mozambique,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Mozambique,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Mozambique,Personal Care,3304,Revenue,Total,million USD (US$),Statista,24.15,30.31,35.97,49.85,57.78,60.43,72.97,84.06,98.63,106.8,116.2
Mozambique,Personal Care,3304,Revenue,Body Care,million USD (US$),Statista,4.243,5.319,6.279,8.379,9.334,9.908,12.11,14.08,16.68,18.07,19.72
Mozambique,Personal Care,3304,Revenue,Eye Care,million USD (US$),Statista,2.014,2.5,3.037,5.42,6.094,5.773,6.362,6.753,7.249,7.548,7.831
Mozambique,Personal Care,3304,Revenue,Hair Care,million USD (US$),Statista,3.733,4.72,5.621,7.591,8.728,9.292,11.39,13.3,15.82,17.18,18.79
Mozambique,Personal Care,3304,Revenue,Oral Care,million USD (US$),Statista,1.331,1.681,1.999,2.696,3.112,3.302,4.037,4.702,5.581,6.061,6.624
Mozambique,Personal Care,3304,Revenue,Other Personal Care,million USD (US$),Statista,7.242,9.12,10.82,14.53,16.48,17.51,21.43,24.97,29.63,32.15,35.12
Mozambique,Personal Care,3304,Revenue,Skin Care,million USD (US$),Statista,5.591,6.973,8.214,11.24,14.03,14.65,17.64,20.24,23.67,25.75,28.11
Mozambique,Personal Care,3304,Revenue Change,Total,percent,Statista,,25.507,18.674,38.588,15.908,4.586,20.751,15.198,17.333,8.283,8.801
Mozambique,Personal Care,3304,Revenue Change,Body Care,percent,Statista,,25.359,18.049,33.445,11.398,6.15,22.224,16.268,18.466,8.333,9.131
Mozambique,Personal Care,3304,Revenue Change,Eye Care,percent,Statista,,24.131,21.48,78.466,12.435,-5.267,10.203,6.146,7.345,4.125,3.749
Mozambique,Personal Care,3304,Revenue Change,Hair Care,percent,Statista,,26.44,19.089,35.047,14.978,6.462,22.579,16.769,18.947,8.597,9.371
Mozambique,Personal Care,3304,Revenue Change,Oral Care,percent,Statista,,26.296,18.917,34.867,15.43,6.105,22.259,16.473,18.694,8.601,9.289
Mozambique,Personal Care,3304,Revenue Change,Other Personal Care,percent,Statista,,25.932,18.64,34.288,13.421,6.25,22.387,16.519,18.662,8.505,9.238
Mozambique,Personal Care,3304,Revenue Change,Skin Care,percent,Statista,,24.718,17.797,36.84,24.822,4.419,20.41,14.739,16.947,8.787,9.165
Mozambique,Personal Care,3304,Average Revenue per User,Total,USD (US$),Statista,62.86,59.03,54.7,58.98,55.82,48.46,49.62,49.73,51.39,50.64,50.38
Mozambique,Personal Care,3304,Average Revenue per User,Body Care,USD (US$),Statista,16.24,15.23,14.04,14.58,13.26,11.68,12.11,12.25,12.78,12.6,12.58
Mozambique,Personal Care,3304,Average Revenue per User,Eye Care,USD (US$),Statista,10.48,9.737,9.239,12.83,11.78,9.259,8.653,7.991,7.554,7.158,6.79
Mozambique,Personal Care,3304,Average Revenue per User,Hair Care,USD (US$),Statista,18.68,17.68,16.44,17.27,16.22,14.33,14.9,15.14,15.85,15.67,15.67
Mozambique,Personal Care,3304,Average Revenue per User,Oral Care,USD (US$),Statista,7.07,6.68,6.204,6.51,6.135,5.404,5.603,5.678,5.935,5.865,5.861
Mozambique,Personal Care,3304,Average Revenue per User,Other Personal Care,USD (US$),Statista,41.88,39.46,36.55,38.19,35.38,31.21,32.38,32.83,34.31,33.88,33.84
Mozambique,Personal Care,3304,Average Revenue per User,Skin Care,USD (US$),Statista,33.07,30.86,28.39,30.22,30.81,26.7,27.26,27.22,28.03,27.76,27.7
Mozambique,Personal Care,3304,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Mozambique,Personal Care,3304,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Mozambique,Personal Care,3304,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Mozambique,Personal Care,3304,Online & Offline Split,Offline,percent,Statista,97.389,96.847,96.403,94.957,94.445,94.119,93.623,92.926,92.003,,
Mozambique,Personal Care,3304,Online & Offline Split,Online,percent,Statista,2.611,3.153,3.597,5.043,5.555,5.881,6.377,7.074,7.997,,
Mozambique,Personal Care,3304,Mobile/Desktop Split,Desktop,percent,Statista,51.728,51.427,51.197,51.035,50.928,50.861,50.823,50.805,50.799,,
Mozambique,Personal Care,3304,Mobile/Desktop Split,Mobile,percent,Statista,48.272,48.573,48.803,48.965,49.072,49.139,49.177,49.195,49.201,,
Mozambique,Personal Care,3304,Users,Total,million users,Statista,0.384,0.514,0.658,0.845,1.035,1.247,1.47,1.69,1.919,2.109,2.306
Mozambique,Personal Care,3304,Users,Body Care,million users,Statista,0.261,0.349,0.447,0.575,0.704,0.848,1,1.149,1.305,1.434,1.568
Mozambique,Personal Care,3304,Users,Eye Care,million users,Statista,0.192,0.257,0.329,0.423,0.517,0.623,0.735,0.845,0.96,1.054,1.153
