Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Namibia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Namibia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Namibia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Namibia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Namibia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Namibia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Namibia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Namibia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Namibia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Namibia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Namibia,Personal Care,3304,Revenue,Total,million USD (US$),Statista,8.771,10.72,12.69,16.92,21.19,23.13,28.91,33.82,40.04,43.61,47.72
Namibia,Personal Care,3304,Revenue,Body Care,million USD (US$),Statista,1.391,1.701,2.009,2.578,3.148,3.5,4.44,5.246,6.265,6.834,7.5
Namibia,Personal Care,3304,Revenue,Eye Care,million USD (US$),Statista,1.24,1.464,1.696,2.626,3.019,2.928,3.267,3.49,3.764,3.962,4.152
Namibia,Personal Care,3304,Revenue,Hair Care,million USD (US$),Statista,1.262,1.563,1.868,2.433,3.063,3.426,4.376,5.205,6.263,6.846,7.53
Namibia,Personal Care,3304,Revenue,Oral Care,million USD (US$),Statista,0.598,0.742,0.894,1.176,1.503,1.696,2.186,2.621,3.177,3.477,3.832
Namibia,Personal Care,3304,Revenue,Other Personal Care,million USD (US$),Statista,2.392,2.948,3.512,4.554,5.677,6.345,8.096,9.62,11.56,12.63,13.88
Namibia,Personal Care,3304,Revenue,Skin Care,million USD (US$),Statista,1.889,2.301,2.709,3.555,4.784,5.234,6.545,7.637,9.017,9.865,10.82
Namibia,Personal Care,3304,Revenue Change,Total,percent,Statista,,22.221,18.377,33.333,25.236,9.155,24.989,16.984,18.391,8.916,9.424
Namibia,Personal Care,3304,Revenue Change,Body Care,percent,Statista,,22.286,18.107,28.323,22.11,11.182,26.857,18.153,19.424,9.082,9.745
Namibia,Personal Care,3304,Revenue Change,Eye Care,percent,Statista,,18.065,15.847,54.835,14.966,-3.014,11.578,6.826,7.851,5.26,4.796
Namibia,Personal Care,3304,Revenue Change,Hair Care,percent,Statista,,23.851,19.514,30.246,25.894,11.851,27.729,18.944,20.327,9.309,9.991
Namibia,Personal Care,3304,Revenue Change,Oral Care,percent,Statista,,24.159,20.523,31.485,27.806,12.841,28.892,19.899,21.213,9.443,10.21
Namibia,Personal Care,3304,Revenue Change,Other Personal Care,percent,Statista,,23.244,19.132,29.67,24.66,11.767,27.597,18.824,20.166,9.256,9.897
Namibia,Personal Care,3304,Revenue Change,Skin Care,percent,Statista,,21.81,17.731,31.229,34.571,9.406,25.048,16.684,18.07,9.404,9.681
Namibia,Personal Care,3304,Average Revenue per User,Total,USD (US$),Statista,78.44,77.86,77.86,86.93,94.03,89.91,100.3,107.8,117.9,118.5,120.7
Namibia,Personal Care,3304,Average Revenue per User,Body Care,USD (US$),Statista,18.29,18.17,18.13,19.48,20.54,20.01,22.64,24.58,27.13,27.33,27.91
Namibia,Personal Care,3304,Average Revenue per User,Eye Care,USD (US$),Statista,22.17,21.26,20.82,26.98,26.79,22.77,22.66,22.25,22.17,21.55,21.02
