Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Nepal,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Nepal,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Nepal,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Nepal,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Nepal,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Nepal,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Nepal,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Nepal,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Nepal,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Nepal,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Nepal,Beauty Care,3305,Average Revenue per User by Segment,Total,USD (US$),Statista,19.06,17.79,16.24,17.22,16.92,14.83,15.36,15.46,16,15.82,15.78
Nepal,Beauty Care,3305,Average Revenue per User by Segment,Cosmetics,USD (US$),Statista,9.339,8.672,7.893,8.348,8.032,7.069,7.348,7.436,7.735,7.639,7.625
Nepal,Beauty Care,3305,Average Revenue per User by Segment,Fragrances,USD (US$),Statista,1.56,1.394,1.258,1.52,1.479,1.307,1.362,1.391,1.44,1.43,1.432
Nepal,Beauty Care,3305,Average Revenue per User by Segment,Other Beauty Care,USD (US$),Statista,46.33,43.53,39.83,41.86,41.64,36.41,37.58,37.68,38.89,38.44,38.35
Nepal,Beauty Care,3305,Revenue,Total,million USD (US$),Statista,23.29,27.78,32.24,42.35,49.48,50.33,58.95,65.4,74.06,79.95,86.37
Nepal,Beauty Care,3305,Revenue,Cosmetics,million USD (US$),Statista,7.989,9.48,10.97,14.37,16.44,16.79,19.75,22.02,25.06,27.03,29.21
Nepal,Beauty Care,3305,Revenue,Fragrances,million USD (US$),Statista,1.144,1.306,1.499,2.244,2.596,2.661,3.137,3.53,3.999,4.338,4.703
Nepal,Beauty Care,3305,Revenue,Other Beauty Care,million USD (US$),Statista,14.15,17,19.77,25.74,30.45,30.88,36.07,39.85,45,48.58,52.46
Nepal,Beauty Care,3305,Revenue Change,Total,percent,Statista,,19.279,16.055,31.359,16.836,1.718,17.127,10.941,13.242,7.953,8.03
Nepal,Beauty Care,3305,Revenue Change,Cosmetics,percent,Statista,,18.663,15.717,30.994,14.405,2.129,17.63,11.494,13.806,7.861,8.065
Nepal,Beauty Care,3305,Revenue Change,Fragrances,percent,Statista,,14.161,14.778,49.7,15.686,2.504,17.888,12.528,13.286,8.477,8.414
Nepal,Beauty Care,3305,Revenue Change,Other Beauty Care,percent,Statista,,20.141,16.294,30.197,18.298,1.412,16.807,10.48,12.923,7.956,7.987
Nepal,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Nepal,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Nepal,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Nepal,Beauty Care,3305,Online & Offline Split,Offline,percent,Statista,89.713,88.515,87.642,83.14,82.102,81.816,81.102,80.105,78.699,,
Nepal,Beauty Care,3305,Online & Offline Split,Online,percent,Statista,10.287,11.485,12.358,16.86,17.898,18.184,18.898,19.895,21.301,,
Nepal,Beauty Care,3305,Mobile/Desktop Split,Desktop,percent,Statista,64.636,62.326,60.19,58.85,57.674,56.816,56.136,55.649,55.346,,
Nepal,Beauty Care,3305,Mobile/Desktop Split,Mobile,percent,Statista,35.364,37.674,39.81,41.15,42.326,43.184,43.864,44.351,44.654,,
Nepal,Beauty Care,3305,Users by Segment,Total,million users,Statista,1.222,1.562,1.985,2.459,2.924,3.393,3.839,4.23,4.629,5.055,5.472
Nepal,Beauty Care,3305,Users by Segment,Cosmetics,million users,Statista,0.855,1.093,1.39,1.722,2.047,2.375,2.687,2.961,3.24,3.538,3.83
Nepal,Beauty Care,3305,Users by Segment,Fragrances,million users,Statista,0.733,0.937,1.191,1.476,1.755,2.036,2.303,2.538,2.777,3.033,3.283
Nepal,Beauty Care,3305,Users by Segment,Other Beauty Care,million users,Statista,0.306,0.39,0.496,0.615,0.731,0.848,0.96,1.058,1.157,1.264,1.368
Nepal,Beauty Care,3305,Penetration Rate by Segment,Beauty Care,percent,Statista,4.423,5.558,6.94,8.441,9.855,11.226,12.477,13.521,14.575,15.71,16.816
Nepal,Beauty Care,3305,Penetration Rate by Segment,Cosmetics,percent,Statista,3.096,3.891,4.858,5.909,6.898,7.858,8.734,9.465,10.202,10.997,11.771
Nepal,Beauty Care,3305,Penetration Rate by Segment,Fragrances,percent,Statista,2.654,3.335,4.164,5.065,5.913,6.736,7.486,8.113,8.745,9.426,10.09
Nepal,Beauty Care,3305,Penetration Rate by Segment,Other Beauty Care,percent,Statista,1.106,1.39,1.735,2.11,2.464,2.806,3.119,3.38,3.644,3.928,4.204
Nepal,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Nepal,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Nepal,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Nepal,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Nepal,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Nepal,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Nepal,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Nepal,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Nepal,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Nepal,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Nepal,Health Care,3003,Average Revenue per User by Segment,Total,USD (US$),Statista,0.152,0.155,0.159,0.182,0.193,0.202,0.248,0.301,0.369,0.371,0.383
Nepal,Health Care,3003,Average Revenue per User by Segment,Analgesics,USD (US$),Statista,0.032,0.028,0.024,0.022,0.02,0.018,0.019,0.019,0.019,0.019,0.018
Nepal,Health Care,3003,Average Revenue per User by Segment,Cold & Cough Remedies,USD (US$),Statista,0.016,0.014,0.012,0.011,0.01,0.009,0.009,0.009,0.01,0.009,0.009
Nepal,Health Care,3003,Average Revenue per User by Segment,Digestives & Intestinal Remedies,USD (US$),Statista,0.006,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003
Nepal,Health Care,3003,Average Revenue per User by Segment,Hand Sanitizer,USD (US$),Statista,0.088,0.092,0.097,0.132,0.132,0.134,0.165,0.203,0.252,0.253,0.262
Nepal,Health Care,3003,Average Revenue per User by Segment,Incontinence,USD (US$),Statista,0.03,0.028,0.026,0.025,0.025,0.024,0.026,0.028,0.031,0.03,0.031
Nepal,Health Care,3003,Average Revenue per User by Segment,Other Health Care,USD (US$),Statista,0.201,0.206,0.212,0.245,0.259,0.272,0.334,0.407,0.5,0.502,0.519
Nepal,Health Care,3003,Average Revenue per User by Segment,Skin Treatment,USD (US$),Statista,0.004,0.003,0.003,0.002,0.002,0.001,0.001,0.005,0.011,0.01,0.011
Nepal,Health Care,3003,Average Revenue per User by Segment,Vitamins & Minerals,USD (US$),Statista,0.097,0.102,0.108,0.116,0.132,0.144,0.181,0.22,0.269,0.271,0.28
Nepal,Health Care,3003,Revenue,Total,thousand USD (US$),Statista,170,221.2,289.3,410.5,516.7,626.2,870.7,"1,166","1,563","1,713","1,916"
Nepal,Health Care,3003,Revenue,Analgesics,thousand USD (US$),Statista,7.143,7.971,8.877,9.682,10.84,11.34,13.29,14.69,16.2,17.29,18.46
Nepal,Health Care,3003,Revenue,Cold & Cough Remedies,thousand USD (US$),Statista,7.045,7.861,8.76,9.566,10.73,11.24,13.19,14.61,16.13,17.22,18.41
Nepal,Health Care,3003,Revenue,Digestives & Intestinal Remedies,thousand USD (US$),Statista,1.984,2.201,2.438,2.647,2.951,3.074,3.591,3.957,4.352,4.611,4.9
Nepal,Health Care,3003,Revenue,Hand Sanitizer,thousand USD (US$),Statista,39.37,52.7,70.71,118.8,140.9,166.4,232.2,314.7,426.7,467.6,523.9
Nepal,Health Care,3003,Revenue,Incontinence,thousand USD (US$),Statista,6.72,7.971,9.46,11.22,13.3,14.8,18.54,21.94,25.92,28.12,30.7
Nepal,Health Care,3003,Revenue,Other Health Care,thousand USD (US$),Statista,51.72,67.55,88.65,126.5,159.5,193.7,270,362.5,487.1,533.7,597.3
Nepal,Health Care,3003,Revenue,Skin Treatment,thousand USD (US$),Statista,1.902,1.898,1.893,1.854,1.868,1.761,1.865,7.905,18.08,18.83,21.58
Nepal,Health Care,3003,Revenue,Vitamins & Minerals,thousand USD (US$),Statista,54.09,73.03,98.49,130.2,176.7,223.9,318.1,425.9,568.8,625.2,700.4
Nepal,Health Care,3003,Revenue Change,Total,percent,Statista,,30.118,30.787,41.894,25.871,21.192,39.045,33.915,34.048,9.597,11.851
Nepal,Health Care,3003,Revenue Change,Analgesics,percent,Statista,,11.592,11.366,9.068,11.96,4.613,17.196,10.534,10.279,6.728,6.767
Nepal,Health Care,3003,Revenue Change,Cold & Cough Remedies,percent,Statista,,11.583,11.436,9.201,12.168,4.753,17.349,10.766,10.404,6.758,6.911
Nepal,Health Care,3003,Revenue Change,Digestives & Intestinal Remedies,percent,Statista,,10.938,10.768,8.573,11.485,4.168,16.818,10.192,9.982,5.951,6.268
Nepal,Health Care,3003,Revenue Change,Hand Sanitizer,percent,Statista,,33.858,34.175,68.01,18.603,18.098,39.543,35.53,35.589,9.585,12.04
Nepal,Health Care,3003,Revenue Change,Incontinence,percent,Statista,,18.616,18.68,18.605,18.538,11.278,25.27,18.339,18.14,8.488,9.175
Nepal,Health Care,3003,Revenue Change,Other Health Care,percent,Statista,,30.607,31.236,42.696,26.087,21.442,39.391,34.259,34.372,9.567,11.917
Nepal,Health Care,3003,Revenue Change,Skin Treatment,percent,Statista,,-0.21,-0.263,-2.06,0.755,-5.728,5.906,323.861,128.716,4.148,14.604
Nepal,Health Care,3003,Revenue Change,Vitamins & Minerals,percent,Statista,,35.016,34.862,32.196,35.714,26.712,42.072,33.889,33.552,9.916,12.028
Nepal,Health Care,3003,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Nepal,Health Care,3003,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Nepal,Health Care,3003,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Nepal,Health Care,3003,Online & Offline Split,Offline,percent,Statista,99.833,99.789,99.732,99.628,99.545,99.429,99.27,99.049,98.759,,
Nepal,Health Care,3003,Online & Offline Split,Online,percent,Statista,0.167,0.211,0.268,0.372,0.455,0.571,0.73,0.951,1.241,,
Nepal,Health Care,3003,Mobile/Desktop Split,Desktop,percent,Statista,68.802,65.113,62.285,59.58,57.068,54.948,52.992,51.3,49.697,,
Nepal,Health Care,3003,Mobile/Desktop Split,Mobile,percent,Statista,31.198,34.887,37.715,40.42,42.932,45.052,47.008,48.7,50.303,,
Nepal,Health Care,3003,Users by Segment,Total,million users,Statista,1.117,1.428,1.815,2.249,2.674,3.102,3.51,3.868,4.232,4.622,5.003
Nepal,Health Care,3003,Users by Segment,Analgesics,million users,Statista,0.223,0.286,0.363,0.45,0.535,0.62,0.702,0.774,0.846,0.924,1.001
Nepal,Health Care,3003,Users by Segment,Cold & Cough Remedies,million users,Statista,0.447,0.571,0.726,0.899,1.07,1.241,1.404,1.547,1.693,1.849,2.001
Nepal,Health Care,3003,Users by Segment,Digestives & Intestinal Remedies,million users,Statista,0.335,0.428,0.545,0.675,0.802,0.931,1.053,1.16,1.27,1.386,1.501
