Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Netherlands,Personal Care,3304,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,12.99,,,,,,
Netherlands,Personal Care,3304,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,22.68,,,,,,
Netherlands,Personal Care,3304,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,23.711,,,,,,
Netherlands,Personal Care,3304,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,23.093,,,,,,
Netherlands,Personal Care,3304,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,17.526,,,,,,
Netherlands,Personal Care,3304,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,67.629,,,,,,
Netherlands,Personal Care,3304,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,32.371,,,,,,
Netherlands,Personal Care,3304,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,38.889,,,,,,
Netherlands,Personal Care,3304,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,29.167,,,,,,
Netherlands,Personal Care,3304,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,31.944,,,,,,
Netherlands,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Netherlands,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Netherlands,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Netherlands,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Netherlands,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Netherlands,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Netherlands,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Netherlands,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Netherlands,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
