Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
New Zealand,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
New Zealand,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
New Zealand,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
New Zealand,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
New Zealand,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
New Zealand,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
New Zealand,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
New Zealand,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
New Zealand,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
New Zealand,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
New Zealand,Beauty Care,3305,Average Revenue per User by Segment,Total,USD (US$),Statista,72.28,71.22,63.61,77.84,80.63,75.63,93.67,105.9,119.9,122.8,127.8
New Zealand,Beauty Care,3305,Average Revenue per User by Segment,Cosmetics,USD (US$),Statista,65.04,64.5,55.26,68.98,71.09,66.55,82.28,92.95,105.1,107.6,111.9
New Zealand,Beauty Care,3305,Average Revenue per User by Segment,Fragrances,USD (US$),Statista,12.28,11.61,13.11,14.46,15.39,14.6,18.24,20.74,23.54,24.24,25.3
New Zealand,Beauty Care,3305,Average Revenue per User by Segment,Other Beauty Care,USD (US$),Statista,77.55,76.42,68.25,83.51,86.51,81.15,100.5,113.6,128.6,131.5,136.5
New Zealand,Beauty Care,3305,Revenue,Total,million USD (US$),Statista,46.21,49.53,48.49,64.6,73.3,73.87,97.24,115.8,137.7,148.4,161.7
New Zealand,Beauty Care,3305,Revenue,Cosmetics,million USD (US$),Statista,29.11,31.4,29.49,40.07,45.24,45.5,59.8,71.14,84.53,91.02,99.08
