Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Nicaragua,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Nicaragua,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Nicaragua,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Nicaragua,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Nicaragua,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Nicaragua,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Nicaragua,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Nicaragua,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Nicaragua,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Nicaragua,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Nicaragua,Beauty Care,3305,Average Revenue per User by Segment,Total,USD (US$),Statista,36.81,38.1,37.88,42.9,44.79,41.91,45.23,46.76,49.5,50.2,51.22
Nicaragua,Beauty Care,3305,Average Revenue per User by Segment,Cosmetics,USD (US$),Statista,20.17,20.5,20.1,22.7,23.15,21.68,23.42,24.28,25.78,26.08,26.58
Nicaragua,Beauty Care,3305,Average Revenue per User by Segment,Fragrances,USD (US$),Statista,3.107,2.791,2.461,3.363,3.304,2.971,3.11,3.173,3.27,3.295,3.334
Nicaragua,Beauty Care,3305,Average Revenue per User by Segment,Other Beauty Care,USD (US$),Statista,83.31,88.3,89.34,99.95,106.4,99.82,107.9,111.4,118,119.2,121.1
Nicaragua,Beauty Care,3305,Revenue,Total,million USD (US$),Statista,10.11,12.39,14.43,19.34,22.92,23.81,28.14,31.25,35.41,38.38,41.58
Nicaragua,Beauty Care,3305,Revenue,Cosmetics,million USD (US$),Statista,3.879,4.666,5.359,7.165,8.293,8.621,10.2,11.36,12.91,13.96,15.11
Nicaragua,Beauty Care,3305,Revenue,Fragrances,million USD (US$),Statista,0.512,0.545,0.562,0.91,1.014,1.013,1.161,1.272,1.403,1.511,1.624
Nicaragua,Beauty Care,3305,Revenue,Other Beauty Care,million USD (US$),Statista,5.72,7.178,8.506,11.27,13.61,14.18,16.78,18.62,21.1,22.91,24.84
Nicaragua,Beauty Care,3305,Revenue Change,Total,percent,Statista,,22.552,16.465,34.026,18.511,3.883,18.186,11.052,13.312,8.387,8.338
Nicaragua,Beauty Care,3305,Revenue Change,Cosmetics,percent,Statista,,20.289,14.852,33.7,15.743,3.955,18.316,11.373,13.644,8.133,8.238
Nicaragua,Beauty Care,3305,Revenue Change,Fragrances,percent,Statista,,6.346,3.268,61.753,11.465,-0.099,14.61,9.561,10.299,7.698,7.478
Nicaragua,Beauty Care,3305,Revenue Change,Other Beauty Care,percent,Statista,,25.49,18.501,32.495,20.763,4.188,18.336,10.965,13.319,8.578,8.424
Nicaragua,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Nicaragua,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Nicaragua,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Nicaragua,Beauty Care,3305,Online & Offline Split,Offline,percent,Statista,84.852,82.381,80.447,73.602,71.72,70.73,69.43,67.825,65.741,,
Nicaragua,Beauty Care,3305,Online & Offline Split,Online,percent,Statista,15.148,17.619,19.553,26.398,28.28,29.27,30.57,32.175,34.259,,
Nicaragua,Beauty Care,3305,Mobile/Desktop Split,Desktop,percent,Statista,64.502,62.261,60.148,58.81,57.642,56.786,56.104,55.622,55.329,,
Nicaragua,Beauty Care,3305,Mobile/Desktop Split,Mobile,percent,Statista,35.498,37.739,39.852,41.19,42.358,43.214,43.896,44.378,44.671,,
Nicaragua,Beauty Care,3305,Users by Segment,Total,million users,Statista,0.275,0.325,0.381,0.451,0.512,0.568,0.622,0.668,0.715,0.765,0.812
Nicaragua,Beauty Care,3305,Users by Segment,Cosmetics,million users,Statista,0.192,0.228,0.267,0.316,0.358,0.398,0.436,0.468,0.501,0.535,0.569
Nicaragua,Beauty Care,3305,Users by Segment,Fragrances,million users,Statista,0.165,0.195,0.229,0.271,0.307,0.341,0.373,0.401,0.429,0.459,0.487
Nicaragua,Beauty Care,3305,Users by Segment,Other Beauty Care,million users,Statista,0.069,0.081,0.095,0.113,0.128,0.142,0.156,0.167,0.179,0.192,0.205
Nicaragua,Beauty Care,3305,Penetration Rate by Segment,Beauty Care,percent,Statista,4.302,5.029,5.819,6.806,7.636,8.381,9.076,9.643,10.206,10.792,11.332
Nicaragua,Beauty Care,3305,Penetration Rate by Segment,Cosmetics,percent,Statista,3.011,3.521,4.073,4.764,5.345,5.867,6.353,6.75,7.144,7.557,7.937
Nicaragua,Beauty Care,3305,Penetration Rate by Segment,Fragrances,percent,Statista,2.581,3.018,3.491,4.084,4.582,5.028,5.446,5.786,6.124,6.475,6.799
Nicaragua,Beauty Care,3305,Penetration Rate by Segment,Other Beauty Care,percent,Statista,1.075,1.257,1.455,1.702,1.909,2.095,2.269,2.411,2.552,2.714,2.864
Nicaragua,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Nicaragua,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Nicaragua,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Nicaragua,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Nicaragua,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Nicaragua,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Nicaragua,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Nicaragua,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Nicaragua,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Nicaragua,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Nicaragua,Health Care,3003,Average Revenue per User by Segment,Total,USD (US$),Statista,0.855,0.921,1.008,1.158,1.278,1.38,1.728,2.123,2.632,2.694,2.832
Nicaragua,Health Care,3003,Average Revenue per User by Segment,Analgesics,USD (US$),Statista,0.016,0.014,0.012,0.01,0.009,0.008,0.008,0.031,0.068,0.065,0.07
Nicaragua,Health Care,3003,Average Revenue per User by Segment,Cold & Cough Remedies,USD (US$),Statista,0.041,0.039,0.039,0.037,0.037,0.037,0.041,0.043,0.046,0.046,0.047
Nicaragua,Health Care,3003,Average Revenue per User by Segment,Digestives & Intestinal Remedies,USD (US$),Statista,0.115,0.114,0.113,0.108,0.112,0.111,0.124,0.134,0.144,0.145,0.148
Nicaragua,Health Care,3003,Average Revenue per User by Segment,Hand Sanitizer,USD (US$),Statista,0.318,0.385,0.472,0.718,0.803,0.914,1.246,1.68,2.273,2.315,2.449
Nicaragua,Health Care,3003,Average Revenue per User by Segment,Incontinence,USD (US$),Statista,0.107,0.117,0.13,0.137,0.156,0.176,0.222,0.267,0.323,0.329,0.343
Nicaragua,Health Care,3003,Average Revenue per User by Segment,Other Health Care,USD (US$),Statista,1.103,1.188,1.299,1.495,1.649,1.778,2.228,2.738,3.397,3.457,3.617
Nicaragua,Health Care,3003,Average Revenue per User by Segment,Skin Treatment,USD (US$),Statista,0.549,0.568,0.592,0.592,0.641,0.66,0.768,0.854,0.945,0.96,0.988
Nicaragua,Health Care,3003,Average Revenue per User by Segment,Vitamins & Minerals,USD (US$),Statista,0.359,0.383,0.412,0.426,0.479,0.512,0.622,0.726,0.848,0.869,0.908
Nicaragua,Health Care,3003,Revenue,Total,thousand USD (US$),Statista,214.7,274,351,477.2,598,716.6,983.3,"1,298","1,721","1,883","2,102"
Nicaragua,Health Care,3003,Revenue,Analgesics,thousand USD (US$),Statista,0.782,0.803,0.823,0.82,0.848,0.818,0.883,3.81,8.864,9.207,10.55
Nicaragua,Health Care,3003,Revenue,Cold & Cough Remedies,thousand USD (US$),Statista,4.069,4.688,5.393,6.032,7.016,7.605,9.23,10.55,12.05,12.99,14.05
Nicaragua,Health Care,3003,Revenue,Digestives & Intestinal Remedies,thousand USD (US$),Statista,8.685,10.12,11.78,13.33,15.69,17.22,21.16,24.51,28.35,30.64,33.26
Nicaragua,Health Care,3003,Revenue,Hand Sanitizer,thousand USD (US$),Statista,31.91,45.76,65.79,118.4,150.3,190,283.5,410.6,594.5,651.2,735.2
Nicaragua,Health Care,3003,Revenue,Incontinence,thousand USD (US$),Statista,5.386,6.986,9.056,11.3,14.57,18.26,25.24,32.66,42.2,46.24,51.45
Nicaragua,Health Care,3003,Revenue,Other Health Care,thousand USD (US$),Statista,63.68,81.23,104,141.8,177.5,212.5,291.5,384.8,510.9,559,624
Nicaragua,Health Care,3003,Revenue,Skin Treatment,thousand USD (US$),Statista,55.12,67.53,82.45,97.67,120.1,137.2,174.8,208.7,247.2,270.1,296.5
Nicaragua,Health Care,3003,Revenue,Vitamins & Minerals,thousand USD (US$),Statista,45.05,56.85,71.68,87.87,112,133.1,177,221.8,277.3,303.9,336.8
Nicaragua,Health Care,3003,Revenue Change,Total,percent,Statista,,27.62,28.102,35.954,25.314,19.833,37.217,32.004,32.589,9.413,11.63
Nicaragua,Health Care,3003,Revenue Change,Analgesics,percent,Statista,,2.671,2.465,-0.449,3.49,-3.549,7.971,331.386,132.651,3.87,14.587
Nicaragua,Health Care,3003,Revenue Change,Cold & Cough Remedies,percent,Statista,,15.213,15.038,11.849,16.313,8.395,21.368,14.301,14.218,7.801,8.16
Nicaragua,Health Care,3003,Revenue Change,Digestives & Intestinal Remedies,percent,Statista,,16.523,16.403,13.158,17.704,9.751,22.88,15.832,15.667,8.078,8.551
Nicaragua,Health Care,3003,Revenue Change,Hand Sanitizer,percent,Statista,,43.403,43.772,79.967,26.943,26.414,49.211,44.832,44.788,9.537,12.899
Nicaragua,Health Care,3003,Revenue Change,Incontinence,percent,Statista,,29.707,29.631,24.779,28.938,25.326,38.226,29.398,29.21,9.573,11.267
Nicaragua,Health Care,3003,Revenue Change,Other Health Care,percent,Statista,,27.56,28.032,36.346,25.176,19.718,37.176,32.007,32.77,9.415,11.628
Nicaragua,Health Care,3003,Revenue Change,Skin Treatment,percent,Statista,,22.515,22.094,18.46,22.965,14.238,27.405,19.394,18.448,9.264,9.774
Nicaragua,Health Care,3003,Revenue Change,Vitamins & Minerals,percent,Statista,,26.193,26.086,22.586,27.461,18.839,32.983,25.311,25.023,9.592,10.826
Nicaragua,Health Care,3003,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Nicaragua,Health Care,3003,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Nicaragua,Health Care,3003,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Nicaragua,Health Care,3003,Online & Offline Split,Offline,percent,Statista,99.292,99.118,98.899,98.544,98.216,97.79,97.221,96.455,95.465,,
Nicaragua,Health Care,3003,Online & Offline Split,Online,percent,Statista,0.708,0.882,1.101,1.456,1.784,2.21,2.779,3.545,4.535,,
