Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Niger,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Niger,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Niger,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Niger,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Niger,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Niger,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Niger,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Niger,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Niger,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Niger,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Niger,Health Care,3003,Average Revenue per User by Segment,Total,USD (US$),Statista,1.18,1.164,1.179,1.112,1.201,1.217,1.423,1.607,1.861,1.847,1.876
Niger,Health Care,3003,Average Revenue per User by Segment,Analgesics,USD (US$),Statista,0.892,0.826,0.78,0.68,0.678,0.627,0.667,0.679,0.706,0.7,0.7
Niger,Health Care,3003,Average Revenue per User by Segment,Cold & Cough Remedies,USD (US$),Statista,0.225,0.215,0.209,0.189,0.194,0.185,0.203,0.214,0.229,0.228,0.229
Niger,Health Care,3003,Average Revenue per User by Segment,Digestives & Intestinal Remedies,USD (US$),Statista,0.533,0.477,0.436,0.368,0.355,0.318,0.329,0.324,0.327,0.323,0.321
Niger,Health Care,3003,Average Revenue per User by Segment,Hand Sanitizer,USD (US$),Statista,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.008,0.018,0.017,0.018
Niger,Health Care,3003,Average Revenue per User by Segment,Incontinence,USD (US$),Statista,0.352,0.377,0.412,0.42,0.469,0.522,0.641,0.76,0.92,0.914,0.933
Niger,Health Care,3003,Average Revenue per User by Segment,Other Health Care,USD (US$),Statista,1.569,1.54,1.551,1.454,1.565,1.574,1.831,2.057,2.371,2.353,2.388
Niger,Health Care,3003,Average Revenue per User by Segment,Skin Treatment,USD (US$),Statista,0.01,0.008,0.006,0.004,0.003,0.003,0.002,0.008,0.016,0.015,0.015
Niger,Health Care,3003,Average Revenue per User by Segment,Vitamins & Minerals,USD (US$),Statista,0.629,0.672,0.733,0.738,0.85,0.908,1.117,1.313,1.574,1.565,1.597
Niger,Health Care,3003,Revenue,Total,thousand USD (US$),Statista,218.6,293.2,395,506.6,707.5,924.4,"1,348","1,858","2,561","2,810","3,158"
Niger,Health Care,3003,Revenue,Analgesics,thousand USD (US$),Statista,33.06,41.59,52.23,61.96,79.86,95.22,126.4,157.1,194.3,213,235.8
Niger,Health Care,3003,Revenue,Cold & Cough Remedies,thousand USD (US$),Statista,16.7,21.66,28.05,34.34,45.69,56.24,77.08,98.86,126.2,138.6,154.4
Niger,Health Care,3003,Revenue,Digestives & Intestinal Remedies,thousand USD (US$),Statista,29.61,36.03,43.78,50.29,62.79,72.54,93.36,112.5,135,147.5,162.2
Niger,Health Care,3003,Revenue,Hand Sanitizer,thousand USD (US$),Statista,0.278,0.325,0.381,0.559,0.579,0.597,0.726,3.635,9.815,10.2,11.79
Niger,Health Care,3003,Revenue,Incontinence,thousand USD (US$),Statista,13.04,18.98,27.6,38.25,55.25,79.21,121.5,175.7,253.2,278.1,314.4
