Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Nigeria,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Nigeria,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Nigeria,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Nigeria,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Nigeria,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Nigeria,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Nigeria,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Nigeria,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Nigeria,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Nigeria,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Nigeria,Beauty Care,3305,Average Revenue per User by Segment,Total,USD (US$),Statista,2.547,2.893,3.323,4.144,5.219,3.988,4.419,4.423,4.492,4.531,4.565
Nigeria,Beauty Care,3305,Average Revenue per User by Segment,Cosmetics,USD (US$),Statista,2.261,2.603,3.018,3.768,4.764,3.65,4.055,4.069,4.143,4.183,4.219
Nigeria,Beauty Care,3305,Average Revenue per User by Segment,Fragrances,USD (US$),Statista,0.272,0.267,0.274,0.337,0.403,0.297,0.317,0.305,0.297,0.295,0.291
Nigeria,Beauty Care,3305,Average Revenue per User by Segment,Other Beauty Care,USD (US$),Statista,3.206,3.641,4.183,5.216,6.568,5.02,5.562,5.567,5.653,5.706,5.751
Nigeria,Beauty Care,3305,Revenue,Total,million USD (US$),Statista,19,27.51,39.78,61.32,93.07,85.22,109.1,124.3,142.8,157.6,173.1
Nigeria,Beauty Care,3305,Revenue,Cosmetics,million USD (US$),Statista,11.81,17.33,25.3,39.03,59.47,54.6,70.1,80.07,92.22,101.8,111.9
Nigeria,Beauty Care,3305,Revenue,Fragrances,million USD (US$),Statista,1.218,1.526,1.968,2.995,4.312,3.808,4.695,5.143,5.67,6.149,6.617
Nigeria,Beauty Care,3305,Revenue,Other Beauty Care,million USD (US$),Statista,5.98,8.657,12.52,19.29,29.29,26.82,34.34,39.13,44.94,49.62,54.5
Nigeria,Beauty Care,3305,Revenue Change,Total,percent,Statista,,44.789,44.602,54.148,51.778,-8.435,28.022,13.932,14.883,10.364,9.835
Nigeria,Beauty Care,3305,Revenue Change,Cosmetics,percent,Statista,,46.74,45.99,54.269,52.37,-8.189,28.388,14.223,15.174,10.388,9.921
Nigeria,Beauty Care,3305,Revenue Change,Fragrances,percent,Statista,,25.287,28.965,52.185,43.973,-11.688,23.293,9.542,10.247,8.448,7.611
Nigeria,Beauty Care,3305,Revenue Change,Other Beauty Care,percent,Statista,,44.766,44.623,54.073,51.84,-8.433,28.039,13.949,14.848,10.414,9.835
Nigeria,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Nigeria,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Nigeria,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Nigeria,Beauty Care,3305,Online & Offline Split,Offline,percent,Statista,97.901,97.185,96.217,93.993,91.805,91.64,91.351,90.762,90.024,,
Nigeria,Beauty Care,3305,Online & Offline Split,Online,percent,Statista,2.099,2.815,3.783,6.007,8.195,8.36,8.649,9.238,9.976,,
Nigeria,Beauty Care,3305,Mobile/Desktop Split,Desktop,percent,Statista,54.546,52.213,51.454,50.294,49.08,47.988,46.772,45.778,44.752,,
Nigeria,Beauty Care,3305,Mobile/Desktop Split,Mobile,percent,Statista,45.454,47.787,48.546,49.706,50.92,52.012,53.228,54.222,55.248,,
Nigeria,Beauty Care,3305,Users by Segment,Total,million users,Statista,7.46,9.511,11.972,14.797,17.835,21.369,24.697,28.114,31.8,34.784,37.907
Nigeria,Beauty Care,3305,Users by Segment,Cosmetics,million users,Statista,5.222,6.658,8.381,10.358,12.485,14.958,17.288,19.68,22.26,24.349,26.535
Nigeria,Beauty Care,3305,Users by Segment,Fragrances,million users,Statista,4.476,5.707,7.183,8.878,10.701,12.821,14.818,16.869,19.08,20.87,22.744
Nigeria,Beauty Care,3305,Users by Segment,Other Beauty Care,million users,Statista,1.865,2.378,2.993,3.699,4.459,5.342,6.174,7.029,7.95,8.696,9.477
Nigeria,Beauty Care,3305,Penetration Rate by Segment,Beauty Care,percent,Statista,3.908,4.856,5.957,7.178,8.437,9.859,11.115,12.346,13.628,14.549,15.478
Nigeria,Beauty Care,3305,Penetration Rate by Segment,Cosmetics,percent,Statista,2.736,3.399,4.17,5.025,5.906,6.901,7.781,8.643,9.54,10.185,10.835
Nigeria,Beauty Care,3305,Penetration Rate by Segment,Fragrances,percent,Statista,2.345,2.914,3.574,4.307,5.062,5.915,6.669,7.408,8.177,8.73,9.287
Nigeria,Beauty Care,3305,Penetration Rate by Segment,Other Beauty Care,percent,Statista,0.977,1.214,1.489,1.795,2.109,2.465,2.779,3.087,3.407,3.637,3.87
Nigeria,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
