Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Norway,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Norway,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Norway,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Norway,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Norway,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Norway,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Norway,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Norway,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Norway,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Norway,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Norway,Health Care,3003,Average Revenue per User by Segment,Total,USD (US$),Statista,77.9,80.9,83.62,104.9,103.2,96.02,112.3,123.5,135.8,139.8,145.2
Norway,Health Care,3003,Average Revenue per User by Segment,Analgesics,USD (US$),Statista,127.6,132.9,137.6,169.9,167.6,155.3,180.9,197.9,216.6,221.5,228.6
Norway,Health Care,3003,Average Revenue per User by Segment,Cold & Cough Remedies,USD (US$),Statista,16.09,16.75,17.35,21.42,21.13,19.58,22.8,24.94,27.3,28.08,29.14
Norway,Health Care,3003,Average Revenue per User by Segment,Digestives & Intestinal Remedies,USD (US$),Statista,33.91,35.3,36.57,45.13,44.51,41.12,47.74,52.04,56.77,58.37,60.53
Norway,Health Care,3003,Average Revenue per User by Segment,Hand Sanitizer,USD (US$),Statista,2.428,2.528,2.619,7.748,7.642,6.868,7.757,8.227,8.73,9.017,9.291
Norway,Health Care,3003,Average Revenue per User by Segment,Incontinence,USD (US$),Statista,27.97,28.37,28.66,32.54,31.34,31.02,38.63,45.24,53.07,54.28,56.67
Norway,Health Care,3003,Average Revenue per User by Segment,Other Health Care,USD (US$),Statista,84.89,88.17,91.13,114.3,112.5,104.6,122.4,134.5,148,152.4,158.3
Norway,Health Care,3003,Average Revenue per User by Segment,Skin Treatment,USD (US$),Statista,18.09,18.84,19.51,24.09,23.76,21.97,25.52,27.85,30.4,31.27,32.43
Norway,Health Care,3003,Average Revenue per User by Segment,Vitamins & Minerals,USD (US$),Statista,4.885,5.086,5.269,6.502,6.414,5.982,7.011,7.717,8.498,8.747,9.09
