Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Oman,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Oman,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Oman,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Oman,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Oman,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Oman,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Oman,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Oman,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Oman,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Oman,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Oman,Household Care,3402,Average Revenue per User by Segment,Total,USD (US$),Statista,36.94,35.88,36.03,40.47,44.86,48.79,60.59,72.58,86.82,90.6,96.43
Oman,Household Care,3402,Average Revenue per User by Segment,Dishwashing Detergents,USD (US$),Statista,4.345,4.247,4.286,5.084,5.908,6.429,7.935,9.433,11.19,11.72,12.48
Oman,Household Care,3402,Average Revenue per User by Segment,Household Cleaners,USD (US$),Statista,6.75,6.545,6.556,7.958,9.395,10.14,12.43,14.67,17.29,18.11,19.28
Oman,Household Care,3402,Average Revenue per User by Segment,Household Paper,USD (US$),Statista,4.295,3.899,3.66,3.357,3.161,2.909,3.004,2.995,2.99,2.92,2.874
Oman,Household Care,3402,Average Revenue per User by Segment,Laundry Care,USD (US$),Statista,22.48,21.97,22.19,24.38,26.56,29.23,36.55,44.06,53,55.28,58.86
Oman,Household Care,3402,Average Revenue per User by Segment,Other Household Care,USD (US$),Statista,65.61,63.94,64.38,72.57,80.87,88.47,110,131.7,157.5,161.7,169.6
Oman,Household Care,3402,Average Revenue per User by Segment,Paper Tissues,USD (US$),Statista,0.08,0.082,0.086,0.089,0.093,0.095,0.109,0.121,0.135,0.14,0.146
Oman,Household Care,3402,Average Revenue per User by Segment,"Polishes, Room Scents & Insecticides",USD (US$),Statista,6.9,6.674,6.676,7.158,7.664,8.405,10.48,12.6,15.12,15.49,16.23
Oman,Household Care,3402,Average Revenue per User by Segment,Toilet Paper,USD (US$),Statista,15.91,15.35,15.33,17.4,19.08,20.43,25.67,31.17,37.79,39.38,41.95
Oman,Household Care,3402,Revenue,Total,million USD (US$),Statista,9.456,10.71,12.07,15.24,18.74,22.17,29.39,36.84,46.01,50.2,55.5
Oman,Household Care,3402,Revenue,Dishwashing Detergents,million USD (US$),Statista,0.467,0.532,0.603,0.804,1.037,1.227,1.616,2.011,2.491,2.727,3.017
Oman,Household Care,3402,Revenue,Household Cleaners,million USD (US$),Statista,0.777,0.879,0.989,1.348,1.767,2.073,2.713,3.351,4.123,4.516,4.992
Oman,Household Care,3402,Revenue,Household Paper,million USD (US$),Statista,0.253,0.268,0.282,0.291,0.304,0.304,0.335,0.35,0.364,0.378,0.393
Oman,Household Care,3402,Revenue,Laundry Care,million USD (US$),Statista,2.302,2.624,2.974,3.673,4.439,5.311,7.091,8.946,11.24,12.25,13.56
Oman,Household Care,3402,Revenue,Other Household Care,million USD (US$),Statista,3.695,4.199,4.746,6.013,7.435,8.843,11.73,14.71,18.36,20.04,22.17
Oman,Household Care,3402,Revenue,Paper Tissues,million USD (US$),Statista,0.007,0.008,0.009,0.011,0.012,0.014,0.017,0.02,0.023,0.025,0.027
Oman,Household Care,3402,Revenue,"Polishes, Room Scents & Insecticides",million USD (US$),Statista,0.53,0.598,0.671,0.809,0.961,1.146,1.525,1.919,2.404,2.618,2.892
Oman,Household Care,3402,Revenue,Toilet Paper,million USD (US$),Statista,1.426,1.604,1.798,2.294,2.79,3.248,4.358,5.538,7.01,7.639,8.455
Oman,Household Care,3402,Revenue Change,Total,percent,Statista,,13.261,12.698,26.263,22.966,18.303,32.567,25.349,24.891,9.107,10.558
Oman,Household Care,3402,Revenue Change,Dishwashing Detergents,percent,Statista,,14.001,13.258,33.328,28.964,18.322,31.703,24.443,23.869,9.474,10.634
Oman,Household Care,3402,Revenue Change,Household Cleaners,percent,Statista,,13.08,12.432,36.368,31.083,17.317,30.873,23.516,23.038,9.532,10.54
Oman,Household Care,3402,Revenue Change,Household Paper,percent,Statista,,5.852,5.379,3.084,4.47,0.066,10.23,4.327,4.233,3.842,3.753
Oman,Household Care,3402,Revenue Change,Laundry Care,percent,Statista,,13.988,13.338,23.504,20.855,19.644,33.515,26.16,25.643,8.986,10.694
Oman,Household Care,3402,Revenue Change,Other Household Care,percent,Statista,,13.64,13.027,26.696,23.649,18.937,32.647,25.405,24.813,9.15,10.629
Oman,Household Care,3402,Revenue Change,Paper Tissues,percent,Statista,,18.583,17.876,16.297,16.745,10.417,22.932,16.234,16.15,8.264,8.724
Oman,Household Care,3402,Revenue Change,"Polishes, Room Scents & Insecticides",percent,Statista,,12.795,12.28,20.489,18.823,19.276,33.072,25.836,25.274,8.902,10.466
Oman,Household Care,3402,Revenue Change,Toilet Paper,percent,Statista,,12.482,12.095,27.586,21.622,16.416,34.175,27.077,26.58,8.973,10.682
Oman,Household Care,3402,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Oman,Household Care,3402,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Oman,Household Care,3402,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Oman,Household Care,3402,Online & Offline Split,Offline,percent,Statista,96.261,95.877,95.452,94.482,93.384,91.871,89.994,87.728,85.051,,
Oman,Household Care,3402,Online & Offline Split,Online,percent,Statista,3.739,4.123,4.548,5.518,6.616,8.129,10.006,12.272,14.949,,
Oman,Household Care,3402,Mobile/Desktop Split,Desktop,percent,Statista,60.152,58.382,56.717,55.102,54.231,53.705,53.205,52.775,52.342,,
Oman,Household Care,3402,Mobile/Desktop Split,Mobile,percent,Statista,39.848,41.618,43.283,44.898,45.769,46.295,46.795,47.225,47.658,,
Oman,Household Care,3402,Users by Segment,Total,million users,Statista,0.256,0.299,0.335,0.377,0.418,0.454,0.485,0.508,0.53,0.554,0.576
Oman,Household Care,3402,Users by Segment,Dishwashing Detergents,million users,Statista,0.108,0.125,0.141,0.158,0.176,0.191,0.204,0.213,0.223,0.233,0.242
Oman,Household Care,3402,Users by Segment,Household Cleaners,million users,Statista,0.115,0.134,0.151,0.169,0.188,0.204,0.218,0.228,0.238,0.249,0.259
Oman,Household Care,3402,Users by Segment,Household Paper,million users,Statista,0.059,0.069,0.077,0.087,0.096,0.104,0.112,0.117,0.122,0.13,0.137
Oman,Household Care,3402,Users by Segment,Laundry Care,million users,Statista,0.102,0.119,0.134,0.151,0.167,0.182,0.194,0.203,0.212,0.222,0.23
Oman,Household Care,3402,Users by Segment,Other Household Care,million users,Statista,0.056,0.066,0.074,0.083,0.092,0.1,0.107,0.112,0.117,0.124,0.131
Oman,Household Care,3402,Users by Segment,Paper Tissues,million users,Statista,0.082,0.096,0.107,0.121,0.134,0.145,0.155,0.162,0.17,0.177,0.184
Oman,Household Care,3402,Users by Segment,"Polishes, Room Scents & Insecticides",million users,Statista,0.077,0.09,0.101,0.113,0.125,0.136,0.146,0.152,0.159,0.169,0.178
Oman,Household Care,3402,Users by Segment,Toilet Paper,million users,Statista,0.09,0.104,0.117,0.132,0.146,0.159,0.17,0.178,0.185,0.194,0.202
Oman,Household Care,3402,Penetration Rate by Segment,Dishwashing Detergents,percent,Statista,2.304,2.596,2.829,3.097,3.36,3.584,3.764,3.881,3.994,4.119,4.221
Oman,Household Care,3402,Penetration Rate by Segment,Household Care,percent,Statista,5.486,6.181,6.735,7.374,8,8.533,8.961,9.239,9.509,9.805,10.048
Oman,Household Care,3402,Penetration Rate by Segment,Household Cleaners,percent,Statista,2.469,2.782,3.031,3.318,3.6,3.84,4.032,4.158,4.279,4.412,4.521
Oman,Household Care,3402,Penetration Rate by Segment,Household Paper,percent,Statista,1.262,1.422,1.549,1.696,1.84,1.963,2.061,2.125,2.187,2.293,2.385
