Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Pakistan,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Pakistan,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Pakistan,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Pakistan,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Pakistan,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Pakistan,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Pakistan,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Pakistan,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Pakistan,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Pakistan,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Pakistan,Household Care,3402,Average Revenue per User by Segment,Total,USD (US$),Statista,4.254,6.688,9.904,16.63,27.72,25.14,26.57,27.71,29.54,30.5,31.49
Pakistan,Household Care,3402,Average Revenue per User by Segment,Dishwashing Detergents,USD (US$),Statista,0.478,0.763,1.146,2.037,3.439,3.129,3.323,3.486,3.743,3.871,4.006
Pakistan,Household Care,3402,Average Revenue per User by Segment,Household Cleaners,USD (US$),Statista,0.716,1.145,1.718,3.165,5.353,4.864,5.158,5.402,5.791,5.992,6.199
Pakistan,Household Care,3402,Average Revenue per User by Segment,Household Paper,USD (US$),Statista,0.544,0.758,1.006,1.546,2.336,2.014,1.974,1.861,1.746,1.721,1.676
Pakistan,Household Care,3402,Average Revenue per User by Segment,Laundry Care,USD (US$),Statista,2.788,4.456,6.688,11.03,18.54,16.93,18.04,18.98,20.44,21.13,21.86
Pakistan,Household Care,3402,Average Revenue per User by Segment,Other Household Care,USD (US$),Statista,9.22,14.5,21.47,36.04,60.07,54.49,57.59,60.05,64.03,66.22,68.44
Pakistan,Household Care,3402,Average Revenue per User by Segment,Paper Tissues,USD (US$),Statista,0.068,0.094,0.125,0.21,0.319,0.273,0.266,0.251,0.236,0.233,0.226
Pakistan,Household Care,3402,Average Revenue per User by Segment,"Polishes, Room Scents & Insecticides",USD (US$),Statista,1.001,1.601,2.402,3.891,6.532,5.962,6.35,6.68,7.193,7.433,7.691
Pakistan,Household Care,3402,Average Revenue per User by Segment,Toilet Paper,USD (US$),Statista,0.403,0.561,0.744,1.193,1.807,1.548,1.511,1.423,1.339,1.318,1.283
Pakistan,Household Care,3402,Revenue,Total,million USD (US$),Statista,7.102,14.97,30.28,61.7,120,124.7,148.2,169.4,196.7,219.5,242.8
Pakistan,Household Care,3402,Revenue,Dishwashing Detergents,million USD (US$),Statista,0.335,0.718,1.471,3.175,6.255,6.519,7.784,8.95,10.47,11.7,12.97
Pakistan,Household Care,3402,Revenue,Household Cleaners,million USD (US$),Statista,0.538,1.153,2.363,5.284,10.43,10.86,12.94,14.86,17.35,19.4,21.51
Pakistan,Household Care,3402,Revenue,Household Paper,million USD (US$),Statista,0.209,0.391,0.708,1.319,2.327,2.297,2.532,2.616,2.675,2.849,2.972
Pakistan,Household Care,3402,Revenue,Laundry Care,million USD (US$),Statista,1.861,3.991,8.178,16.38,32.12,33.58,40.23,46.4,54.44,60.81,67.44
