Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Panama,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Panama,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Panama,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Panama,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Panama,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Panama,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Panama,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Panama,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Panama,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Panama,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Panama,Household Care,3402,Average Revenue per User by Segment,Total,USD (US$),Statista,16.5,16.45,16.22,17.5,19.1,20.62,26,31.77,39.17,39.41,40.85
Panama,Household Care,3402,Average Revenue per User by Segment,Dishwashing Detergents,USD (US$),Statista,2.433,2.438,2.414,2.753,3.045,3.255,4.069,4.938,6.038,6.084,6.304
Panama,Household Care,3402,Average Revenue per User by Segment,Household Cleaners,USD (US$),Statista,3.997,3.992,3.947,4.658,5.185,5.52,6.877,8.32,10.14,10.23,10.6
Panama,Household Care,3402,Average Revenue per User by Segment,Household Paper,USD (US$),Statista,3.655,3.374,3.097,2.555,2.407,2.406,2.605,2.649,2.711,2.682,2.677
Panama,Household Care,3402,Average Revenue per User by Segment,Laundry Care,USD (US$),Statista,8.697,8.689,8.58,9.009,9.761,10.47,13.15,16.02,19.67,19.78,20.49
Panama,Household Care,3402,Average Revenue per User by Segment,Other Household Care,USD (US$),Statista,27.7,27.68,27.36,29.9,32.73,35.03,43.87,53.33,65.35,65.87,68.33
Panama,Household Care,3402,Average Revenue per User by Segment,Paper Tissues,USD (US$),Statista,0.044,0.041,0.038,0.033,0.032,0.031,0.034,0.035,0.036,0.036,0.036
Panama,Household Care,3402,Average Revenue per User by Segment,"Polishes, Room Scents & Insecticides",USD (US$),Statista,3.057,3.057,3.02,3.115,3.368,3.623,4.559,5.566,6.852,6.896,7.151
Panama,Household Care,3402,Average Revenue per User by Segment,Toilet Paper,USD (US$),Statista,6.679,6.738,6.708,7.235,8.023,9.216,12.3,15.79,20.39,20.51,21.38
Panama,Household Care,3402,Revenue,Total,thousand USD (US$),Statista,"3,510","4,251","5,115","6,658","8,519","10,640","15,080","20,230","27,150","29,700","33,210"
Panama,Household Care,3402,Revenue,Dishwashing Detergents,thousand USD (US$),Statista,217.4,264.6,319.8,439.9,570.5,705.4,991.1,"1,320","1,758","1,926","2,152"
Panama,Household Care,3402,Revenue,Household Cleaners,thousand USD (US$),Statista,382.6,464.3,560.2,797.6,"1,041","1,282","1,795","2,383","3,163","3,468","3,876"
Panama,Household Care,3402,Revenue,Household Paper,thousand USD (US$),Statista,178.8,200.6,224.6,223.6,247,285.6,347.4,387.8,432.1,464.1,499.1
Panama,Household Care,3402,Revenue,Laundry Care,thousand USD (US$),Statista,739.9,898.2,"1,082","1,371","1,741","2,162","3,051","4,079","5,454","5,964","6,662"
Panama,Household Care,3402,Revenue,Other Household Care,thousand USD (US$),Statista,"1,296","1,574","1,898","2,503","3,211","3,977","5,598","7,469","9,963","10,900","12,180"
Panama,Household Care,3402,Revenue,Paper Tissues,thousand USD (US$),Statista,2.964,3.382,3.847,4.006,4.498,5.133,6.271,7.077,7.966,8.581,9.254
Panama,Household Care,3402,Revenue,"Polishes, Room Scents & Insecticides",thousand USD (US$),Statista,195.1,237,285.7,355.6,450.7,560.9,793.2,"1,063","1,425","1,557","1,740"
Panama,Household Care,3402,Revenue,Toilet Paper,thousand USD (US$),Statista,497.2,609.4,740.5,963.4,"1,252","1,665","2,498","3,518","4,945","5,410","6,084"
Panama,Household Care,3402,Revenue Change,Total,percent,Statista,,21.111,20.325,30.166,27.951,24.897,41.729,34.151,34.207,9.392,11.818
Panama,Household Care,3402,Revenue Change,Dishwashing Detergents,percent,Statista,,21.711,20.862,37.555,29.689,23.646,40.502,33.185,33.182,9.556,11.734
Panama,Household Care,3402,Revenue Change,Household Cleaners,percent,Statista,,21.354,20.655,42.378,30.517,23.151,40.016,32.758,32.732,9.643,11.765
Panama,Household Care,3402,Revenue Change,Household Paper,percent,Statista,,12.192,11.964,-0.445,10.465,15.628,21.639,11.629,11.423,7.406,7.541
Panama,Household Care,3402,Revenue Change,Laundry Care,percent,Statista,,21.395,20.463,26.71,26.988,24.182,41.119,33.694,33.709,9.351,11.704
Panama,Household Care,3402,Revenue Change,Other Household Care,percent,Statista,,21.451,20.584,31.876,28.286,23.855,40.759,33.423,33.391,9.405,11.743
Panama,Household Care,3402,Revenue Change,Paper Tissues,percent,Statista,,14.103,13.749,4.133,12.282,14.117,22.17,12.853,12.562,7.72,7.843
Panama,Household Care,3402,Revenue Change,"Polishes, Room Scents & Insecticides",percent,Statista,,21.476,20.549,24.466,26.744,24.451,41.416,34.014,34.055,9.263,11.753
Panama,Household Care,3402,Revenue Change,Toilet Paper,percent,Statista,,22.566,21.513,30.101,29.956,32.987,50.03,40.833,40.563,9.403,12.458
Panama,Household Care,3402,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Panama,Household Care,3402,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Panama,Household Care,3402,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Panama,Household Care,3402,Online & Offline Split,Offline,percent,Statista,98.423,98.166,97.88,97.3,96.695,95.941,94.853,93.397,91.538,,
Panama,Household Care,3402,Online & Offline Split,Online,percent,Statista,1.577,1.834,2.12,2.7,3.305,4.059,5.147,6.603,8.462,,
Panama,Household Care,3402,Mobile/Desktop Split,Desktop,percent,Statista,60.923,59.488,58.277,57.35,56.524,55.839,55.231,55.012,54.789,,
Panama,Household Care,3402,Mobile/Desktop Split,Mobile,percent,Statista,39.077,40.512,41.723,42.65,43.476,44.161,44.769,44.988,45.211,,
Panama,Household Care,3402,Users by Segment,Total,million users,Statista,0.213,0.258,0.315,0.38,0.446,0.516,0.58,0.637,0.693,0.754,0.813
Panama,Household Care,3402,Users by Segment,Dishwashing Detergents,million users,Statista,0.089,0.109,0.132,0.16,0.187,0.217,0.244,0.267,0.291,0.317,0.341
Panama,Household Care,3402,Users by Segment,Household Cleaners,million users,Statista,0.096,0.116,0.142,0.171,0.201,0.232,0.261,0.286,0.312,0.339,0.366
Panama,Household Care,3402,Users by Segment,Household Paper,million users,Statista,0.049,0.059,0.073,0.088,0.103,0.119,0.133,0.146,0.159,0.173,0.186
Panama,Household Care,3402,Users by Segment,Laundry Care,million users,Statista,0.085,0.103,0.126,0.152,0.178,0.206,0.232,0.255,0.277,0.301,0.325
Panama,Household Care,3402,Users by Segment,Other Household Care,million users,Statista,0.047,0.057,0.069,0.084,0.098,0.114,0.128,0.14,0.152,0.166,0.178
Panama,Household Care,3402,Users by Segment,Paper Tissues,million users,Statista,0.068,0.083,0.101,0.122,0.143,0.165,0.186,0.204,0.222,0.241,0.26
Panama,Household Care,3402,Users by Segment,"Polishes, Room Scents & Insecticides",million users,Statista,0.064,0.078,0.095,0.114,0.134,0.155,0.174,0.191,0.208,0.226,0.243
Panama,Household Care,3402,Users by Segment,Toilet Paper,million users,Statista,0.074,0.09,0.11,0.133,0.156,0.181,0.203,0.223,0.243,0.264,0.284
Panama,Household Care,3402,Penetration Rate by Segment,Dishwashing Detergents,percent,Statista,2.175,2.599,3.12,3.704,4.275,4.874,5.4,5.846,6.279,6.74,7.179
Panama,Household Care,3402,Penetration Rate by Segment,Household Care,percent,Statista,5.179,6.187,7.428,8.818,10.18,11.604,12.857,13.919,14.951,16.047,17.093
Panama,Household Care,3402,Penetration Rate by Segment,Household Cleaners,percent,Statista,2.331,2.784,3.342,3.968,4.581,5.222,5.785,6.263,6.728,7.221,7.691
Panama,Household Care,3402,Penetration Rate by Segment,Household Paper,percent,Statista,1.191,1.423,1.708,2.028,2.341,2.669,2.957,3.201,3.439,3.685,3.92
