Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Paraguay,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Paraguay,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Paraguay,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Paraguay,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Paraguay,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Paraguay,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Paraguay,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Paraguay,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Paraguay,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Paraguay,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Paraguay,Beauty Care,3305,Average Revenue per User by Segment,Total,USD (US$),Statista,44.25,39.76,37.56,40.02,42.24,39.06,42.58,44.95,48.06,48.06,48.63
Paraguay,Beauty Care,3305,Average Revenue per User by Segment,Cosmetics,USD (US$),Statista,25.71,22.82,21.3,22.52,23.47,21.64,23.54,24.8,26.46,26.43,26.71
Paraguay,Beauty Care,3305,Average Revenue per User by Segment,Fragrances,USD (US$),Statista,3.979,3.366,2.986,3.008,2.978,2.698,2.865,2.962,3.092,3.058,3.061
Paraguay,Beauty Care,3305,Average Revenue per User by Segment,Other Beauty Care,USD (US$),Statista,95.47,87.08,83.42,89.81,96.11,89.15,97.54,103.3,110.7,110.8,112.2
Paraguay,Beauty Care,3305,Revenue,Total,million USD (US$),Statista,11.28,13.23,15.58,20.62,26.01,28.03,34.43,39.79,46.18,50.36,55.02
