Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Poland,"Toys, Hobby & DIY",950,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,10.473,,,,,,
Poland,"Toys, Hobby & DIY",950,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,32.184,,,,,,
Poland,"Toys, Hobby & DIY",950,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,31.418,,,,,,
Poland,"Toys, Hobby & DIY",950,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,14.432,,,,,,
Poland,"Toys, Hobby & DIY",950,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,11.494,,,,,,
Poland,"Toys, Hobby & DIY",950,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,55.811,,,,,,
Poland,"Toys, Hobby & DIY",950,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,44.189,,,,,,
Poland,"Toys, Hobby & DIY",950,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,43.062,,,,,,
Poland,"Toys, Hobby & DIY",950,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,24.402,,,,,,
Poland,"Toys, Hobby & DIY",950,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,32.536,,,,,,
Poland,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Poland,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),Carvana Co.,billion USD (US$),Statista Company DB,0.859,1.955,3.94,5.587,12.81,,,,,,
Poland,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Chewy, Inc.",billion USD (US$),Statista Company DB,2.104,3.533,4.847,7.146,,,,,,,
Poland,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),Costco Wholesale Corp.,billion USD (US$),Statista Company DB,129,141.6,152.7,166.8,195.9,,,,,,
Poland,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Poland,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Nike, Inc.",billion USD (US$),Statista Company DB,36.4,39.12,37.4,44.54,,,,,,,
Poland,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Poland,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"The Home Depot, Inc.",billion USD (US$),Statista Company DB,100.9,108.2,110.2,132.1,151.2,,,,,,
Poland,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"W.W. Grainger, Inc.",billion USD (US$),Statista Company DB,10.42,11.22,11.49,11.8,13.02,,,,,,
Poland,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Poland,"Toys, Hobby & DIY",950,Revenue,Total,billion USD (US$),Statista,1.117,1.218,1.344,1.797,2.034,1.914,2.343,2.59,2.863,3.034,3.222
Poland,"Toys, Hobby & DIY",950,Revenue,"DIY, Garden & Pets",billion USD (US$),Statista,0.572,0.628,0.695,0.966,1.095,0.987,1.143,1.182,1.209,1.254,1.288
Poland,"Toys, Hobby & DIY",950,Revenue,Hobby & Stationery,billion USD (US$),Statista,0.105,0.121,0.14,0.201,0.239,0.229,0.288,0.329,0.377,0.406,0.44
Poland,"Toys, Hobby & DIY",950,Revenue,Sports & Outdoor,billion USD (US$),Statista,0.188,0.194,0.204,0.249,0.269,0.267,0.348,0.411,0.485,0.519,0.563
Poland,"Toys, Hobby & DIY",950,Revenue,Toys & Baby,billion USD (US$),Statista,0.252,0.275,0.305,0.381,0.431,0.431,0.564,0.668,0.792,0.855,0.931
Poland,"Toys, Hobby & DIY",950,Revenue Change,Total,percent,Statista,,9.042,10.345,33.705,13.189,-5.9,22.414,10.542,10.541,5.973,6.196
Poland,"Toys, Hobby & DIY",950,Revenue Change,"DIY, Garden & Pets",percent,Statista,,9.785,10.664,38.89,13.389,-9.89,15.841,3.412,2.284,3.722,2.711
Poland,"Toys, Hobby & DIY",950,Revenue Change,Hobby & Stationery,percent,Statista,,14.857,16.003,43.388,19.093,-4.06,25.742,14.157,14.438,7.888,8.198
Poland,"Toys, Hobby & DIY",950,Revenue Change,Sports & Outdoor,percent,Statista,,3.516,4.889,22.424,7.896,-0.669,30.142,18.017,18.115,7.091,8.373
Poland,"Toys, Hobby & DIY",950,Revenue Change,Toys & Baby,percent,Statista,,9.21,10.76,24.943,13.239,-0.023,30.812,18.553,18.537,7.914,8.936
Poland,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,Total,USD (US$),Statista,140.8,137.7,136.2,163.5,165.7,141.4,160,167.3,175.4,175,176.2
Poland,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,"DIY, Garden & Pets",USD (US$),Statista,111.2,109,108.2,135.2,138.5,114.3,122.7,120.2,116.7,114.4,111.8
Poland,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,Hobby & Stationery,USD (US$),Statista,21.16,21.93,22.83,29.44,31.12,26.83,30.99,33.18,35.73,36.12,36.83
Poland,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,Sports & Outdoor,USD (US$),Statista,48.92,44.7,41.62,45.41,43.86,39.53,47.69,53.29,59.76,60.46,62.33
Poland,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,Toys & Baby,USD (US$),Statista,77.02,76.7,77.06,86.61,87.81,79.63,96.57,109.5,124.3,126.8,131.6
Poland,"Toys, Hobby & DIY",950,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Poland,"Toys, Hobby & DIY",950,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Poland,"Toys, Hobby & DIY",950,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Poland,"Toys, Hobby & DIY",950,Online & Offline Split,Offline,percent,Statista,93.784,93.972,93.999,92.249,91.548,90.954,90.35,89.71,89.004,,
Poland,"Toys, Hobby & DIY",950,Online & Offline Split,Online,percent,Statista,6.216,6.028,6.001,7.751,8.452,9.046,9.65,10.29,10.996,,
Poland,"Toys, Hobby & DIY",950,Mobile/Desktop Split,Desktop,percent,Statista,68.344,66.69,65.311,64.308,63.178,62.123,61.072,60.856,60.649,,
Poland,"Toys, Hobby & DIY",950,Mobile/Desktop Split,Mobile,percent,Statista,31.656,33.31,34.689,35.692,36.822,37.877,38.928,39.144,39.351,,
Poland,"Toys, Hobby & DIY",950,Users by Segment,Total,million users,Statista,7.93,8.844,9.863,10.989,12.276,13.543,14.646,15.481,16.323,17.334,18.284
Poland,"Toys, Hobby & DIY",950,Users by Segment,"DIY, Garden & Pets",million users,Statista,5.145,5.766,6.425,7.143,7.905,8.635,9.315,9.836,10.361,10.958,11.519
Poland,"Toys, Hobby & DIY",950,Users by Segment,Hobby & Stationery,million users,Statista,4.961,5.5,6.129,6.813,7.678,8.542,9.302,9.915,10.535,11.246,11.931
Poland,"Toys, Hobby & DIY",950,Users by Segment,Sports & Outdoor,million users,Statista,3.837,4.347,4.898,5.494,6.136,6.765,7.298,7.706,8.118,8.592,9.032
Poland,"Toys, Hobby & DIY",950,Users by Segment,Toys & Baby,million users,Statista,3.27,3.587,3.954,4.396,4.909,5.412,5.838,6.106,6.376,6.744,7.077
Poland,"Toys, Hobby & DIY",950,Penetration Rate by Segment,"DIY, Garden & Pets",percent,Statista,13.557,15.205,16.959,18.873,20.913,22.879,24.725,26.159,27.62,29.284,30.869
Poland,"Toys, Hobby & DIY",950,Penetration Rate by Segment,Hobby & Stationery,percent,Statista,13.072,14.503,16.176,18.002,20.314,22.635,24.69,26.371,28.082,30.053,31.975
Poland,"Toys, Hobby & DIY",950,Penetration Rate by Segment,Sports & Outdoor,percent,Statista,10.11,11.464,12.927,14.518,16.235,17.925,19.371,20.495,21.639,22.961,24.204
Poland,"Toys, Hobby & DIY",950,Penetration Rate by Segment,"Toys, Hobby & DIY",percent,Statista,20.895,23.323,26.032,29.036,32.478,35.886,38.875,41.173,43.51,46.323,49
Poland,"Toys, Hobby & DIY",950,Penetration Rate by Segment,Toys & Baby,percent,Statista,8.617,9.459,10.436,11.614,12.988,14.34,15.497,16.24,16.997,18.021,18.965
Poland,Toys & Baby,9503,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,7.52,,,,,,
Poland,Toys & Baby,9503,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,38.02,,,,,,
Poland,Toys & Baby,9503,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,35.446,,,,,,
Poland,Toys & Baby,9503,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,10.891,,,,,,
