Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Puerto Rico,Footwear,6403,Revenue,Total,million USD (US$),Statista,220.2,219.6,238,344.6,396.6,361.3,365.8,353.6,345.3,338.6,322.4
Puerto Rico,Footwear,6403,Revenue,Leather Footwear,million USD (US$),Statista,102.6,102,110.4,152.5,171.5,155,156.7,151.4,147.9,144.5,137.2
Puerto Rico,Footwear,6403,Revenue,Luxury Footwear,million USD (US$),Statista,4.816,5.286,6.164,8.762,10.34,10.71,12.3,13.39,14.62,15.12,15.29
Puerto Rico,Footwear,6403,Revenue,Other Footwear,million USD (US$),Statista,6.048,6.03,6.537,9.465,10.89,9.922,10.05,9.71,9.484,9.301,8.855
Puerto Rico,Footwear,6403,Revenue,Sneakers,million USD (US$),Statista,31.13,30.97,33.5,51.55,60.91,55.96,56.4,53.84,51.86,50.87,48.28
Puerto Rico,Footwear,6403,Revenue,Textile & Other Footwear,million USD (US$),Statista,75.63,75.24,81.4,122.4,143,129.7,130.4,125.2,121.4,118.8,112.8
Puerto Rico,Footwear,6403,Revenue Change,Total,percent,Statista,,-0.272,8.379,44.79,15.09,-8.901,1.246,-3.335,-2.347,-1.94,-4.784
Puerto Rico,Footwear,6403,Revenue Change,Leather Footwear,percent,Statista,,-0.585,8.235,38.134,12.459,-9.621,1.097,-3.382,-2.312,-2.299,-5.052
Puerto Rico,Footwear,6403,Revenue Change,Luxury Footwear,percent,Statista,,9.759,16.61,42.148,18.01,3.578,14.846,8.862,9.186,3.42,1.124
Puerto Rico,Footwear,6403,Revenue Change,Other Footwear,percent,Statista,,-0.298,8.408,44.791,15.055,-8.889,1.29,-3.383,-2.327,-1.93,-4.795
Puerto Rico,Footwear,6403,Revenue Change,Sneakers,percent,Statista,,-0.514,8.169,53.881,18.157,-8.127,0.786,-4.539,-3.678,-1.909,-5.091
Puerto Rico,Footwear,6403,Revenue Change,Textile & Other Footwear,percent,Statista,,-0.516,8.187,50.369,16.83,-9.301,0.54,-3.988,-3.035,-2.142,-5.051
