Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Republic of the Congo,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Republic of the Congo,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Republic of the Congo,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),BANDAI NAMCO Holdings Inc.,billion USD (US$),Statista Company DB,6.047,6.632,6.642,6.939,,,,,,,
Republic of the Congo,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Build-A-Bear Workshop, Inc.",billion USD (US$),Statista Company DB,0.358,0.337,0.339,0.255,,,,,,,
Republic of the Congo,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Carter'S, Inc.",billion USD (US$),Statista Company DB,3.444,3.501,3.554,3.051,3.523,,,,,,
Republic of the Congo,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Costco Wholesale Corp.,billion USD (US$),Statista Company DB,129,141.6,152.7,166.8,195.9,,,,,,
Republic of the Congo,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Republic of the Congo,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Republic of the Congo,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Republic of the Congo,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Republic of the Congo,Toys & Baby,9503,Revenue,Total,million USD (US$),Statista,0.757,0.878,1.054,1.269,1.526,1.582,1.907,2.168,2.492,2.694,2.922
Republic of the Congo,Toys & Baby,9503,Revenue,Baby,million USD (US$),Statista,0.124,0.16,0.211,0.254,0.281,0.287,0.341,0.378,0.426,0.46,0.497
Republic of the Congo,Toys & Baby,9503,Revenue,Other Toys & Baby,million USD (US$),Statista,0,0,0,0,0,0,0,0,0,0,0
Republic of the Congo,Toys & Baby,9503,Revenue,Toys,million USD (US$),Statista,0.633,0.718,0.843,1.015,1.245,1.294,1.567,1.79,2.066,2.234,2.426
Republic of the Congo,Toys & Baby,9503,Revenue Change,Total,percent,Statista,,15.993,20.1,20.398,20.252,3.67,20.544,13.686,14.945,8.106,8.463
Republic of the Congo,Toys & Baby,9503,Revenue Change,Baby,percent,Statista,,29.103,32.248,20.028,10.809,2.278,18.622,10.798,12.791,8.007,7.978
Republic of the Congo,Toys & Baby,9503,Revenue Change,Other Toys & Baby,percent,Statista,,�,�,�,�,�,�,�,�,�,�
Republic of the Congo,Toys & Baby,9503,Revenue Change,Toys,percent,Statista,,13.43,17.412,20.418,22.66,3.936,21.097,14.231,15.419,8.132,8.594
Republic of the Congo,Toys & Baby,9503,Average Revenue per User,Total,USD (US$),Statista,9.37,8.681,6.185,6.296,6.462,5.804,6.175,6.183,6.325,6.242,6.214
Republic of the Congo,Toys & Baby,9503,Average Revenue per User,Baby,USD (US$),Statista,2.553,2.633,2.065,2.096,1.983,1.757,1.839,1.795,1.802,1.779,1.765
Republic of the Congo,Toys & Baby,9503,Average Revenue per User,Other Toys & Baby,USD (US$),Statista,0,0,0,0,0,0,0,0,0,0,0
Republic of the Congo,Toys & Baby,9503,Average Revenue per User,Toys,USD (US$),Statista,9.798,8.877,6.182,6.297,6.591,5.937,6.339,6.383,6.554,6.471,6.447
Republic of the Congo,Toys & Baby,9503,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Republic of the Congo,Toys & Baby,9503,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Republic of the Congo,Toys & Baby,9503,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
