Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Russia,Toys & Baby,9503,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,9.4,,,,,,
Russia,Toys & Baby,9503,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,38.926,,,,,,
Russia,Toys & Baby,9503,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,31.991,,,,,,
Russia,Toys & Baby,9503,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,11.186,,,,,,
Russia,Toys & Baby,9503,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,8.5,,,,,,
Russia,Toys & Baby,9503,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,67.114,,,,,,
Russia,Toys & Baby,9503,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,32.886,,,,,,
Russia,Toys & Baby,9503,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,41.444,,,,,,
Russia,Toys & Baby,9503,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,25.668,,,,,,
Russia,Toys & Baby,9503,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,32.888,,,,,,
Russia,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Russia,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Russia,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),BANDAI NAMCO Holdings Inc.,billion USD (US$),Statista Company DB,6.047,6.632,6.642,6.939,,,,,,,
Russia,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Build-A-Bear Workshop, Inc.",billion USD (US$),Statista Company DB,0.358,0.337,0.339,0.255,,,,,,,
Russia,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Carter'S, Inc.",billion USD (US$),Statista Company DB,3.444,3.501,3.554,3.051,3.523,,,,,,
Russia,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Costco Wholesale Corp.,billion USD (US$),Statista Company DB,129,141.6,152.7,166.8,195.9,,,,,,
Russia,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Russia,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Russia,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Russia,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Russia,Toys & Baby,9503,Revenue,Total,billion USD (US$),Statista,0.452,0.502,0.561,0.753,0.873,0.61,1.014,1.254,1.549,1.668,1.828
Russia,Toys & Baby,9503,Revenue,Baby,billion USD (US$),Statista,0.082,0.091,0.102,0.129,0.148,0.109,0.191,0.249,0.323,0.348,0.384
Russia,Toys & Baby,9503,Revenue,Other Toys & Baby,billion USD (US$),Statista,0.178,0.198,0.221,0.297,0.344,0.24,0.399,0.494,0.61,0.657,0.72
Russia,Toys & Baby,9503,Revenue,Toys,billion USD (US$),Statista,0.192,0.213,0.238,0.328,0.381,0.26,0.423,0.511,0.617,0.663,0.724
Russia,Toys & Baby,9503,Revenue Change,Total,percent,Statista,,10.922,11.919,34.123,15.921,-30.16,66.311,23.669,23.525,7.682,9.592
Russia,Toys & Baby,9503,Revenue Change,Baby,percent,Statista,,11.235,12.1,25.98,15.019,-26.116,75.275,30.094,29.518,7.907,10.46
Russia,Toys & Baby,9503,Revenue Change,Other Toys & Baby,percent,Statista,,10.949,11.893,34.147,15.914,-30.163,66.264,23.697,23.532,7.672,9.562
Russia,Toys & Baby,9503,Revenue Change,Toys,percent,Statista,,10.759,11.872,37.584,16.28,-31.725,62.442,20.827,20.622,7.591,9.121
Russia,Toys & Baby,9503,Average Revenue per User,Total,USD (US$),Statista,48.42,48.84,49.58,59.88,62.26,39.51,61,72.26,85.61,87.33,91.35
Russia,Toys & Baby,9503,Average Revenue per User,Baby,USD (US$),Statista,14.6,14.76,15,17.03,17.57,11.79,19.2,23.92,29.71,30.37,32.02
Russia,Toys & Baby,9503,Average Revenue per User,Other Toys & Baby,USD (US$),Statista,105.9,106.9,108.5,131,136.2,86.44,133.4,158.1,187.3,191,199.8
Russia,Toys & Baby,9503,Average Revenue per User,Toys,USD (US$),Statista,25.75,25.94,26.32,32.6,34,21.09,31.82,36.81,42.59,43.41,45.22
Russia,Toys & Baby,9503,Comparable Estimates - eCommerce (Russia),*Statista,billion USD (US$),,21.71,24.16,27.12,36.67,42.51,27.47,46.35,55.73,66.95,71.49,77.47
Russia,Toys & Baby,9503,Comparable Estimates - eCommerce (Russia),UNCTAD,billion USD (US$),,,,31,,,,,,,,
Russia,Toys & Baby,9503,Online & Offline Split,Offline,percent,Statista,88.056,87.412,86.766,83.809,82.229,79.665,77.145,74.149,70.77,,
Russia,Toys & Baby,9503,Online & Offline Split,Online,percent,Statista,11.944,12.588,13.234,16.191,17.771,20.335,22.855,25.851,29.23,,
Russia,Toys & Baby,9503,Mobile/Desktop Split,Desktop,percent,Statista,67.619,65.772,63.928,62.089,60.231,58.622,57.021,56.981,56.95,,
Russia,Toys & Baby,9503,Mobile/Desktop Split,Mobile,percent,Statista,32.381,34.228,36.072,37.911,39.769,41.378,42.979,43.019,43.05,,
Russia,Toys & Baby,9503,Users,Total,million users,Statista,9.341,10.272,11.325,12.576,14.022,15.431,16.618,17.354,18.095,19.102,20.008
Russia,Toys & Baby,9503,Users,Baby,million users,Statista,5.605,6.163,6.795,7.546,8.413,9.258,9.971,10.412,10.857,11.461,12.005
Russia,Toys & Baby,9503,Users,Other Toys & Baby,million users,Statista,1.681,1.849,2.038,2.264,2.524,2.778,2.991,3.124,3.257,3.438,3.601
Russia,Toys & Baby,9503,Users,Toys,million users,Statista,7.473,8.217,9.06,10.061,11.218,12.345,13.294,13.883,14.476,15.281,16.006
Russia,Toys & Baby,9503,Penetration Rate,Baby,percent,Statista,3.851,4.229,4.658,5.171,5.766,6.35,6.847,7.161,7.481,7.913,8.308
Russia,Toys & Baby,9503,Penetration Rate,Other Toys & Baby,percent,Statista,1.155,1.269,1.397,1.551,1.73,1.905,2.054,2.148,2.244,2.374,2.492
Russia,Toys & Baby,9503,Penetration Rate,Toys,percent,Statista,5.135,5.639,6.211,6.894,7.688,8.466,9.129,9.548,9.974,10.551,11.077
Russia,Toys & Baby,9503,Penetration Rate,Toys & Baby,percent,Statista,6.419,7.048,7.764,8.618,9.61,10.583,11.411,11.935,12.468,13.189,13.846
Russia,Sports & Outdoor,9506,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,10.882,,,,,,
Russia,Sports & Outdoor,9506,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,30.588,,,,,,
Russia,Sports & Outdoor,9506,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,32.059,,,,,,
Russia,Sports & Outdoor,9506,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,15.294,,,,,,
Russia,Sports & Outdoor,9506,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,11.176,,,,,,
Russia,Sports & Outdoor,9506,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,47.059,,,,,,
Russia,Sports & Outdoor,9506,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,52.941,,,,,,
Russia,Sports & Outdoor,9506,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,51.195,,,,,,
Russia,Sports & Outdoor,9506,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,19.795,,,,,,
Russia,Sports & Outdoor,9506,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,29.01,,,,,,
Russia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Adidas Ag,billion USD (US$),Statista Company DB,,26.09,26.7,22.79,25.49,,,,,,
Russia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Russia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Anta Sports Products Ltd.,billion USD (US$),Statista Company DB,2.535,3.758,5.059,5.348,,,,,,,
Russia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Dick'S Sporting Goods, Inc.",billion USD (US$),Statista Company DB,8.59,8.437,8.751,9.584,12.29,,,,,,
Russia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Fila Holdings Corp.,billion USD (US$),Statista Company DB,2.24,2.697,2.972,2.662,3.35,,,,,,
Russia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Fitbit,billion USD (US$),Statista Company DB,1.616,1.512,1.435,,,,,,,,
Russia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Russia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Lululemon Athletica, Inc.",billion USD (US$),Statista Company DB,2.649,3.288,3.979,4.402,,,,,,,
Russia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Nike, Inc.",billion USD (US$),Statista Company DB,36.4,39.12,37.4,44.54,,,,,,,
Russia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Under Armour, Inc.",billion USD (US$),Statista Company DB,4.977,5.193,5.267,4.475,5.685,,,,,,
Russia,Sports & Outdoor,9506,Revenue,Total,million USD (US$),Statista,213.3,236.2,263.8,395.8,464.6,319.7,524.4,641.1,783.6,846.6,927.8
Russia,Sports & Outdoor,9506,Revenue,Athletic Footwear,million USD (US$),Statista,35.88,39.55,44.01,65.21,76.1,53.08,88.25,109.3,135.4,146.3,160.7
Russia,Sports & Outdoor,9506,Revenue,Fishing Articles & Equipment,million USD (US$),Statista,24.74,27.4,30.66,48.44,57.29,38.01,60.02,70.48,82.63,89.2,97.08
Russia,Sports & Outdoor,9506,Revenue,Other Sports & Outdoor,million USD (US$),Statista,44.01,48.72,54.42,81.63,95.83,65.94,108.2,132.2,161.6,174.6,191.4
Russia,Sports & Outdoor,9506,Revenue,Sports & Swimwear,million USD (US$),Statista,48.45,53.75,60.05,78.35,90.23,67.05,118.2,154.4,200.7,216.8,239.8
Russia,Sports & Outdoor,9506,Revenue,Summer Sports Equipment,million USD (US$),Statista,37.37,41.4,46.32,73.42,86.87,57.57,90.78,106.5,124.7,134.6,146.5
Russia,Sports & Outdoor,9506,Revenue,Winter Sports Equipment,million USD (US$),Statista,22.91,25.37,28.39,48.73,58.3,38.03,59.04,68.17,78.58,85,92.35
Russia,Sports & Outdoor,9506,Revenue Change,Total,percent,Statista,,10.736,11.685,50.038,17.383,-31.188,64.029,22.254,22.227,8.04,9.591
Russia,Sports & Outdoor,9506,Revenue Change,Athletic Footwear,percent,Statista,,10.229,11.277,48.171,16.7,-30.25,66.258,23.853,23.879,8.05,9.843
Russia,Sports & Outdoor,9506,Revenue Change,Fishing Articles & Equipment,percent,Statista,,10.752,11.898,57.991,18.27,-33.653,57.906,17.428,17.239,7.951,8.834
Russia,Sports & Outdoor,9506,Revenue Change,Other Sports & Outdoor,percent,Statista,,10.702,11.7,50,17.396,-31.191,64.089,22.181,22.239,8.045,9.622
Russia,Sports & Outdoor,9506,Revenue Change,Sports & Swimwear,percent,Statista,,10.939,11.721,30.475,15.163,-25.69,76.286,30.626,29.987,8.022,10.609
Russia,Sports & Outdoor,9506,Revenue Change,Summer Sports Equipment,percent,Statista,,10.784,11.884,58.506,18.319,-33.729,57.686,17.317,17.089,7.939,8.841
Russia,Sports & Outdoor,9506,Revenue Change,Winter Sports Equipment,percent,Statista,,10.738,11.904,71.645,19.639,-34.768,55.246,15.464,15.271,8.17,8.647
Russia,Sports & Outdoor,9506,Average Revenue per User,Total,USD (US$),Statista,19.47,18.97,18.81,25.18,26.51,16.57,25.25,29.27,34.02,34.79,36.34
Russia,Sports & Outdoor,9506,Average Revenue per User,Athletic Footwear,USD (US$),Statista,5.456,5.295,5.229,6.913,7.236,4.587,7.081,8.32,9.798,10.02,10.49
Russia,Sports & Outdoor,9506,Average Revenue per User,Fishing Articles & Equipment,USD (US$),Statista,11.29,11.01,10.93,15.41,16.34,9.854,14.45,16.09,17.93,18.33,19.01
Russia,Sports & Outdoor,9506,Average Revenue per User,Other Sports & Outdoor,USD (US$),Statista,21.13,20.6,20.42,27.33,28.78,17.99,27.41,31.78,36.93,37.76,39.44
Russia,Sports & Outdoor,9506,Average Revenue per User,Sports & Swimwear,USD (US$),Statista,11.05,10.79,10.7,12.46,12.87,8.691,14.22,17.62,21.78,22.27,23.48
Russia,Sports & Outdoor,9506,Average Revenue per User,Summer Sports Equipment,USD (US$),Statista,6.82,6.651,6.604,9.341,9.913,5.97,8.741,9.724,10.82,11.06,11.47
Russia,Sports & Outdoor,9506,Average Revenue per User,Winter Sports Equipment,USD (US$),Statista,5.225,5.096,5.059,7.749,8.315,4.929,7.105,7.782,8.528,8.732,9.043
Russia,Sports & Outdoor,9506,Comparable Estimates - eCommerce (Russia),*Statista,billion USD (US$),,21.71,24.16,27.12,36.67,42.51,27.47,46.35,55.73,66.95,71.49,77.47
Russia,Sports & Outdoor,9506,Comparable Estimates - eCommerce (Russia),UNCTAD,billion USD (US$),,,,31,,,,,,,,
Russia,Sports & Outdoor,9506,Online & Offline Split,Offline,percent,Statista,91.628,91.17,90.517,83.461,83.844,81.943,79.547,76.377,72.577,,
Russia,Sports & Outdoor,9506,Online & Offline Split,Online,percent,Statista,8.372,8.83,9.483,16.539,16.156,18.057,20.453,23.623,27.423,,
Russia,Sports & Outdoor,9506,Mobile/Desktop Split,Desktop,percent,Statista,67.619,65.772,63.928,62.089,60.231,58.622,57.021,56.981,56.95,,
Russia,Sports & Outdoor,9506,Mobile/Desktop Split,Mobile,percent,Statista,32.381,34.228,36.072,37.911,39.769,41.378,42.979,43.019,43.05,,
Russia,Sports & Outdoor,9506,Users,Total,million users,Statista,10.96,12.449,14.028,15.72,17.528,19.288,20.772,21.901,23.038,24.336,25.532
Russia,Sports & Outdoor,9506,Users,Athletic Footwear,million users,Statista,6.576,7.47,8.417,9.432,10.517,11.573,12.463,13.141,13.823,14.601,15.319
Russia,Sports & Outdoor,9506,Users,Fishing Articles & Equipment,million users,Statista,2.192,2.49,2.806,3.144,3.506,3.858,4.154,4.38,4.608,4.867,5.107
Russia,Sports & Outdoor,9506,Users,Other Sports & Outdoor,million users,Statista,2.082,2.365,2.665,2.987,3.33,3.665,3.947,4.161,4.377,4.624,4.851
Russia,Sports & Outdoor,9506,Users,Sports & Swimwear,million users,Statista,4.384,4.98,5.611,6.288,7.011,7.715,8.309,8.76,9.215,9.734,10.213
Russia,Sports & Outdoor,9506,Users,Summer Sports Equipment,million users,Statista,5.48,6.225,7.014,7.86,8.764,9.644,10.386,10.95,11.519,12.168,12.766
Russia,Sports & Outdoor,9506,Users,Winter Sports Equipment,million users,Statista,4.384,4.98,5.611,6.288,7.011,7.715,8.309,8.76,9.215,9.734,10.213
Russia,Sports & Outdoor,9506,Penetration Rate,Athletic Footwear,percent,Statista,4.519,5.125,5.77,6.463,7.208,7.937,8.558,9.038,9.524,10.081,10.601
Russia,Sports & Outdoor,9506,Penetration Rate,Fishing Articles & Equipment,percent,Statista,1.506,1.708,1.923,2.154,2.403,2.646,2.853,3.013,3.175,3.361,3.534
Russia,Sports & Outdoor,9506,Penetration Rate,Other Sports & Outdoor,percent,Statista,1.431,1.623,1.827,2.047,2.282,2.513,2.71,2.862,3.016,3.193,3.357
Russia,Sports & Outdoor,9506,Penetration Rate,Sports & Outdoor,percent,Statista,7.531,8.542,9.616,10.772,12.013,13.229,14.264,15.063,15.874,16.802,17.669
Russia,Sports & Outdoor,9506,Penetration Rate,Sports & Swimwear,percent,Statista,3.012,3.417,3.847,4.309,4.805,5.292,5.705,6.025,6.349,6.721,7.067
Russia,Sports & Outdoor,9506,Penetration Rate,Summer Sports Equipment,percent,Statista,3.765,4.271,4.808,5.386,6.006,6.614,7.132,7.531,7.937,8.401,8.834
Russia,Sports & Outdoor,9506,Penetration Rate,Winter Sports Equipment,percent,Statista,3.012,3.417,3.847,4.309,4.805,5.292,5.705,6.025,6.349,6.721,7.067
Russia,"DIY, Garden & Pets",4419,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,6.58,,,,,,
Russia,"DIY, Garden & Pets",4419,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,23.684,,,,,,
Russia,"DIY, Garden & Pets",4419,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,26.754,,,,,,
Russia,"DIY, Garden & Pets",4419,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,23.026,,,,,,
Russia,"DIY, Garden & Pets",4419,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,19.956,,,,,,
Russia,"DIY, Garden & Pets",4419,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,57.895,,,,,,
Russia,"DIY, Garden & Pets",4419,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,42.105,,,,,,
Russia,"DIY, Garden & Pets",4419,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,47.15,,,,,,
Russia,"DIY, Garden & Pets",4419,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,18.912,,,,,,
Russia,"DIY, Garden & Pets",4419,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,33.938,,,,,,
Russia,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Russia,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"Carmax, Inc.",billion USD (US$),Statista Company DB,17.54,18.61,20.78,19.51,,,,,,,
Russia,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),Carvana Co.,billion USD (US$),Statista Company DB,0.859,1.955,3.94,5.587,12.81,,,,,,
Russia,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"Chewy, Inc.",billion USD (US$),Statista Company DB,2.104,3.533,4.847,7.146,,,,,,,
Russia,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),Costco Wholesale Corp.,billion USD (US$),Statista Company DB,129,141.6,152.7,166.8,195.9,,,,,,
Russia,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Russia,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"Lowe'S Cos., Inc.",billion USD (US$),Statista Company DB,68.62,71.31,72.15,89.6,96.25,,,,,,
Russia,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"The Home Depot, Inc.",billion USD (US$),Statista Company DB,100.9,108.2,110.2,132.1,151.2,,,,,,
Russia,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),Vroom,billion USD (US$),Statista Company DB,,0.855,1.192,1.358,3.184,,,,,,
Russia,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"W.W. Grainger, Inc.",billion USD (US$),Statista Company DB,10.42,11.22,11.49,11.8,13.02,,,,,,
Russia,"DIY, Garden & Pets",4419,Revenue,Total,million USD (US$),Statista,"1,193","1,270","1,368","1,847","2,047","1,224","1,715","1,767","1,803","1,829","1,854"
Russia,"DIY, Garden & Pets",4419,Revenue,DIY & Garden,million USD (US$),Statista,"1,173","1,248","1,344","1,813","2,008","1,198","1,675","1,720","1,748","1,771","1,791"
Russia,"DIY, Garden & Pets",4419,Revenue,"Other DIY, Garden & Pets",million USD (US$),Statista,4.07,4.435,4.928,6.968,8.131,5.347,8.348,9.676,11.18,11.99,12.96
Russia,"DIY, Garden & Pets",4419,Revenue,Pet Food,million USD (US$),Statista,15.66,17.07,18.96,26.81,31.29,20.58,32.12,37.23,43.02,46.13,49.88
Russia,"DIY, Garden & Pets",4419,Revenue Change,Total,percent,Statista,,6.454,7.717,35.015,10.828,-40.205,40.114,3.032,2.037,1.442,1.367
Russia,"DIY, Garden & Pets",4419,Revenue Change,DIY & Garden,percent,Statista,,6.394,7.692,34.896,10.756,-40.339,39.816,2.687,1.628,1.316,1.129
Russia,"DIY, Garden & Pets",4419,Revenue Change,"Other DIY, Garden & Pets",percent,Statista,,8.968,11.116,41.396,16.691,-34.239,56.125,15.908,15.544,7.245,8.09
Russia,"DIY, Garden & Pets",4419,Revenue Change,Pet Food,percent,Statista,,9.004,11.072,41.403,16.71,-34.228,56.074,15.909,15.552,7.229,8.129
Russia,"DIY, Garden & Pets",4419,Average Revenue per User,Total,USD (US$),Statista,81.15,76.89,74.32,90.35,90.67,49.73,64.7,63.22,61.3,58.93,56.95
Russia,"DIY, Garden & Pets",4419,Average Revenue per User,DIY & Garden,USD (US$),Statista,114,108,104.3,126.7,127,69.54,90.25,87.92,84.94,81.51,78.6
Russia,"DIY, Garden & Pets",4419,Average Revenue per User,"Other DIY, Garden & Pets",USD (US$),Statista,1.108,1.074,1.071,1.364,1.44,0.869,1.259,1.385,1.521,1.545,1.592
Russia,"DIY, Garden & Pets",4419,Average Revenue per User,Pet Food,USD (US$),Statista,1.522,1.477,1.472,1.874,1.98,1.194,1.731,1.903,2.09,2.123,2.189
Russia,"DIY, Garden & Pets",4419,"Comparable Estimates - DIY, Garden & Pets (Worldwide)",*Statista,billion USD (US$),,108.3,120.9,134,193.1,248.1,247.7,289.7,315.4,342.6,367.6,392.9
Russia,"DIY, Garden & Pets",4419,"Comparable Estimates - DIY, Garden & Pets (Worldwide)",Million Insights,billion USD (US$),,,,,96.4,99.68,,,,,,
Russia,"DIY, Garden & Pets",4419,Online & Offline Split,Offline,percent,Statista,97.033,96.927,96.765,95.567,95.432,95.37,95.35,95.391,95.451,,
Russia,"DIY, Garden & Pets",4419,Online & Offline Split,Online,percent,Statista,2.967,3.073,3.235,4.433,4.568,4.63,4.65,4.609,4.549,,
