Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Rwanda,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Adidas Ag,billion USD (US$),Statista Company DB,,26.09,26.7,22.79,25.49,,,,,,
Rwanda,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Rwanda,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Anta Sports Products Ltd.,billion USD (US$),Statista Company DB,2.535,3.758,5.059,5.348,,,,,,,
Rwanda,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Dick'S Sporting Goods, Inc.",billion USD (US$),Statista Company DB,8.59,8.437,8.751,9.584,12.29,,,,,,
Rwanda,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Fila Holdings Corp.,billion USD (US$),Statista Company DB,2.24,2.697,2.972,2.662,3.35,,,,,,
Rwanda,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Fitbit,billion USD (US$),Statista Company DB,1.616,1.512,1.435,,,,,,,,
Rwanda,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Rwanda,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Lululemon Athletica, Inc.",billion USD (US$),Statista Company DB,2.649,3.288,3.979,4.402,,,,,,,
Rwanda,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Nike, Inc.",billion USD (US$),Statista Company DB,36.4,39.12,37.4,44.54,,,,,,,
Rwanda,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Under Armour, Inc.",billion USD (US$),Statista Company DB,4.977,5.193,5.267,4.475,5.685,,,,,,
Rwanda,Sports & Outdoor,9506,Revenue,Total,million USD (US$),Statista,1.457,1.875,2.429,3.728,4.925,5.484,6.811,7.947,9.25,10.2,11.22
Rwanda,Sports & Outdoor,9506,Revenue,Athletic Footwear,million USD (US$),Statista,0.538,0.72,0.968,1.399,1.758,1.892,2.274,2.548,2.851,3.136,3.424
Rwanda,Sports & Outdoor,9506,Revenue,Fishing Articles & Equipment,million USD (US$),Statista,0.186,0.23,0.288,0.474,0.646,0.727,0.908,1.068,1.251,1.382,1.523
Rwanda,Sports & Outdoor,9506,Revenue,Other Sports & Outdoor,million USD (US$),Statista,0.363,0.461,0.583,0.874,1.184,1.363,1.75,2.114,2.541,2.801,3.098
Rwanda,Sports & Outdoor,9506,Revenue,Sports & Swimwear,million USD (US$),Statista,0.057,0.079,0.104,0.172,0.232,0.265,0.34,0.414,0.503,0.555,0.616
Rwanda,Sports & Outdoor,9506,Revenue,Summer Sports Equipment,million USD (US$),Statista,0.286,0.355,0.446,0.74,1.011,1.134,1.414,1.66,1.941,2.143,2.362
Rwanda,Sports & Outdoor,9506,Revenue,Winter Sports Equipment,million USD (US$),Statista,0.026,0.032,0.039,0.069,0.094,0.103,0.125,0.143,0.164,0.181,0.199
Rwanda,Sports & Outdoor,9506,Revenue Change,Total,percent,Statista,,28.689,29.547,53.479,32.108,11.35,24.198,16.679,16.396,10.27,10
Rwanda,Sports & Outdoor,9506,Revenue Change,Athletic Footwear,percent,Statista,,33.612,34.593,44.465,25.661,7.622,20.19,12.049,11.892,9.996,9.184
Rwanda,Sports & Outdoor,9506,Revenue Change,Fishing Articles & Equipment,percent,Statista,,23.176,25.348,64.698,36.224,12.545,24.907,17.66,17.135,10.472,10.203
Rwanda,Sports & Outdoor,9506,Revenue Change,Other Sports & Outdoor,percent,Statista,,27.13,26.437,49.983,35.407,15.118,28.393,20.8,20.199,10.232,10.603
