Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Saudi Arabia,Sports & Outdoor,9506,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,10.244,,,,,,
Saudi Arabia,Sports & Outdoor,9506,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,30.732,,,,,,
Saudi Arabia,Sports & Outdoor,9506,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,32.195,,,,,,
Saudi Arabia,Sports & Outdoor,9506,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,15.122,,,,,,
Saudi Arabia,Sports & Outdoor,9506,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,11.707,,,,,,
Saudi Arabia,Sports & Outdoor,9506,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,41.463,,,,,,
Saudi Arabia,Sports & Outdoor,9506,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,58.537,,,,,,
Saudi Arabia,Sports & Outdoor,9506,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,49.727,,,,,,
Saudi Arabia,Sports & Outdoor,9506,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,25.683,,,,,,
Saudi Arabia,Sports & Outdoor,9506,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,24.59,,,,,,
Saudi Arabia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Adidas Ag,billion USD (US$),Statista Company DB,,26.09,26.7,22.79,25.49,,,,,,
Saudi Arabia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Saudi Arabia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Anta Sports Products Ltd.,billion USD (US$),Statista Company DB,2.535,3.758,5.059,5.348,,,,,,,
Saudi Arabia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Dick'S Sporting Goods, Inc.",billion USD (US$),Statista Company DB,8.59,8.437,8.751,9.584,12.29,,,,,,
Saudi Arabia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Fila Holdings Corp.,billion USD (US$),Statista Company DB,2.24,2.697,2.972,2.662,3.35,,,,,,
Saudi Arabia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Fitbit,billion USD (US$),Statista Company DB,1.616,1.512,1.435,,,,,,,,
Saudi Arabia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Saudi Arabia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Lululemon Athletica, Inc.",billion USD (US$),Statista Company DB,2.649,3.288,3.979,4.402,,,,,,,
Saudi Arabia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Nike, Inc.",billion USD (US$),Statista Company DB,36.4,39.12,37.4,44.54,,,,,,,
Saudi Arabia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Under Armour, Inc.",billion USD (US$),Statista Company DB,4.977,5.193,5.267,4.475,5.685,,,,,,
Saudi Arabia,Sports & Outdoor,9506,Revenue,Total,million USD (US$),Statista,41.44,55.41,68.62,85.21,114.6,128.9,169,207,253.4,277.9,307.3
Saudi Arabia,Sports & Outdoor,9506,Revenue,Athletic Footwear,million USD (US$),Statista,17.92,23.97,29.57,34.88,42.61,47.38,61.37,74.21,89.62,97.87,107.7
Saudi Arabia,Sports & Outdoor,9506,Revenue,Fishing Articles & Equipment,million USD (US$),Statista,1.896,2.379,2.848,3.787,5.646,5.951,7.317,8.416,9.697,10.65,11.67
Saudi Arabia,Sports & Outdoor,9506,Revenue,Other Sports & Outdoor,million USD (US$),Statista,9.575,12.8,15.85,19.69,26.49,29.78,39.04,47.82,58.55,64.22,70.99
Saudi Arabia,Sports & Outdoor,9506,Revenue,Sports & Swimwear,million USD (US$),Statista,9.054,12.5,15.85,20.77,30.73,36.18,49.51,63.08,80.15,88.28,98.37
Saudi Arabia,Sports & Outdoor,9506,Revenue,Summer Sports Equipment,million USD (US$),Statista,2.689,3.373,4.038,5.457,8.209,8.614,10.54,12.07,13.85,15.22,16.68
Saudi Arabia,Sports & Outdoor,9506,Revenue,Winter Sports Equipment,million USD (US$),Statista,0.307,0.385,0.461,0.635,0.964,0.999,1.206,1.363,1.543,1.696,1.854
Saudi Arabia,Sports & Outdoor,9506,Revenue Change,Total,percent,Statista,,33.711,23.84,24.177,34.491,12.478,31.109,22.485,22.415,9.669,10.579
Saudi Arabia,Sports & Outdoor,9506,Revenue Change,Athletic Footwear,percent,Statista,,33.761,23.363,17.957,22.162,11.195,29.527,20.922,20.765,9.206,10.044
Saudi Arabia,Sports & Outdoor,9506,Revenue Change,Fishing Articles & Equipment,percent,Statista,,25.475,19.714,32.971,49.089,5.402,22.954,15.02,15.221,9.828,9.577
Saudi Arabia,Sports & Outdoor,9506,Revenue Change,Other Sports & Outdoor,percent,Statista,,33.681,23.828,24.227,34.535,12.42,31.095,22.49,22.438,9.684,10.542
Saudi Arabia,Sports & Outdoor,9506,Revenue Change,Sports & Swimwear,percent,Statista,,38.061,26.8,31.041,47.954,17.735,36.844,27.409,27.061,10.143,11.43
Saudi Arabia,Sports & Outdoor,9506,Revenue Change,Summer Sports Equipment,percent,Statista,,25.437,19.715,35.141,50.431,4.934,22.359,14.516,14.747,9.892,9.593
Saudi Arabia,Sports & Outdoor,9506,Revenue Change,Winter Sports Equipment,percent,Statista,,25.44,19.735,37.671,51.922,3.557,20.757,13.018,13.206,9.916,9.316
Saudi Arabia,Sports & Outdoor,9506,Average Revenue per User,Total,USD (US$),Statista,20.87,19.49,18.22,17.7,18.79,17.22,18.98,20.54,22.41,22.26,22.48
Saudi Arabia,Sports & Outdoor,9506,Average Revenue per User,Athletic Footwear,USD (US$),Statista,15.04,14.05,13.09,12.07,11.64,10.55,11.49,12.27,13.21,13.07,13.14
