Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Senegal,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Senegal,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"Carmax, Inc.",billion USD (US$),Statista Company DB,17.54,18.61,20.78,19.51,,,,,,,
Senegal,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),Carvana Co.,billion USD (US$),Statista Company DB,0.859,1.955,3.94,5.587,12.81,,,,,,
Senegal,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"Chewy, Inc.",billion USD (US$),Statista Company DB,2.104,3.533,4.847,7.146,,,,,,,
Senegal,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),Costco Wholesale Corp.,billion USD (US$),Statista Company DB,129,141.6,152.7,166.8,195.9,,,,,,
Senegal,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Senegal,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"Lowe'S Cos., Inc.",billion USD (US$),Statista Company DB,68.62,71.31,72.15,89.6,96.25,,,,,,
Senegal,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"The Home Depot, Inc.",billion USD (US$),Statista Company DB,100.9,108.2,110.2,132.1,151.2,,,,,,
Senegal,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),Vroom,billion USD (US$),Statista Company DB,,0.855,1.192,1.358,3.184,,,,,,
Senegal,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"W.W. Grainger, Inc.",billion USD (US$),Statista Company DB,10.42,11.22,11.49,11.8,13.02,,,,,,
Senegal,"DIY, Garden & Pets",4419,Revenue,Total,million USD (US$),Statista,2.044,2.696,3.516,5.649,7.335,8.282,10.42,11.44,12.4,13.79,15.07
Senegal,"DIY, Garden & Pets",4419,Revenue,DIY & Garden,million USD (US$),Statista,1.946,2.577,3.374,5.402,6.993,7.884,9.881,10.76,11.53,12.82,14
Senegal,"DIY, Garden & Pets",4419,Revenue,"Other DIY, Garden & Pets",million USD (US$),Statista,0,0,0,0,0,0,0,0,0,0,0
Senegal,"DIY, Garden & Pets",4419,Revenue,Pet Food,million USD (US$),Statista,0.097,0.119,0.142,0.247,0.342,0.398,0.541,0.687,0.876,0.965,1.075
Senegal,"DIY, Garden & Pets",4419,Revenue Change,Total,percent,Statista,,31.898,30.415,60.666,29.846,12.911,25.815,9.789,8.392,11.21,9.282
Senegal,"DIY, Garden & Pets",4419,Revenue Change,DIY & Garden,percent,Statista,,32.425,30.927,60.107,29.452,12.741,25.33,8.896,7.156,11.188,9.204
Senegal,"DIY, Garden & Pets",4419,Revenue Change,"Other DIY, Garden & Pets",percent,Statista,,�,�,�,�,�,�,�,�,�,�
Senegal,"DIY, Garden & Pets",4419,Revenue Change,Pet Food,percent,Statista,,21.791,19.899,73.699,38.502,16.34,35.854,27.002,27.508,10.153,11.457
Senegal,"DIY, Garden & Pets",4419,Average Revenue per User,Total,USD (US$),Statista,3.773,3.682,3.577,4.495,4.541,4.068,4.251,4.071,3.892,3.916,3.902
Senegal,"DIY, Garden & Pets",4419,Average Revenue per User,DIY & Garden,USD (US$),Statista,5.134,5.029,4.904,6.141,6.185,5.532,5.758,5.466,5.168,5.203,5.176
Senegal,"DIY, Garden & Pets",4419,Average Revenue per User,"Other DIY, Garden & Pets",USD (US$),Statista,0,0,0,0,0,0,0,0,0,0,0
Senegal,"DIY, Garden & Pets",4419,Average Revenue per User,Pet Food,USD (US$),Statista,0.257,0.231,0.207,0.281,0.303,0.279,0.315,0.349,0.393,0.391,0.398
Senegal,"DIY, Garden & Pets",4419,"Comparable Estimates - DIY, Garden & Pets (Worldwide)",*Statista,billion USD (US$),,108.3,120.9,134,193.1,248.1,247.7,289.7,315.4,342.6,367.6,392.9
Senegal,"DIY, Garden & Pets",4419,"Comparable Estimates - DIY, Garden & Pets (Worldwide)",Million Insights,billion USD (US$),,,,,96.4,99.68,,,,,,
Senegal,"DIY, Garden & Pets",4419,Online & Offline Split,Offline,percent,Statista,97.468,97.28,96.863,95.765,94.992,94.714,94.396,94.038,93.63,,
Senegal,"DIY, Garden & Pets",4419,Online & Offline Split,Online,percent,Statista,2.532,2.72,3.137,4.235,5.008,5.286,5.604,5.962,6.37,,
Senegal,"DIY, Garden & Pets",4419,Mobile/Desktop Split,Desktop,percent,Statista,99.931,99.921,99.919,99.898,99.885,99.87,99.849,99.827,99.801,,
Senegal,"DIY, Garden & Pets",4419,Mobile/Desktop Split,Mobile,percent,Statista,0.069,0.079,0.081,0.102,0.115,0.13,0.151,0.173,0.199,,
Senegal,"DIY, Garden & Pets",4419,Users,Total,million users,Statista,0.542,0.732,0.983,1.257,1.615,2.036,2.451,2.811,3.186,3.521,3.863
Senegal,"DIY, Garden & Pets",4419,Users,DIY & Garden,million users,Statista,0.379,0.513,0.688,0.88,1.131,1.425,1.716,1.968,2.23,2.465,2.704
Senegal,"DIY, Garden & Pets",4419,Users,"Other DIY, Garden & Pets",million users,Statista,0.135,0.183,0.246,0.314,0.404,0.509,0.613,0.703,0.796,0.88,0.966
Senegal,"DIY, Garden & Pets",4419,Users,Pet Food,million users,Statista,0.379,0.513,0.688,0.88,1.131,1.425,1.716,1.968,2.23,2.465,2.704
Senegal,"DIY, Garden & Pets",4419,Penetration Rate,"DIY, Garden & Pets",percent,Statista,3.513,4.618,6.031,7.504,9.393,11.532,13.532,15.126,16.713,18.013,19.282
Senegal,"DIY, Garden & Pets",4419,Penetration Rate,DIY & Garden,percent,Statista,2.459,3.233,4.222,5.253,6.575,8.073,9.472,10.588,11.699,12.609,13.498
Senegal,"DIY, Garden & Pets",4419,Penetration Rate,"Other DIY, Garden & Pets",percent,Statista,0.878,1.154,1.508,1.876,2.348,2.883,3.383,3.781,4.178,4.504,4.821
Senegal,"DIY, Garden & Pets",4419,Penetration Rate,Pet Food,percent,Statista,2.459,3.233,4.222,5.253,6.575,8.073,9.472,10.588,11.699,12.609,13.498
Senegal,Hobby & Stationery,9619,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Senegal,Hobby & Stationery,9619,Top Company Revenues (Worldwide & Consolidated),Askul Corp.,billion USD (US$),Statista Company DB,3.213,3.509,3.673,3.954,,,,,,,
Senegal,Hobby & Stationery,9619,Top Company Revenues (Worldwide & Consolidated),"Canon, Inc.",billion USD (US$),Statista Company DB,36.37,35.79,32.96,29.6,,,,,,,
Senegal,Hobby & Stationery,9619,Top Company Revenues (Worldwide & Consolidated),Costco Wholesale Corp.,billion USD (US$),Statista Company DB,129,141.6,152.7,166.8,195.9,,,,,,
Senegal,Hobby & Stationery,9619,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Senegal,Hobby & Stationery,9619,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Senegal,Hobby & Stationery,9619,Top Company Revenues (Worldwide & Consolidated),"Suning.Com Co., Ltd.",billion USD (US$),Statista Company DB,27.7,36.89,38.82,36.42,,,,,,,
Senegal,Hobby & Stationery,9619,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Senegal,Hobby & Stationery,9619,Top Company Revenues (Worldwide & Consolidated),"The Home Depot, Inc.",billion USD (US$),Statista Company DB,100.9,108.2,110.2,132.1,151.2,,,,,,
Senegal,Hobby & Stationery,9619,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Senegal,Hobby & Stationery,9619,Revenue,Total,USD (US$),Statista,"1,205,000","1,361,000","1,573,000","2,159,000","2,628,000","2,763,000","3,323,000","3,787,000","4,314,000","4,688,000","5,093,000"
Senegal,Hobby & Stationery,9619,Revenue,Construction Sets & Models,USD (US$),Statista,"242,000","270,700","311,000","431,300","521,300","562,200","677,100","773,000","883,200","961,300","1,046,000"
Senegal,Hobby & Stationery,9619,Revenue,Drones,USD (US$),Statista,710.9,878.7,"1,054","2,150","2,822","2,713","3,209","3,594","4,073","4,449","4,840"
Senegal,Hobby & Stationery,9619,Revenue,Musical Instruments,USD (US$),Statista,"158,100","178,100","206,600","342,700","453,400","442,100","509,300","558,500","615,500","668,700","721,300"
Senegal,Hobby & Stationery,9619,Revenue,Office Furniture,USD (US$),Statista,"803,800","911,700","1,054,000","1,382,000","1,650,000","1,756,000","2,134,000","2,452,000","2,811,000","3,053,000","3,321,000"
Senegal,Hobby & Stationery,9619,Revenue,Other Hobby & Stationery,USD (US$),Statista,0,0,0,0,0,0,0,0,0,0,0
Senegal,Hobby & Stationery,9619,Revenue,Tobacco Products,USD (US$),Statista,0,0,0,0,0,0,0,0,0,0,0
Senegal,Hobby & Stationery,9619,Revenue Change,Total,percent,Statista,,12.946,15.577,37.254,21.723,5.137,20.268,13.963,13.916,8.669,8.639
Senegal,Hobby & Stationery,9619,Revenue Change,Construction Sets & Models,percent,Statista,,11.86,14.887,38.682,20.867,7.846,20.438,14.163,14.256,8.843,8.811
Senegal,Hobby & Stationery,9619,Revenue Change,Drones,percent,Statista,,23.604,19.95,103.985,31.256,-3.863,18.282,11.998,13.328,9.232,8.788
Senegal,Hobby & Stationery,9619,Revenue Change,Musical Instruments,percent,Statista,,12.65,16.002,65.876,32.302,-2.492,15.2,9.66,10.206,8.643,7.866
Senegal,Hobby & Stationery,9619,Revenue Change,Office Furniture,percent,Statista,,13.424,15.608,31.12,19.392,6.424,21.526,14.902,14.641,8.609,8.778
Senegal,Hobby & Stationery,9619,Revenue Change,Other Hobby & Stationery,percent,Statista,,�,�,�,�,�,�,�,�,�,�
Senegal,Hobby & Stationery,9619,Revenue Change,Tobacco Products,percent,Statista,,0,0,0,0,0,0,0,0,0,0
Senegal,Hobby & Stationery,9619,Average Revenue per User,Total,USD (US$),Statista,2.612,2.109,1.747,1.801,1.665,1.38,1.327,1.332,1.35,1.32,1.304
Senegal,Hobby & Stationery,9619,Average Revenue per User,Construction Sets & Models,USD (US$),Statista,1.749,1.398,1.152,1.2,1.101,0.936,0.901,0.906,0.921,0.902,0.893
Senegal,Hobby & Stationery,9619,Average Revenue per User,Drones,USD (US$),Statista,0.008,0.007,0.006,0.009,0.009,0.007,0.007,0.007,0.007,0.007,0.007
Senegal,Hobby & Stationery,9619,Average Revenue per User,Musical Instruments,USD (US$),Statista,1.558,1.254,1.043,1.3,1.306,1.004,0.924,0.893,0.875,0.856,0.84
Senegal,Hobby & Stationery,9619,Average Revenue per User,Office Furniture,USD (US$),Statista,2.49,2.018,1.673,1.648,1.494,1.253,1.217,1.232,1.257,1.228,1.215
Senegal,Hobby & Stationery,9619,Average Revenue per User,Other Hobby & Stationery,USD (US$),Statista,0,0,0,0,0,0,0,0,0,0,0
Senegal,Hobby & Stationery,9619,Average Revenue per User,Tobacco Products,USD (US$),Statista,0,0,0,0,0,0,0,0,0,0,0
Senegal,Hobby & Stationery,9619,Comparable Estimates - Hobby & Stationery (Worldwide),*Statista,billion USD (US$),,111.3,127.7,145.7,177.2,210.1,199.3,240,267.6,300.6,319.8,341.7
Senegal,Hobby & Stationery,9619,Comparable Estimates - Hobby & Stationery (Worldwide),Million Insights,billion USD (US$),,,,,95.6,99.4,,,,,,
Senegal,Hobby & Stationery,9619,Online & Offline Split,Offline,percent,Statista,99.792,99.771,99.739,99.646,99.59,99.555,99.508,99.294,99.072,,
Senegal,Hobby & Stationery,9619,Online & Offline Split,Online,percent,Statista,0.208,0.229,0.261,0.354,0.41,0.445,0.492,0.706,0.928,,
