Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Serbia,Sports & Outdoor,9506,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,12.687,,,,,,
Serbia,Sports & Outdoor,9506,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,23.134,,,,,,
Serbia,Sports & Outdoor,9506,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,28.358,,,,,,
Serbia,Sports & Outdoor,9506,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,22.388,,,,,,
Serbia,Sports & Outdoor,9506,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,13.433,,,,,,
Serbia,Sports & Outdoor,9506,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,37.313,,,,,,
Serbia,Sports & Outdoor,9506,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,62.687,,,,,,
Serbia,Sports & Outdoor,9506,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,34.444,,,,,,
Serbia,Sports & Outdoor,9506,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,32.222,,,,,,
Serbia,Sports & Outdoor,9506,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,33.333,,,,,,
Serbia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Adidas Ag,billion USD (US$),Statista Company DB,,26.09,26.7,22.79,25.49,,,,,,
Serbia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Serbia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Anta Sports Products Ltd.,billion USD (US$),Statista Company DB,2.535,3.758,5.059,5.348,,,,,,,
Serbia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Dick'S Sporting Goods, Inc.",billion USD (US$),Statista Company DB,8.59,8.437,8.751,9.584,12.29,,,,,,
Serbia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Fila Holdings Corp.,billion USD (US$),Statista Company DB,2.24,2.697,2.972,2.662,3.35,,,,,,
Serbia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Fitbit,billion USD (US$),Statista Company DB,1.616,1.512,1.435,,,,,,,,
Serbia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Serbia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Lululemon Athletica, Inc.",billion USD (US$),Statista Company DB,2.649,3.288,3.979,4.402,,,,,,,
Serbia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Nike, Inc.",billion USD (US$),Statista Company DB,36.4,39.12,37.4,44.54,,,,,,,
Serbia,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Under Armour, Inc.",billion USD (US$),Statista Company DB,4.977,5.193,5.267,4.475,5.685,,,,,,
Serbia,Sports & Outdoor,9506,Revenue,Total,million USD (US$),Statista,17,18.04,19.28,24.84,27.18,26.06,36.87,44.94,54.9,59.2,64.78
Serbia,Sports & Outdoor,9506,Revenue,Athletic Footwear,million USD (US$),Statista,2.837,3.01,3.201,3.864,4.166,4.193,6.228,7.974,10.24,11.04,12.17
Serbia,Sports & Outdoor,9506,Revenue,Fishing Articles & Equipment,million USD (US$),Statista,2.485,2.613,2.78,3.614,3.959,3.664,4.996,5.86,6.879,7.393,8.023
Serbia,Sports & Outdoor,9506,Revenue,Other Sports & Outdoor,million USD (US$),Statista,3.274,3.475,3.712,4.783,5.234,5.019,7.1,8.654,10.57,11.4,12.47
Serbia,Sports & Outdoor,9506,Revenue,Sports & Swimwear,million USD (US$),Statista,2.867,3.123,3.391,4.408,4.859,4.921,7.316,9.326,11.86,12.86,14.2
Serbia,Sports & Outdoor,9506,Revenue,Summer Sports Equipment,million USD (US$),Statista,3.753,3.947,4.199,5.475,6,5.545,7.55,8.843,10.37,11.14,12.09
Serbia,Sports & Outdoor,9506,Revenue,Winter Sports Equipment,million USD (US$),Statista,1.783,1.876,1.995,2.693,2.963,2.72,3.679,4.281,4.986,5.364,5.816
Serbia,Sports & Outdoor,9506,Revenue Change,Total,percent,Statista,,6.118,6.874,28.838,9.42,-4.121,41.481,21.888,22.163,7.832,9.426
Serbia,Sports & Outdoor,9506,Revenue Change,Athletic Footwear,percent,Statista,,6.098,6.346,20.712,7.816,0.648,48.533,28.035,28.417,7.812,10.236
Serbia,Sports & Outdoor,9506,Revenue Change,Fishing Articles & Equipment,percent,Statista,,5.151,6.391,30,9.546,-7.451,36.354,17.294,17.389,7.472,8.522
Serbia,Sports & Outdoor,9506,Revenue Change,Other Sports & Outdoor,percent,Statista,,6.139,6.82,28.852,9.429,-4.108,41.462,21.887,22.14,7.852,9.386
