Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Seychelles,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Seychelles,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Seychelles,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Seychelles,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Seychelles,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Seychelles,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Seychelles,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Seychelles,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Seychelles,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Seychelles,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Seychelles,"Beauty, Health, Personal & Household Care",3304,Revenue,Total,million USD (US$),Statista,0.783,0.963,1.168,1.406,1.802,2.059,2.678,3.224,3.921,4.27,4.691
Seychelles,"Beauty, Health, Personal & Household Care",3304,Revenue,Beauty Care,million USD (US$),Statista,0.16,0.194,0.23,0.256,0.329,0.375,0.486,0.569,0.669,0.731,0.801
Seychelles,"Beauty, Health, Personal & Household Care",3304,Revenue,Health Care,million USD (US$),Statista,0.049,0.064,0.084,0.092,0.136,0.177,0.253,0.335,0.445,0.489,0.547
Seychelles,"Beauty, Health, Personal & Household Care",3304,Revenue,Household Care,million USD (US$),Statista,0.113,0.142,0.179,0.233,0.301,0.38,0.534,0.713,0.951,1.042,1.165
Seychelles,"Beauty, Health, Personal & Household Care",3304,Revenue,Personal Care,million USD (US$),Statista,0.462,0.563,0.675,0.826,1.036,1.127,1.405,1.608,1.856,2.008,2.178
Seychelles,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Total,percent,Statista,,22.992,21.237,20.377,28.165,14.262,30.063,20.388,21.619,8.901,9.859
Seychelles,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Beauty Care,percent,Statista,,21.214,18.585,11.232,28.806,14.069,29.542,16.965,17.669,9.234,9.588
Seychelles,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Health Care,percent,Statista,,31.764,31.643,9.541,46.613,30.775,42.551,32.581,32.905,9.796,11.848
Seychelles,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Household Care,percent,Statista,,26.667,25.333,30.291,29.394,26.038,40.711,33.446,33.483,9.546,11.804
Seychelles,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Personal Care,percent,Statista,,21.826,19.815,22.362,25.469,8.784,24.667,14.448,15.423,8.19,8.466
Seychelles,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Total,USD (US$),Statista,90.16,99.69,106.6,113.2,130.4,133.2,158.2,177.9,203.1,207,214.2
Seychelles,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Beauty Care,USD (US$),Statista,26.28,28.63,29.98,29.38,34.02,34.68,41.03,44.84,49.53,50.6,52.21
Seychelles,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Health Care,USD (US$),Statista,8.748,10.36,12.04,11.62,15.32,17.91,23.31,28.88,36.03,36.99,38.96
Seychelles,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Household Care,USD (US$),Statista,34.08,38.8,42.92,49.28,57.33,64.58,83,103.5,129.7,132.9,139.9
Seychelles,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Personal Care,USD (US$),Statista,85.84,93.99,99.42,107.2,120.9,117.6,133.9,143.1,155,156.9,160.2
Seychelles,"Beauty, Health, Personal & Household Care",3304,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Seychelles,"Beauty, Health, Personal & Household Care",3304,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Seychelles,"Beauty, Health, Personal & Household Care",3304,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Seychelles,"Beauty, Health, Personal & Household Care",3304,Online & Offline Split,Offline,percent,Statista,95.309,94.436,93.481,91.287,89.805,88.623,87.007,84.978,82.49,,
Seychelles,"Beauty, Health, Personal & Household Care",3304,Online & Offline Split,Online,percent,Statista,4.691,5.564,6.519,8.713,10.195,11.377,12.993,15.022,17.51,,
Seychelles,"Beauty, Health, Personal & Household Care",3304,Mobile/Desktop Split,Desktop,percent,Statista,61.037,58.514,56.856,55.67,54.921,54.498,54.103,53.89,53.682,,
Seychelles,"Beauty, Health, Personal & Household Care",3304,Mobile/Desktop Split,Mobile,percent,Statista,38.963,41.486,43.144,44.33,45.079,45.502,45.897,46.11,46.318,,
Seychelles,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Total,million users,Statista,0.009,0.01,0.011,0.012,0.014,0.015,0.017,0.018,0.019,0.021,0.022
Seychelles,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Beauty Care,million users,Statista,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.014,0.015
Seychelles,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Health Care,million users,Statista,0.006,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.012,0.013,0.014
Seychelles,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Household Care,million users,Statista,0.003,0.004,0.004,0.005,0.005,0.006,0.006,0.007,0.007,0.008,0.008
Seychelles,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Personal Care,million users,Statista,0.005,0.006,0.007,0.008,0.009,0.01,0.01,0.011,0.012,0.013,0.014
Seychelles,"Beauty, Health, Personal & Household Care",3304,Penetration Rate by Segment,"Beauty, Health, Personal & Household Care",percent,Statista,9.01,9.953,11.201,12.634,13.972,15.551,16.947,18.057,19.155,20.387,21.567
Seychelles,"Beauty, Health, Personal & Household Care",3304,Penetration Rate by Segment,Beauty Care,percent,Statista,6.307,6.967,7.84,8.844,9.78,10.886,11.863,12.64,13.408,14.281,15.114
Seychelles,"Beauty, Health, Personal & Household Care",3304,Penetration Rate by Segment,Health Care,percent,Statista,5.766,6.37,7.168,8.086,8.942,9.953,10.846,11.556,12.259,13.056,13.818
Seychelles,"Beauty, Health, Personal & Household Care",3304,Penetration Rate by Segment,Household Care,percent,Statista,3.424,3.782,4.256,4.801,5.309,5.909,6.44,6.862,7.279,7.752,8.205
Seychelles,"Beauty, Health, Personal & Household Care",3304,Penetration Rate by Segment,Personal Care,percent,Statista,5.586,6.171,6.944,7.833,8.663,9.642,10.507,11.195,11.876,12.648,13.387
Seychelles,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Seychelles,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Seychelles,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Seychelles,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Seychelles,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Seychelles,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Seychelles,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Seychelles,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Seychelles,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Seychelles,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Seychelles,Personal Care,3304,Revenue,Total,thousand USD (US$),Statista,462.3,563.2,674.8,825.7,"1,036","1,127","1,405","1,608","1,856","2,008","2,178"
Seychelles,Personal Care,3304,Revenue,Body Care,thousand USD (US$),Statista,57.94,71.01,85.11,91.5,120.3,139.1,182.1,214,252.9,276.6,303.6
Seychelles,Personal Care,3304,Revenue,Eye Care,thousand USD (US$),Statista,134.8,161.6,192.9,301.4,346.2,329.9,361.5,380.4,404.2,420,434.5
Seychelles,Personal Care,3304,Revenue,Hair Care,thousand USD (US$),Statista,53.37,65.92,79.64,86.63,115.1,133.8,176,207.7,246.5,269.9,296.7
Seychelles,Personal Care,3304,Revenue,Oral Care,thousand USD (US$),Statista,28.32,34.9,41.99,45.56,60.35,69.9,91.72,108,128,140.1,153.9
Seychelles,Personal Care,3304,Revenue,Other Personal Care,thousand USD (US$),Statista,107.9,132.8,159.8,172.9,228.6,264.9,347.7,409.4,484.9,530.7,582.9
Seychelles,Personal Care,3304,Revenue,Skin Care,thousand USD (US$),Statista,79.95,96.91,115.4,127.8,165.5,189.5,245.9,288,339.1,370.5,406.3
Seychelles,Personal Care,3304,Revenue Change,Total,percent,Statista,,21.826,19.815,22.362,25.469,8.784,24.667,14.448,15.423,8.19,8.466
Seychelles,Personal Care,3304,Revenue Change,Body Care,percent,Statista,,22.558,19.856,7.508,31.475,15.628,30.913,17.518,18.178,9.371,9.761
Seychelles,Personal Care,3304,Revenue Change,Eye Care,percent,Statista,,19.881,19.369,56.247,14.864,-4.708,9.579,5.228,6.257,3.909,3.452
Seychelles,Personal Care,3304,Revenue Change,Hair Care,percent,Statista,,23.515,20.813,8.777,32.864,16.247,31.54,18.011,18.681,9.493,9.93
Seychelles,Personal Care,3304,Revenue Change,Oral Care,percent,Statista,,23.234,20.315,8.502,32.463,15.824,31.216,17.75,18.519,9.453,9.85
Seychelles,Personal Care,3304,Revenue Change,Other Personal Care,percent,Statista,,23.077,20.331,8.198,32.215,15.879,31.257,17.745,18.442,9.445,9.836
Seychelles,Personal Care,3304,Revenue Change,Skin Care,percent,Statista,,21.213,19.08,10.745,29.499,14.502,29.763,17.121,17.743,9.26,9.663
Seychelles,Personal Care,3304,Average Revenue per User,Total,USD (US$),Statista,85.84,93.99,99.42,107.2,120.9,117.6,133.9,143.1,155,156.9,160.2
