Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Sierra Leone,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Sierra Leone,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Sierra Leone,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Sierra Leone,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Sierra Leone,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Sierra Leone,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Sierra Leone,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Sierra Leone,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Sierra Leone,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Sierra Leone,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Sierra Leone,Personal Care,3304,Revenue,Total,million USD (US$),Statista,5.693,8.03,10.58,15.47,19.79,22.67,29.38,35.28,42.56,46.9,51.87
Sierra Leone,Personal Care,3304,Revenue,Body Care,million USD (US$),Statista,0.985,1.386,1.812,2.526,3.082,3.592,4.718,5.719,6.962,7.659,8.473
Sierra Leone,Personal Care,3304,Revenue,Eye Care,million USD (US$),Statista,0.527,0.748,1.028,1.993,2.51,2.628,3.143,3.569,4.038,4.466,4.899
Sierra Leone,Personal Care,3304,Revenue,Hair Care,million USD (US$),Statista,0.868,1.231,1.623,2.287,2.89,3.374,4.443,5.403,6.601,7.27,8.053
Sierra Leone,Personal Care,3304,Revenue,Oral Care,million USD (US$),Statista,0.319,0.451,0.594,0.837,1.063,1.238,1.626,1.973,2.406,2.651,2.935
Sierra Leone,Personal Care,3304,Revenue,Other Personal Care,million USD (US$),Statista,1.697,2.398,3.149,4.416,5.499,6.413,8.433,10.24,12.48,13.74,15.21
Sierra Leone,Personal Care,3304,Revenue,Skin Care,million USD (US$),Statista,1.297,1.817,2.372,3.407,4.746,5.43,7.014,8.382,10.07,11.11,12.29
Sierra Leone,Personal Care,3304,Revenue Change,Total,percent,Statista,,41.05,31.756,46.219,27.925,14.553,29.599,20.082,20.635,10.197,10.597
Sierra Leone,Personal Care,3304,Revenue Change,Body Care,percent,Statista,,40.711,30.736,39.404,22.011,16.548,31.347,21.217,21.735,10.011,10.628
Sierra Leone,Personal Care,3304,Revenue Change,Eye Care,percent,Statista,,41.943,37.452,93.872,25.941,4.701,19.597,13.554,13.141,10.599,9.695
Sierra Leone,Personal Care,3304,Revenue Change,Hair Care,percent,Statista,,41.82,31.844,40.912,26.366,16.747,31.683,21.607,22.173,10.135,10.77
Sierra Leone,Personal Care,3304,Revenue Change,Oral Care,percent,Statista,,41.57,31.737,40.875,27.032,16.463,31.341,21.341,21.946,10.183,10.713
Sierra Leone,Personal Care,3304,Revenue Change,Other Personal Care,percent,Statista,,41.308,31.318,40.235,24.524,16.621,31.499,21.428,21.875,10.096,10.699
Sierra Leone,Personal Care,3304,Revenue Change,Skin Care,percent,Statista,,40.093,30.545,43.634,39.301,14.412,29.171,19.504,20.138,10.328,10.621
Sierra Leone,Personal Care,3304,Average Revenue per User,Total,USD (US$),Statista,48.69,52.53,52.78,59.2,61.25,58.04,63.77,66.62,70.88,71,71.74
Sierra Leone,Personal Care,3304,Average Revenue per User,Body Care,USD (US$),Statista,12.39,13.33,13.3,14.22,14.03,13.52,15.06,15.88,17.05,17.05,17.24
Sierra Leone,Personal Care,3304,Average Revenue per User,Eye Care,USD (US$),Statista,9.012,9.784,10.26,15.26,15.53,13.45,13.64,13.48,13.45,13.52,13.55
Sierra Leone,Personal Care,3304,Average Revenue per User,Hair Care,USD (US$),Statista,14.28,15.49,15.57,16.84,17.2,16.61,18.55,19.62,21.14,21.16,21.42
Sierra Leone,Personal Care,3304,Average Revenue per User,Oral Care,USD (US$),Statista,5.558,6.019,6.048,6.537,6.713,6.467,7.205,7.604,8.179,8.188,8.286
Sierra Leone,Personal Care,3304,Average Revenue per User,Other Personal Care,USD (US$),Statista,32.26,34.86,34.92,37.57,37.82,36.48,40.68,42.95,46.2,46.23,46.76
Sierra Leone,Personal Care,3304,Average Revenue per User,Skin Care,USD (US$),Statista,25.22,27.01,26.9,29.64,33.38,31.59,34.6,35.97,38.1,38.23,38.65
Sierra Leone,Personal Care,3304,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Sierra Leone,Personal Care,3304,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Sierra Leone,Personal Care,3304,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Sierra Leone,Personal Care,3304,Online & Offline Split,Offline,percent,Statista,97.679,96.834,95.976,93.685,92.452,91.391,90.135,88.585,86.742,,
Sierra Leone,Personal Care,3304,Online & Offline Split,Online,percent,Statista,2.321,3.166,4.024,6.315,7.548,8.609,9.865,11.415,13.258,,
Sierra Leone,Personal Care,3304,Mobile/Desktop Split,Desktop,percent,Statista,50.378,50.443,50.524,50.62,50.723,50.83,50.936,51.038,51.132,,
Sierra Leone,Personal Care,3304,Mobile/Desktop Split,Mobile,percent,Statista,49.622,49.557,49.476,49.38,49.277,49.17,49.064,48.962,48.868,,
Sierra Leone,Personal Care,3304,Users,Total,million users,Statista,0.117,0.153,0.2,0.261,0.323,0.391,0.461,0.53,0.6,0.661,0.723
Sierra Leone,Personal Care,3304,Users,Body Care,million users,Statista,0.08,0.104,0.136,0.178,0.22,0.266,0.313,0.36,0.408,0.449,0.492
Sierra Leone,Personal Care,3304,Users,Eye Care,million users,Statista,0.058,0.076,0.1,0.131,0.162,0.195,0.23,0.265,0.3,0.33,0.361
Sierra Leone,Personal Care,3304,Users,Hair Care,million users,Statista,0.061,0.079,0.104,0.136,0.168,0.203,0.24,0.275,0.312,0.344,0.376
Sierra Leone,Personal Care,3304,Users,Oral Care,million users,Statista,0.057,0.075,0.098,0.128,0.158,0.191,0.226,0.26,0.294,0.324,0.354
Sierra Leone,Personal Care,3304,Users,Other Personal Care,million users,Statista,0.053,0.069,0.09,0.118,0.145,0.176,0.207,0.238,0.27,0.297,0.325
Sierra Leone,Personal Care,3304,Users,Skin Care,million users,Statista,0.051,0.067,0.088,0.115,0.142,0.172,0.203,0.233,0.264,0.291,0.318
Sierra Leone,Personal Care,3304,Penetration Rate,Body Care,percent,Statista,1.062,1.359,1.744,2.227,2.699,3.198,3.698,4.169,4.637,5.006,5.377
Sierra Leone,Personal Care,3304,Penetration Rate,Eye Care,percent,Statista,0.781,0.999,1.283,1.637,1.984,2.352,2.719,3.065,3.409,3.681,3.954
Sierra Leone,Personal Care,3304,Penetration Rate,Hair Care,percent,Statista,0.812,1.039,1.334,1.703,2.064,2.446,2.828,3.188,3.546,3.828,4.112
Sierra Leone,Personal Care,3304,Penetration Rate,Oral Care,percent,Statista,0.765,0.979,1.257,1.605,1.945,2.304,2.664,3.004,3.341,3.607,3.875
Sierra Leone,Personal Care,3304,Penetration Rate,Other Personal Care,percent,Statista,0.703,0.899,1.154,1.474,1.786,2.116,2.447,2.759,3.068,3.313,3.559
Sierra Leone,Personal Care,3304,Penetration Rate,Personal Care,percent,Statista,1.562,1.998,2.565,3.275,3.969,4.703,5.438,6.131,6.819,7.362,7.908
Sierra Leone,Personal Care,3304,Penetration Rate,Skin Care,percent,Statista,0.687,0.879,1.129,1.441,1.746,2.069,2.393,2.697,3,3.239,3.48
Sierra Leone,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Sierra Leone,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Sierra Leone,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Sierra Leone,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Sierra Leone,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Sierra Leone,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Sierra Leone,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Sierra Leone,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Sierra Leone,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Sierra Leone,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Sierra Leone,Beauty Care,3305,Average Revenue per User by Segment,Total,USD (US$),Statista,16.37,17.56,17.53,19.42,21.04,20.07,22.18,23.27,24.89,24.95,25.25
Sierra Leone,Beauty Care,3305,Average Revenue per User by Segment,Cosmetics,USD (US$),Statista,6.91,7.302,7.197,8.007,8.445,8.041,8.878,9.329,9.992,10.01,10.12
Sierra Leone,Beauty Care,3305,Average Revenue per User by Segment,Fragrances,USD (US$),Statista,0.887,0.848,0.766,1.249,1.182,1.045,1.092,1.118,1.156,1.158,1.164
Sierra Leone,Beauty Care,3305,Average Revenue per User by Segment,Other Beauty Care,USD (US$),Statista,44,47.78,48.13,52.27,57.69,55.26,61.25,64.29,68.82,69.03,69.87
