Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Singapore,Personal Care,3304,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,10.596,,,,,,
Singapore,Personal Care,3304,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,26.159,,,,,,
Singapore,Personal Care,3304,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,25.828,,,,,,
Singapore,Personal Care,3304,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,22.848,,,,,,
Singapore,Personal Care,3304,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,14.57,,,,,,
Singapore,Personal Care,3304,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,64.901,,,,,,
Singapore,Personal Care,3304,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,35.099,,,,,,
Singapore,Personal Care,3304,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,33.577,,,,,,
Singapore,Personal Care,3304,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,33.577,,,,,,
Singapore,Personal Care,3304,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,32.847,,,,,,
Singapore,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Singapore,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Singapore,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Singapore,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Singapore,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Singapore,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Singapore,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Singapore,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Singapore,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Singapore,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Singapore,Personal Care,3304,Revenue,Total,million USD (US$),Statista,181.9,227.5,273.8,343.8,410.5,439.6,547.6,636.8,740.1,806.1,880.1
Singapore,Personal Care,3304,Revenue,Body Care,million USD (US$),Statista,24.84,30.2,35.34,45.46,47.56,51.76,65.52,77.38,91.31,98.97,108
Singapore,Personal Care,3304,Revenue,Eye Care,million USD (US$),Statista,9.147,12.49,17.23,26.32,41.6,42.5,50.49,55.95,61.93,68.54,74.92
Singapore,Personal Care,3304,Revenue,Hair Care,million USD (US$),Statista,25.83,32.75,39.13,47.81,47.81,51.66,64.93,76.13,89.18,96.37,104.9
Singapore,Personal Care,3304,Revenue,Oral Care,million USD (US$),Statista,14.43,16.16,18.85,24.34,25.95,28.35,36.03,42.73,50.62,54.83,59.86
Singapore,Personal Care,3304,Revenue,Other Personal Care,million USD (US$),Statista,76.51,95.7,115.2,144.6,172.7,184.9,230.3,267.8,311.3,339.1,370.2
Singapore,Personal Care,3304,Revenue,Skin Care,million USD (US$),Statista,31.16,40.23,48.11,55.26,74.96,80.41,100.3,116.8,135.8,148.3,162.2
Singapore,Personal Care,3304,Revenue Change,Total,percent,Statista,,25.069,20.352,25.566,19.401,7.089,24.568,16.289,16.222,8.918,9.18
Singapore,Personal Care,3304,Revenue Change,Body Care,percent,Statista,,21.578,17.02,28.636,4.619,8.831,26.584,18.101,18.002,8.389,9.124
Singapore,Personal Care,3304,Revenue Change,Eye Care,percent,Statista,,36.548,37.95,52.757,58.055,2.163,18.8,10.814,10.688,10.673,9.308
Singapore,Personal Care,3304,Revenue Change,Hair Care,percent,Statista,,26.791,19.481,22.182,0,8.053,25.687,17.249,17.142,8.062,8.851
Singapore,Personal Care,3304,Revenue Change,Oral Care,percent,Statista,,11.989,16.646,29.125,6.615,9.249,27.09,18.596,18.465,8.317,9.174
Singapore,Personal Care,3304,Revenue Change,Other Personal Care,percent,Statista,,25.082,20.376,25.521,19.433,7.064,24.554,16.283,16.243,8.93,9.171
Singapore,Personal Care,3304,Revenue Change,Skin Care,percent,Statista,,29.108,19.587,14.862,35.65,7.271,24.736,16.451,16.267,9.205,9.373
Singapore,Personal Care,3304,Average Revenue per User,Total,USD (US$),Statista,408.1,442.1,475,537.3,583.9,570.4,658.1,715.1,780.1,800.2,826.6
Singapore,Personal Care,3304,Average Revenue per User,Body Care,USD (US$),Statista,81.93,86.29,90.15,104.5,99.49,98.78,115.8,127.8,141.5,144.4,149.1
Singapore,Personal Care,3304,Average Revenue per User,Eye Care,USD (US$),Statista,41.04,48.55,59.77,82.26,118.3,110.3,121.3,125.7,130.5,135.8,140.2
Singapore,Personal Care,3304,Average Revenue per User,Hair Care,USD (US$),Statista,111.4,122.4,130.5,143.7,130.8,128.9,150,164.4,180.8,183.6,188.7
Singapore,Personal Care,3304,Average Revenue per User,Oral Care,USD (US$),Statista,66.05,64.09,66.73,77.63,75.31,75.09,88.37,97.92,108.9,110.8,114.3
Singapore,Personal Care,3304,Average Revenue per User,Other Personal Care,USD (US$),Statista,381.4,413.3,444,502.2,545.8,533.2,615.1,668.4,729.1,746.3,769.6
Singapore,Personal Care,3304,Average Revenue per User,Skin Care,USD (US$),Statista,158.9,177.7,189.7,196.3,242.3,237.2,274,298,325.2,333.9,344.9
Singapore,Personal Care,3304,Comparable Estimates - eCommerce (Southeast Asia),*Statista,billion USD (US$),,28.85,40.7,56.22,84.2,124.6,126.4,158.5,183.2,212.5,230.3,249.7
Singapore,Personal Care,3304,Comparable Estimates - eCommerce (Southeast Asia),"Google, Temasek and Bain & Company",billion USD (US$),,,,,74,120,,,,,,
Singapore,Personal Care,3304,Online & Offline Split,Offline,percent,Statista,82.784,79.703,76.872,70.656,67.815,65.515,62.997,59.992,56.831,,
Singapore,Personal Care,3304,Online & Offline Split,Online,percent,Statista,17.216,20.297,23.128,29.344,32.185,34.485,37.003,40.008,43.169,,
Singapore,Personal Care,3304,Mobile/Desktop Split,Desktop,percent,Statista,42.835,39.918,38.018,36.094,33.967,32.208,30.659,29.898,29.131,,
Singapore,Personal Care,3304,Mobile/Desktop Split,Mobile,percent,Statista,57.165,60.082,61.982,63.906,66.033,67.792,69.341,70.102,70.869,,
Singapore,Personal Care,3304,Users,Total,million users,Statista,0.446,0.515,0.576,0.64,0.703,0.771,0.832,0.89,0.949,1.007,1.065
Singapore,Personal Care,3304,Users,Body Care,million users,Statista,0.303,0.35,0.392,0.435,0.478,0.524,0.566,0.605,0.645,0.685,0.724
Singapore,Personal Care,3304,Users,Eye Care,million users,Statista,0.223,0.257,0.288,0.32,0.352,0.385,0.416,0.445,0.474,0.505,0.535
Singapore,Personal Care,3304,Users,Hair Care,million users,Statista,0.232,0.268,0.3,0.333,0.366,0.401,0.433,0.463,0.493,0.525,0.556
Singapore,Personal Care,3304,Users,Oral Care,million users,Statista,0.218,0.252,0.282,0.314,0.344,0.378,0.408,0.436,0.465,0.495,0.524
Singapore,Personal Care,3304,Users,Other Personal Care,million users,Statista,0.201,0.232,0.259,0.288,0.316,0.347,0.374,0.401,0.427,0.454,0.481
Singapore,Personal Care,3304,Users,Skin Care,million users,Statista,0.196,0.226,0.254,0.282,0.309,0.339,0.366,0.392,0.417,0.444,0.47
Singapore,Personal Care,3304,Penetration Rate,Body Care,percent,Statista,5.311,6.078,6.753,7.437,8.108,8.816,9.447,10.032,10.613,11.196,11.76
Singapore,Personal Care,3304,Penetration Rate,Eye Care,percent,Statista,3.905,4.469,4.966,5.469,5.961,6.482,6.946,7.376,7.804,8.249,8.68
Singapore,Personal Care,3304,Penetration Rate,Hair Care,percent,Statista,4.061,4.648,5.164,5.687,6.2,6.742,7.224,7.672,8.116,8.577,9.024
Singapore,Personal Care,3304,Penetration Rate,Oral Care,percent,Statista,3.827,4.38,4.866,5.359,5.842,6.353,6.807,7.229,7.648,8.084,8.507
Singapore,Personal Care,3304,Penetration Rate,Other Personal Care,percent,Statista,3.514,4.022,4.469,4.922,5.365,5.834,6.251,6.639,7.023,7.424,7.812
Singapore,Personal Care,3304,Penetration Rate,Personal Care,percent,Statista,7.81,8.938,9.931,10.937,11.923,12.964,13.892,14.753,15.607,16.462,17.289
Singapore,Personal Care,3304,Penetration Rate,Skin Care,percent,Statista,3.436,3.933,4.37,4.812,5.246,5.704,6.113,6.491,6.867,7.259,7.638
Singapore,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Singapore,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Singapore,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Singapore,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Singapore,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Singapore,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
