Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Slovakia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Slovakia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Slovakia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Slovakia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Slovakia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Slovakia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Slovakia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Slovakia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Slovakia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Slovakia,Personal Care,3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Slovakia,Personal Care,3304,Revenue,Total,million USD (US$),Statista,68.14,78.31,88.38,110,129.1,128.9,168.4,197.7,232.5,251.6,274.1
Slovakia,Personal Care,3304,Revenue,Body Care,million USD (US$),Statista,12.02,13.62,15.44,18.85,22.25,22.41,29.53,34.9,41.23,44.66,48.74
Slovakia,Personal Care,3304,Revenue,Eye Care,million USD (US$),Statista,5.835,6.382,7.071,10.04,11.27,10.13,12,12.94,14.04,14.89,15.76
Slovakia,Personal Care,3304,Revenue,Hair Care,million USD (US$),Statista,10.78,13.3,14.97,18.48,21.32,21.49,28.33,33.51,39.64,42.98,46.94
Slovakia,Personal Care,3304,Revenue,Oral Care,million USD (US$),Statista,5.991,6.937,7.667,9.434,11.02,11.07,14.56,17.18,20.29,21.96,23.95
Slovakia,Personal Care,3304,Revenue,Other Personal Care,million USD (US$),Statista,16.18,19.04,21.41,26.29,30.69,30.91,40.71,48.12,56.88,61.62,67.26
Slovakia,Personal Care,3304,Revenue,Skin Care,million USD (US$),Statista,17.33,19.03,21.83,26.95,32.55,32.84,43.23,51.07,60.38,65.46,71.49
Slovakia,Personal Care,3304,Revenue Change,Total,percent,Statista,,14.925,12.859,24.463,17.364,-0.155,30.644,17.399,17.602,8.215,8.943
Slovakia,Personal Care,3304,Revenue Change,Body Care,percent,Statista,,13.311,13.363,22.085,18.037,0.719,31.772,18.185,18.138,8.319,9.136
Slovakia,Personal Care,3304,Revenue Change,Eye Care,percent,Statista,,9.374,10.796,41.988,12.251,-10.115,18.46,7.833,8.501,6.054,5.843
Slovakia,Personal Care,3304,Revenue Change,Hair Care,percent,Statista,,23.377,12.556,23.447,15.368,0.797,31.829,18.285,18.293,8.426,9.214
Slovakia,Personal Care,3304,Revenue Change,Oral Care,percent,Statista,,15.79,10.523,23.047,16.812,0.454,31.527,17.995,18.102,8.231,9.062
Slovakia,Personal Care,3304,Revenue Change,Other Personal Care,percent,Statista,,17.676,12.447,22.793,16.736,0.717,31.705,18.202,18.204,8.333,9.153
Slovakia,Personal Care,3304,Revenue Change,Skin Care,percent,Statista,,9.81,14.714,23.454,20.779,0.891,31.638,18.136,18.23,8.413,9.212
Slovakia,Personal Care,3304,Average Revenue per User,Total,USD (US$),Statista,148.1,155,158.9,176.6,190.3,175.5,215.1,240.3,269.4,277.2,288.9
Slovakia,Personal Care,3304,Average Revenue per User,Body Care,USD (US$),Statista,38.39,39.66,40.81,44.48,48.21,44.89,55.48,62.36,70.26,72.38,75.54
Slovakia,Personal Care,3304,Average Revenue per User,Eye Care,USD (US$),Statista,25.36,25.27,25.42,32.22,33.21,27.59,30.66,31.45,32.54,32.83,33.22
Slovakia,Personal Care,3304,Average Revenue per User,Hair Care,USD (US$),Statista,45.05,50.64,51.76,57.03,60.43,56.3,69.63,78.32,88.33,91.09,95.13
Slovakia,Personal Care,3304,Average Revenue per User,Oral Care,USD (US$),Statista,26.57,28.03,28.13,30.9,33.15,30.78,37.96,42.61,47.98,49.39,51.51
Slovakia,Personal Care,3304,Average Revenue per User,Other Personal Care,USD (US$),Statista,78.15,83.75,85.52,93.75,100.5,93.56,115.6,129.9,146.5,150.9,157.5
Slovakia,Personal Care,3304,Average Revenue per User,Skin Care,USD (US$),Statista,85.6,85.63,89.2,98.31,109,101.7,125.5,141.1,159,164,171.2
Slovakia,Personal Care,3304,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Slovakia,Personal Care,3304,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Slovakia,Personal Care,3304,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Slovakia,Personal Care,3304,Online & Offline Split,Offline,percent,Statista,86.659,85.158,83.603,78.24,75.97,73.349,70.275,66.325,61.878,,
Slovakia,Personal Care,3304,Online & Offline Split,Online,percent,Statista,13.341,14.842,16.397,21.76,24.03,26.651,29.725,33.675,38.122,,
Slovakia,Personal Care,3304,Mobile/Desktop Split,Desktop,percent,Statista,61.306,59.419,57.831,56.526,55.473,54.636,53.978,53.466,53.071,,
Slovakia,Personal Care,3304,Mobile/Desktop Split,Mobile,percent,Statista,38.694,40.581,42.169,43.474,44.527,45.364,46.022,46.534,46.929,,
Slovakia,Personal Care,3304,Users,Total,million users,Statista,0.46,0.505,0.556,0.623,0.679,0.734,0.783,0.823,0.863,0.907,0.949
Slovakia,Personal Care,3304,Users,Body Care,million users,Statista,0.313,0.343,0.378,0.424,0.461,0.499,0.532,0.56,0.587,0.617,0.645
Slovakia,Personal Care,3304,Users,Eye Care,million users,Statista,0.23,0.253,0.278,0.312,0.339,0.367,0.391,0.411,0.432,0.454,0.474
Slovakia,Personal Care,3304,Users,Hair Care,million users,Statista,0.239,0.263,0.289,0.324,0.353,0.382,0.407,0.428,0.449,0.472,0.493
Slovakia,Personal Care,3304,Users,Oral Care,million users,Statista,0.226,0.248,0.273,0.305,0.332,0.36,0.383,0.403,0.423,0.445,0.465
Slovakia,Personal Care,3304,Users,Other Personal Care,million users,Statista,0.207,0.227,0.25,0.28,0.305,0.33,0.352,0.37,0.388,0.408,0.427
