Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
South Africa,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
South Africa,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
South Africa,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
South Africa,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
South Africa,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
South Africa,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
South Africa,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
South Africa,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
South Africa,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
South Africa,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
South Africa,Beauty Care,3305,Average Revenue per User by Segment,Total,USD (US$),Statista,14.85,13.25,12.06,12.53,11.93,10.6,11.6,12.36,13.32,13.17,13.25
South Africa,Beauty Care,3305,Average Revenue per User by Segment,Cosmetics,USD (US$),Statista,13.7,12.13,10.98,11.25,10.66,9.535,10.5,11.26,12.2,12.07,12.14
South Africa,Beauty Care,3305,Average Revenue per User by Segment,Fragrances,USD (US$),Statista,1.47,1.415,1.363,1.591,1.588,1.336,1.382,1.39,1.411,1.403,1.402
South Africa,Beauty Care,3305,Average Revenue per User by Segment,Other Beauty Care,USD (US$),Statista,17.52,15.63,14.23,14.78,14.07,12.51,13.68,14.58,15.71,15.54,15.63
South Africa,Beauty Care,3305,Revenue,Total,million USD (US$),Statista,43.52,47.46,52.19,63.86,71.52,74.97,94.42,112.8,135.4,145.8,158.9
South Africa,Beauty Care,3305,Revenue,Cosmetics,million USD (US$),Statista,28.1,30.42,33.26,40.16,44.71,47.19,59.82,71.94,86.88,93.49,101.9
South Africa,Beauty Care,3305,Revenue,Fragrances,million USD (US$),Statista,2.585,3.041,3.539,4.866,5.712,5.669,6.75,7.613,8.61,9.319,10.09
South Africa,Beauty Care,3305,Revenue,Other Beauty Care,million USD (US$),Statista,12.84,14,15.39,18.83,21.09,22.11,27.85,33.28,39.94,43.01,46.87
South Africa,Beauty Care,3305,Revenue Change,Total,percent,Statista,,9.053,9.966,22.361,11.995,4.824,25.944,19.466,20.035,7.681,8.985
South Africa,Beauty Care,3305,Revenue Change,Cosmetics,percent,Statista,,8.256,9.336,20.746,11.33,5.547,26.764,20.261,20.767,7.608,8.996
South Africa,Beauty Care,3305,Revenue Change,Fragrances,percent,Statista,,17.64,16.376,37.496,17.386,-0.753,19.069,12.785,13.096,8.235,8.273
South Africa,Beauty Care,3305,Revenue Change,Other Beauty Care,percent,Statista,,9.034,9.929,22.352,12.002,4.836,25.961,19.497,20.012,7.687,8.975
South Africa,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
South Africa,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
South Africa,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
South Africa,Beauty Care,3305,Online & Offline Split,Offline,percent,Statista,92.241,92.001,91.675,88.788,88.708,87.866,86.797,85.241,83.406,,
South Africa,Beauty Care,3305,Online & Offline Split,Online,percent,Statista,7.759,7.999,8.325,11.212,11.292,12.134,13.203,14.759,16.594,,
South Africa,Beauty Care,3305,Mobile/Desktop Split,Desktop,percent,Statista,56.879,54.582,53.967,52.926,51.67,50.521,49.261,48.294,47.281,,
South Africa,Beauty Care,3305,Mobile/Desktop Split,Mobile,percent,Statista,43.121,45.418,46.033,47.074,48.33,49.479,50.739,51.706,52.719,,
South Africa,Beauty Care,3305,Users by Segment,Total,million users,Statista,2.93,3.582,4.326,5.098,5.995,7.07,8.143,9.127,10.171,11.069,11.996
South Africa,Beauty Care,3305,Users by Segment,Cosmetics,million users,Statista,2.051,2.508,3.028,3.569,4.196,4.949,5.7,6.389,7.119,7.748,8.397
South Africa,Beauty Care,3305,Users by Segment,Fragrances,million users,Statista,1.758,2.149,2.596,3.059,3.597,4.242,4.886,5.476,6.102,6.641,7.197
South Africa,Beauty Care,3305,Users by Segment,Other Beauty Care,million users,Statista,0.733,0.896,1.082,1.275,1.499,1.767,2.036,2.282,2.543,2.767,2.999
South Africa,Beauty Care,3305,Penetration Rate by Segment,Beauty Care,percent,Statista,5.14,6.198,7.388,8.596,9.984,11.637,13.25,14.69,16.195,17.443,18.714
South Africa,Beauty Care,3305,Penetration Rate by Segment,Cosmetics,percent,Statista,3.598,4.339,5.171,6.017,6.989,8.146,9.275,10.283,11.336,12.21,13.1
South Africa,Beauty Care,3305,Penetration Rate by Segment,Fragrances,percent,Statista,3.084,3.719,4.433,5.158,5.99,6.982,7.95,8.814,9.717,10.466,11.228
South Africa,Beauty Care,3305,Penetration Rate by Segment,Other Beauty Care,percent,Statista,1.285,1.55,1.847,2.149,2.496,2.909,3.313,3.672,4.049,4.361,4.678
South Africa,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
South Africa,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
South Africa,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
South Africa,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
South Africa,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
South Africa,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
South Africa,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
South Africa,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
South Africa,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
South Africa,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
South Africa,Health Care,3003,Average Revenue per User by Segment,Total,USD (US$),Statista,47.23,40.37,35.31,39.17,36.44,33.32,37.44,40.94,45.13,44.73,45.19
South Africa,Health Care,3003,Average Revenue per User by Segment,Analgesics,USD (US$),Statista,49.99,42.72,37.34,40.35,37.3,34.05,38.18,41.65,45.79,45.32,45.73
South Africa,Health Care,3003,Average Revenue per User by Segment,Cold & Cough Remedies,USD (US$),Statista,20.98,17.93,15.67,17.01,15.73,14.59,16.61,18.4,20.53,20.35,20.6
South Africa,Health Care,3003,Average Revenue per User by Segment,Digestives & Intestinal Remedies,USD (US$),Statista,19.85,16.96,14.83,16.06,14.84,13.5,15.09,16.4,17.97,17.78,17.93
South Africa,Health Care,3003,Average Revenue per User by Segment,Hand Sanitizer,USD (US$),Statista,1.801,1.539,1.346,3.088,3.233,2.861,3.11,3.287,3.501,3.545,3.608
South Africa,Health Care,3003,Average Revenue per User by Segment,Incontinence,USD (US$),Statista,1.151,1.047,0.971,1.064,1.036,1.083,1.402,1.777,2.279,2.272,2.351
South Africa,Health Care,3003,Average Revenue per User by Segment,Other Health Care,USD (US$),Statista,60.56,51.77,45.28,50.22,46.73,42.73,48.01,52.49,57.88,57.35,57.95
South Africa,Health Care,3003,Average Revenue per User by Segment,Skin Treatment,USD (US$),Statista,12.77,10.91,9.54,10.33,9.547,8.622,9.564,10.32,11.23,11.1,11.18
