Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
South Korea,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
South Korea,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
South Korea,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
South Korea,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
South Korea,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
South Korea,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
South Korea,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
South Korea,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
South Korea,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
South Korea,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
South Korea,Beauty Care,3305,Average Revenue per User by Segment,Total,USD (US$),Statista,116.5,120,121.8,126.9,125.3,109.4,118.9,118.4,117.9,116.6,115.5
South Korea,Beauty Care,3305,Average Revenue per User by Segment,Cosmetics,USD (US$),Statista,108.1,112.4,115.1,120.5,119,103.8,112.7,112.2,111.6,110.3,109.1
South Korea,Beauty Care,3305,Average Revenue per User by Segment,Fragrances,USD (US$),Statista,12.94,12.11,11.25,11.04,10.8,9.534,10.45,10.48,10.48,10.52,10.59
South Korea,Beauty Care,3305,Average Revenue per User by Segment,Other Beauty Care,USD (US$),Statista,132.1,136.1,138.2,144,142.1,124,134.8,134.3,133.7,132.2,131
South Korea,Beauty Care,3305,Revenue,Total,billion USD (US$),Statista,1.035,1.185,1.343,1.561,1.712,1.595,1.823,1.895,1.965,2.024,2.076
South Korea,Beauty Care,3305,Revenue,Cosmetics,billion USD (US$),Statista,0.672,0.777,0.888,1.037,1.138,1.06,1.21,1.257,1.303,1.34,1.373
South Korea,Beauty Care,3305,Revenue,Fragrances,billion USD (US$),Statista,0.069,0.072,0.074,0.081,0.089,0.083,0.096,0.101,0.105,0.11,0.114
South Korea,Beauty Care,3305,Revenue,Other Beauty Care,billion USD (US$),Statista,0.293,0.336,0.381,0.443,0.485,0.452,0.517,0.537,0.557,0.574,0.589
South Korea,Beauty Care,3305,Revenue Change,Total,percent,Statista,,14.493,13.333,16.232,9.673,-6.834,14.295,3.95,3.694,3.003,2.569
South Korea,Beauty Care,3305,Revenue Change,Cosmetics,percent,Statista,,15.539,14.247,16.819,9.74,-6.854,14.151,3.884,3.66,2.84,2.463
South Korea,Beauty Care,3305,Revenue Change,Fragrances,percent,Statista,,4.016,3.666,9.492,8.767,-5.803,15.256,4.606,4.274,4.385,4.292
