Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Spain,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Spain,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Spain,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Spain,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Spain,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Spain,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Spain,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Spain,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Spain,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Spain,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Spain,Beauty Care,3305,Average Revenue per User by Segment,Total,USD (US$),Statista,29.96,34.14,38.9,53.74,63.05,54.42,66.2,71.88,78.17,82.78,87.66
Spain,Beauty Care,3305,Average Revenue per User by Segment,Cosmetics,USD (US$),Statista,24.54,28.42,32.94,46.16,54.91,46.96,56.62,60.94,65.69,69.58,73.57
Spain,Beauty Care,3305,Average Revenue per User by Segment,Fragrances,USD (US$),Statista,8.749,9.435,10.1,13.19,14.6,13.1,16.53,18.59,20.89,22.05,23.46
Spain,Beauty Care,3305,Average Revenue per User by Segment,Other Beauty Care,USD (US$),Statista,30.13,34.34,39.12,54.05,63.42,54.73,66.58,72.3,78.63,83.34,88.34
Spain,Beauty Care,3305,Revenue,Total,million USD (US$),Statista,194.8,245.1,307.8,464.2,587.4,539.3,686.2,769.9,863.2,943.3,"1,026"
Spain,Beauty Care,3305,Revenue,Cosmetics,million USD (US$),Statista,111.7,142.8,182.5,279.1,358.1,325.8,410.8,456.9,507.7,555,602.6
Spain,Beauty Care,3305,Revenue,Fragrances,million USD (US$),Statista,34.13,40.65,47.95,68.38,81.63,77.9,102.8,119.5,138.4,150.8,164.7
Spain,Beauty Care,3305,Revenue,Other Beauty Care,million USD (US$),Statista,48.97,61.64,77.39,116.7,147.7,135.6,172.5,193.6,217,237.4,258.4
