Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Sri Lanka,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Sri Lanka,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Sri Lanka,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Sri Lanka,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Sri Lanka,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Sri Lanka,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Sri Lanka,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Sri Lanka,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Sri Lanka,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Sri Lanka,Beauty Care,3305,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Sri Lanka,Beauty Care,3305,Average Revenue per User by Segment,Total,USD (US$),Statista,32.18,33.44,33.66,39.24,45.4,41.95,45.83,48.49,52.14,52.67,53.65
Sri Lanka,Beauty Care,3305,Average Revenue per User by Segment,Cosmetics,USD (US$),Statista,16.58,17.22,17.33,20.07,22.98,21.33,23.4,24.86,26.85,27.11,27.63
Sri Lanka,Beauty Care,3305,Average Revenue per User by Segment,Fragrances,USD (US$),Statista,4.505,4.486,4.473,5.783,6.154,5.728,6.289,6.717,7.252,7.323,7.463
Sri Lanka,Beauty Care,3305,Average Revenue per User by Segment,Other Beauty Care,USD (US$),Statista,71.48,74.8,75.38,86.88,102.5,94.34,102.7,108.2,116,117.2,119.3
Sri Lanka,Beauty Care,3305,Revenue,Total,million USD (US$),Statista,30.36,38.26,46.11,63.31,83.71,88.44,107.5,124.1,144.6,158.1,173
Sri Lanka,Beauty Care,3305,Revenue,Cosmetics,million USD (US$),Statista,10.95,13.79,16.62,22.67,29.66,31.48,38.41,44.55,52.12,56.97,62.38
Sri Lanka,Beauty Care,3305,Revenue,Fragrances,million USD (US$),Statista,2.551,3.079,3.677,5.599,6.809,7.245,8.848,10.32,12.07,13.19,14.44
Sri Lanka,Beauty Care,3305,Revenue,Other Beauty Care,million USD (US$),Statista,16.86,21.39,25.82,35.05,47.24,49.72,60.21,69.24,80.41,87.94,96.21
Sri Lanka,Beauty Care,3305,Revenue Change,Total,percent,Statista,,26.021,20.518,37.302,32.222,5.65,21.551,15.442,16.519,9.336,9.424
Sri Lanka,Beauty Care,3305,Revenue Change,Cosmetics,percent,Statista,,25.936,20.522,36.402,30.834,6.136,22.014,15.985,16.992,9.305,9.496
Sri Lanka,Beauty Care,3305,Revenue Change,Fragrances,percent,Statista,,20.698,19.422,52.271,21.611,6.403,22.126,16.637,16.957,9.279,9.477
Sri Lanka,Beauty Care,3305,Revenue Change,Other Beauty Care,percent,Statista,,26.868,20.711,35.747,34.779,5.25,21.098,14.998,16.132,9.365,9.404
Sri Lanka,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Sri Lanka,Beauty Care,3305,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
