Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Sudan,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Sudan,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Sudan,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Sudan,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Sudan,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Sudan,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Sudan,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Sudan,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Sudan,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Sudan,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Sudan,Health Care,3003,Average Revenue per User by Segment,Total,USD (US$),Statista,0.794,0.807,0.821,0.769,0.926,1.022,1.249,1.457,1.702,1.736,1.805
Sudan,Health Care,3003,Average Revenue per User by Segment,Analgesics,USD (US$),Statista,0.08,0.069,0.06,0.048,0.049,0.045,0.047,0.046,0.045,0.044,0.043
Sudan,Health Care,3003,Average Revenue per User by Segment,Cold & Cough Remedies,USD (US$),Statista,0.033,0.029,0.025,0.02,0.02,0.019,0.02,0.019,0.019,0.019,0.018
Sudan,Health Care,3003,Average Revenue per User by Segment,Digestives & Intestinal Remedies,USD (US$),Statista,0.03,0.026,0.022,0.017,0.018,0.016,0.017,0.017,0.016,0.016,0.015
Sudan,Health Care,3003,Average Revenue per User by Segment,Hand Sanitizer,USD (US$),Statista,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.007,0.007,0.007
Sudan,Health Care,3003,Average Revenue per User by Segment,Incontinence,USD (US$),Statista,0.148,0.149,0.15,0.15,0.165,0.182,0.215,0.247,0.284,0.289,0.3
Sudan,Health Care,3003,Average Revenue per User by Segment,Other Health Care,USD (US$),Statista,1.094,1.112,1.132,1.058,1.279,1.411,1.727,2.014,2.354,2.402,2.498
Sudan,Health Care,3003,Average Revenue per User by Segment,Skin Treatment,USD (US$),Statista,0.683,0.69,0.695,0.642,0.766,0.833,1.003,1.148,1.315,1.341,1.391
Sudan,Health Care,3003,Average Revenue per User by Segment,Vitamins & Minerals,USD (US$),Statista,0.401,0.424,0.447,0.432,0.539,0.613,0.771,0.923,1.106,1.131,1.182
Sudan,Health Care,3003,Revenue,Total,thousand USD (US$),Statista,883.4,"1,114","1,406","1,566","2,126","2,630","3,575","4,535","5,748","6,304","7,004"
Sudan,Health Care,3003,Revenue,Analgesics,thousand USD (US$),Statista,17.82,19.17,20.59,19.39,22.34,23.31,26.72,28.5,30.33,31.93,33.57
Sudan,Health Care,3003,Revenue,Cold & Cough Remedies,thousand USD (US$),Statista,14.75,15.87,17.08,16.13,18.64,19.52,22.45,24.02,25.65,27.03,28.47
Sudan,Health Care,3003,Revenue,Digestives & Intestinal Remedies,thousand USD (US$),Statista,9.891,10.58,11.31,10.61,12.19,12.68,14.5,15.43,16.39,17.18,18.01
Sudan,Health Care,3003,Revenue,Hand Sanitizer,thousand USD (US$),Statista,0.408,0.451,0.499,0.693,0.678,0.66,0.761,3.605,9.227,9.603,11.07
Sudan,Health Care,3003,Revenue,Incontinence,thousand USD (US$),Statista,33.01,41.15,51.31,61.04,75.76,93.42,123.3,153.9,191.8,210.1,232.7
Sudan,Health Care,3003,Revenue,Other Health Care,thousand USD (US$),Statista,280.0,353.1,446,495.6,675.1,835,"1,136","1,442","1,829","2,006","2,229"
Sudan,Health Care,3003,Revenue,Skin Treatment,thousand USD (US$),Statista,304.2,380.9,476.5,523.2,703.2,856.9,"1,147","1,430","1,777","1,948","2,158"
Sudan,Health Care,3003,Revenue,Vitamins & Minerals,thousand USD (US$),Statista,223.4,292.4,382.7,439.7,618.5,788.2,"1,103","1,437","1,868","2,053","2,292"
Sudan,Health Care,3003,Revenue Change,Total,percent,Statista,,26.104,26.212,11.38,35.76,23.706,35.932,26.853,26.748,9.673,11.104
Sudan,Health Care,3003,Revenue Change,Analgesics,percent,Statista,,7.576,7.407,-5.828,15.214,4.342,14.629,6.662,6.421,5.275,5.136
Sudan,Health Care,3003,Revenue Change,Cold & Cough Remedies,percent,Statista,,7.593,7.624,-5.562,15.561,4.721,15.01,6.993,6.786,5.38,5.327
