Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Suriname,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Suriname,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Suriname,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Suriname,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Suriname,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Suriname,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Suriname,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Suriname,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Suriname,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Suriname,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Suriname,Health Care,3003,Average Revenue per User by Segment,Total,USD (US$),Statista,24.81,22.24,20.44,20.82,20.1,18.67,20.91,22.97,25.46,25.32,25.69
Suriname,Health Care,3003,Average Revenue per User by Segment,Analgesics,USD (US$),Statista,1.977,1.918,1.9,1.95,2.081,2.095,2.502,2.893,3.364,3.396,3.5
Suriname,Health Care,3003,Average Revenue per User by Segment,Cold & Cough Remedies,USD (US$),Statista,1.196,1.108,1.049,1.029,1.05,1.01,1.153,1.274,1.415,1.417,1.443
Suriname,Health Care,3003,Average Revenue per User by Segment,Digestives & Intestinal Remedies,USD (US$),Statista,0.05,0.039,0.031,0.026,0.022,0.018,0.017,0.068,0.146,0.138,0.147
Suriname,Health Care,3003,Average Revenue per User by Segment,Hand Sanitizer,USD (US$),Statista,9.384,9.106,9.052,11.56,11.02,10.49,12.39,14.53,17.15,17.26,17.81
Suriname,Health Care,3003,Average Revenue per User by Segment,Incontinence,USD (US$),Statista,0.391,0.418,0.456,0.493,0.584,0.674,0.904,1.161,1.501,1.514,1.582
Suriname,Health Care,3003,Average Revenue per User by Segment,Other Health Care,USD (US$),Statista,32.13,28.77,26.44,26.92,25.96,24.07,26.93,29.53,32.69,32.61,33.15
Suriname,Health Care,3003,Average Revenue per User by Segment,Skin Treatment,USD (US$),Statista,16.78,14.17,12.25,10.98,10.26,9.065,9.513,9.673,9.89,9.68,9.589
Suriname,Health Care,3003,Average Revenue per User by Segment,Vitamins & Minerals,USD (US$),Statista,11.98,10.77,9.888,9.412,9.314,8.694,9.621,10.31,11.1,11.03,11.15
Suriname,Health Care,3003,Revenue,Total,thousand USD (US$),Statista,154.7,180.8,211.8,267.7,302.2,327.3,406.3,483.4,576.7,624.6,682.5
Suriname,Health Care,3003,Revenue,Analgesics,thousand USD (US$),Statista,2.465,3.119,3.937,5.014,6.257,7.346,9.72,12.18,15.24,16.66,18.42
Suriname,Health Care,3003,Revenue,Cold & Cough Remedies,thousand USD (US$),Statista,2.984,3.604,4.347,5.291,6.312,7.083,8.958,10.73,12.82,13.94,15.26
Suriname,Health Care,3003,Revenue,Digestives & Intestinal Remedies,thousand USD (US$),Statista,0.093,0.095,0.096,0.099,0.099,0.094,0.1,0.429,0.992,1.021,1.163
Suriname,Health Care,3003,Revenue,Hand Sanitizer,thousand USD (US$),Statista,23.41,29.62,37.51,59.42,66.26,73.53,96.25,122.3,155.3,169.8,188.3
Suriname,Health Care,3003,Revenue,Incontinence,thousand USD (US$),Statista,0.488,0.679,0.946,1.267,1.756,2.365,3.513,4.889,6.797,7.426,8.327
Suriname,Health Care,3003,Revenue,Other Health Care,thousand USD (US$),Statista,46.08,53.81,63,79.59,89.76,97.07,120.3,143,170.3,184.5,201.5
Suriname,Health Care,3003,Revenue,Skin Treatment,thousand USD (US$),Statista,41.85,46.09,50.75,56.48,61.72,63.57,73.93,81.44,89.59,95.22,101.4
Suriname,Health Care,3003,Revenue,Vitamins & Minerals,thousand USD (US$),Statista,37.34,43.77,51.22,60.49,70.01,76.2,93.46,108.5,125.6,136.1,148
Suriname,Health Care,3003,Revenue Change,Total,percent,Statista,,16.871,17.146,26.393,12.888,8.306,24.137,18.976,19.301,8.306,9.27
Suriname,Health Care,3003,Revenue Change,Analgesics,percent,Statista,,26.531,26.226,27.356,24.791,17.405,32.317,25.309,25.123,9.318,10.564
Suriname,Health Care,3003,Revenue Change,Cold & Cough Remedies,percent,Statista,,20.777,20.616,21.716,19.297,12.215,26.472,19.781,19.478,8.736,9.469
Suriname,Health Care,3003,Revenue Change,Digestives & Intestinal Remedies,percent,Statista,,1.765,1.597,2.561,0.558,-5.35,6.751,328.671,131.251,2.892,13.908
Suriname,Health Care,3003,Revenue Change,Hand Sanitizer,percent,Statista,,26.527,26.637,58.411,11.511,10.972,30.899,27.065,26.983,9.337,10.895
Suriname,Health Care,3003,Revenue Change,Incontinence,percent,Statista,,39.307,39.211,33.961,38.595,34.681,48.541,39.169,39.026,9.254,12.133
Suriname,Health Care,3003,Revenue Change,Other Health Care,percent,Statista,,16.775,17.079,26.333,12.778,8.144,23.931,18.869,19.091,8.338,9.214
