Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Sweden,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Sweden,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Sweden,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Sweden,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Sweden,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Sweden,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Sweden,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Sweden,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Sweden,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Sweden,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Sweden,Health Care,3003,Average Revenue per User by Segment,Total,USD (US$),Statista,71.02,68.18,65.18,72.94,73.08,71.24,86.68,98.82,113,116.2,121.5
Sweden,Health Care,3003,Average Revenue per User by Segment,Analgesics,USD (US$),Statista,63.96,61.35,58.59,64.88,63.91,62.2,75.5,85.82,97.79,100.4,104.8
Sweden,Health Care,3003,Average Revenue per User by Segment,Cold & Cough Remedies,USD (US$),Statista,31.76,30.46,29.09,32.35,31.96,31.41,38.51,44.21,50.88,52.3,54.75
Sweden,Health Care,3003,Average Revenue per User by Segment,Digestives & Intestinal Remedies,USD (US$),Statista,28.51,27.35,26.12,28.93,28.51,27.77,33.73,38.38,43.77,44.92,46.91
Sweden,Health Care,3003,Average Revenue per User by Segment,Hand Sanitizer,USD (US$),Statista,1.237,1.186,1.133,2.49,4.579,4.09,4.555,4.749,4.961,5.249,5.49
Sweden,Health Care,3003,Average Revenue per User by Segment,Incontinence,USD (US$),Statista,3.847,3.903,3.939,4.404,4.444,4.999,7.012,9.206,12.11,12.59,13.52
Sweden,Health Care,3003,Average Revenue per User by Segment,Other Health Care,USD (US$),Statista,75.93,72.89,69.68,77.98,78.12,76.16,92.66,105.6,120.8,124.2,129.9
Sweden,Health Care,3003,Average Revenue per User by Segment,Skin Treatment,USD (US$),Statista,11.1,10.65,10.17,11.29,11.15,10.84,13.16,14.95,17.03,17.48,18.26
Sweden,Health Care,3003,Average Revenue per User by Segment,Vitamins & Minerals,USD (US$),Statista,27.62,26.49,25.3,28.03,27.63,26.83,32.5,36.87,41.93,43.03,44.91
Sweden,Health Care,3003,Revenue,Total,million USD (US$),Statista,109.9,113.6,118.1,143.2,155.5,161.2,206.4,245.8,292.4,313.4,340.3
