Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Switzerland,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Switzerland,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Switzerland,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Switzerland,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Switzerland,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Switzerland,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Switzerland,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Switzerland,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Switzerland,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Switzerland,Health Care,3003,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Switzerland,Health Care,3003,Average Revenue per User by Segment,Total,USD (US$),Statista,156.4,146.6,139.5,158,163.6,159,193.1,221,252.9,259.7,271.3
Switzerland,Health Care,3003,Average Revenue per User by Segment,Analgesics,USD (US$),Statista,190.1,178,169,189.2,195.5,188.5,227,257.6,292.1,299.5,312.1
Switzerland,Health Care,3003,Average Revenue per User by Segment,Cold & Cough Remedies,USD (US$),Statista,67.81,63.47,60.27,67.43,69.71,67.92,82.66,94.76,108.6,111.5,116.4
Switzerland,Health Care,3003,Average Revenue per User by Segment,Digestives & Intestinal Remedies,USD (US$),Statista,30.64,28.68,27.23,30.46,31.48,30.45,36.79,41.87,47.64,48.85,50.94
Switzerland,Health Care,3003,Average Revenue per User by Segment,Hand Sanitizer,USD (US$),Statista,2.461,2.303,2.187,5.85,6.551,6.153,7.218,7.977,8.814,9.27,9.766
Switzerland,Health Care,3003,Average Revenue per User by Segment,Incontinence,USD (US$),Statista,15.63,15.65,15.68,17.52,17.98,18.62,24.09,29.38,35.84,37.02,39.17
Switzerland,Health Care,3003,Average Revenue per User by Segment,Other Health Care,USD (US$),Statista,164.7,154.5,146.9,166.4,172.3,167.5,203.4,232.8,266.4,273.5,285.7
Switzerland,Health Care,3003,Average Revenue per User by Segment,Skin Treatment,USD (US$),Statista,56.18,52.59,49.94,56.13,58.04,56.53,68.76,78.8,90.28,92.66,96.78
Switzerland,Health Care,3003,Average Revenue per User by Segment,Vitamins & Minerals,USD (US$),Statista,35.11,32.87,31.21,34.99,36.18,35.4,43.26,49.81,57.33,58.87,61.54
Switzerland,Health Care,3003,Revenue,Total,million USD (US$),Statista,187.2,193.3,204.1,255.9,292.1,306,395.5,475.2,570.4,614.9,670.7
Switzerland,Health Care,3003,Revenue,Analgesics,million USD (US$),Statista,45.52,46.92,49.47,61.27,69.83,72.54,92.99,110.8,131.8,141.8,154.4
Switzerland,Health Care,3003,Revenue,Cold & Cough Remedies,million USD (US$),Statista,32.47,33.46,35.29,43.69,49.79,52.27,67.71,81.51,97.99,105.6,115.2
Switzerland,Health Care,3003,Revenue,Digestives & Intestinal Remedies,million USD (US$),Statista,11,11.34,11.96,14.8,16.87,17.58,22.6,27.01,32.23,34.71,37.8
Switzerland,Health Care,3003,Revenue,Hand Sanitizer,million USD (US$),Statista,1.178,1.214,1.28,3.79,4.679,4.735,5.913,6.861,7.95,8.781,9.662
Switzerland,Health Care,3003,Revenue,Incontinence,million USD (US$),Statista,3.742,4.126,4.59,5.675,6.421,7.165,9.869,12.64,16.16,17.53,19.37
Switzerland,Health Care,3003,Revenue,Other Health Care,million USD (US$),Statista,45.35,46.82,49.45,62,70.76,74.12,95.82,115.1,138.2,149,162.5
Switzerland,Health Care,3003,Revenue,Skin Treatment,million USD (US$),Statista,26.91,27.73,29.24,36.37,41.45,43.5,56.33,67.78,81.44,87.77,95.75
Switzerland,Health Care,3003,Revenue,Vitamins & Minerals,million USD (US$),Statista,21.02,21.66,22.84,28.34,32.3,34.05,44.3,53.55,64.65,69.69,76.1
Switzerland,Health Care,3003,Revenue Change,Total,percent,Statista,,3.259,5.587,25.38,14.146,4.759,29.248,20.152,20.034,7.802,9.075
Switzerland,Health Care,3003,Revenue Change,Analgesics,percent,Statista,,3.076,5.435,23.853,13.971,3.881,28.191,19.153,18.953,7.587,8.886
Switzerland,Health Care,3003,Revenue Change,Cold & Cough Remedies,percent,Statista,,3.049,5.469,23.803,13.962,4.981,29.539,20.381,20.218,7.766,9.091
Switzerland,Health Care,3003,Revenue Change,Digestives & Intestinal Remedies,percent,Statista,,3.091,5.467,23.746,13.986,4.209,28.555,19.513,19.326,7.695,8.902
Switzerland,Health Care,3003,Revenue Change,Hand Sanitizer,percent,Statista,,3.056,5.437,196.094,23.456,1.197,24.879,16.032,15.872,10.453,10.033
Switzerland,Health Care,3003,Revenue Change,Incontinence,percent,Statista,,10.262,11.246,23.638,13.145,11.587,37.739,28.078,27.848,8.478,10.496
Switzerland,Health Care,3003,Revenue Change,Other Health Care,percent,Statista,,3.241,5.617,25.379,14.129,4.748,29.277,20.121,20.07,7.815,9.06
