Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Taiwan,Household Care,3402,Comparable Estimates - eCommerce (China),*Statista,trillion USD (US$),,1.015,1.053,1.098,1.26,1.368,1.156,1.396,1.457,1.544,1.593,1.649
Taiwan,Household Care,3402,Comparable Estimates - eCommerce (China),UNCTAD,trillion USD (US$),,,,1.539,,,,,,,,
Taiwan,Household Care,3402,Revenue,Total,million USD (US$),Statista,32.15,34.28,38.4,47.81,55.14,64.29,105.7,158.4,203.9,222.6,254.5
Taiwan,Household Care,3402,Revenue,Dishwashing Detergents,million USD (US$),Statista,2.561,2.755,3.098,3.981,4.67,5.535,9.566,14.86,19.43,21.27,24.41
Taiwan,Household Care,3402,Revenue,Household Cleaners,million USD (US$),Statista,3.534,3.75,4.169,5.358,6.296,7.417,12.62,19.31,24.99,27.35,31.33
Taiwan,Household Care,3402,Revenue,Household Paper,million USD (US$),Statista,2.702,2.875,3.311,4.085,5.136,6.115,8.229,9.411,10.05,11.03,12.26
Taiwan,Household Care,3402,Revenue,Laundry Care,million USD (US$),Statista,7.215,7.598,8.365,10.14,11.25,12.72,21.98,34.76,45.44,49.54,56.74
Taiwan,Household Care,3402,Revenue,Other Household Care,million USD (US$),Statista,10.31,10.91,12.07,14.95,16.95,19.48,33.48,52.35,68.26,74.53,85.38
Taiwan,Household Care,3402,Revenue,Paper Tissues,million USD (US$),Statista,0.564,0.609,0.715,0.87,1.123,1.435,1.971,2.287,2.471,2.726,3.049
Taiwan,Household Care,3402,Revenue,"Polishes, Room Scents & Insecticides",million USD (US$),Statista,2.128,2.235,2.453,2.924,3.173,3.498,5.984,9.487,12.38,13.47,15.41
Taiwan,Household Care,3402,Revenue,Toilet Paper,million USD (US$),Statista,3.135,3.553,4.213,5.498,6.539,8.09,11.86,15.9,20.91,22.73,25.91
Taiwan,Household Care,3402,Revenue Change,Total,percent,Statista,,6.625,12.019,24.505,15.332,16.594,64.411,49.858,28.725,9.171,14.331
Taiwan,Household Care,3402,Revenue Change,Dishwashing Detergents,percent,Statista,,7.575,12.45,28.502,17.307,18.522,72.827,55.342,30.754,9.47,14.763
Taiwan,Household Care,3402,Revenue Change,Household Cleaners,percent,Statista,,6.112,11.173,28.52,17.507,17.805,70.15,53.011,29.415,9.444,14.552
Taiwan,Household Care,3402,Revenue Change,Household Paper,percent,Statista,,6.403,15.165,23.377,25.728,19.062,34.571,14.364,6.79,9.751,11.151
Taiwan,Household Care,3402,Revenue Change,Laundry Care,percent,Statista,,5.308,10.095,21.219,10.947,13.067,72.799,58.144,30.725,9.023,14.534
Taiwan,Household Care,3402,Revenue Change,Other Household Care,percent,Statista,,5.82,10.632,23.861,13.378,14.926,71.869,56.362,30.392,9.185,14.558
Taiwan,Household Care,3402,Revenue Change,Paper Tissues,percent,Statista,,8.107,17.296,21.698,29.095,27.783,37.352,16.032,8.045,10.32,11.849
Taiwan,Household Care,3402,Revenue Change,"Polishes, Room Scents & Insecticides",percent,Statista,,5.028,9.754,19.201,8.516,10.243,71.069,58.539,30.494,8.805,14.402
Taiwan,Household Care,3402,Revenue Change,Toilet Paper,percent,Statista,,13.333,18.576,30.501,18.934,23.719,46.601,34.064,31.509,8.704,13.99
Taiwan,Household Care,3402,Average Revenue per User by Segment,Total,USD (US$),Statista,59.12,60.12,62.19,73.36,79.06,86.54,134.4,192.6,238.2,76.41,83.4
Taiwan,Household Care,3402,Average Revenue per User by Segment,Dishwashing Detergents,USD (US$),Statista,4.627,3.918,3.817,4.389,4.443,5.379,8.414,12.08,14.7,15.42,16.99
Taiwan,Household Care,3402,Average Revenue per User by Segment,Household Cleaners,USD (US$),Statista,5.959,4.977,4.795,5.514,5.59,6.727,10.36,14.65,17.64,18.51,20.36
Taiwan,Household Care,3402,Average Revenue per User by Segment,Household Paper,USD (US$),Statista,8.916,7.467,7.449,8.226,8.923,10.85,13.22,13.97,13.88,14.6,15.59
Taiwan,Household Care,3402,Average Revenue per User by Segment,Laundry Care,USD (US$),Statista,13.69,11.34,10.82,11.74,11.24,12.98,20.3,29.67,36.09,37.72,41.46
Taiwan,Household Care,3402,Average Revenue per User by Segment,Other Household Care,USD (US$),Statista,35.55,29.61,28.4,31.48,30.78,36.13,56.22,81.25,98.56,103.2,113.5
Taiwan,Household Care,3402,Average Revenue per User by Segment,Paper Tissues,USD (US$),Statista,1.337,1.137,1.156,1.259,1.402,1.83,2.275,2.441,2.453,2.594,2.785
Taiwan,Household Care,3402,Average Revenue per User by Segment,"Polishes, Room Scents & Insecticides",USD (US$),Statista,5.383,4.449,4.231,4.514,4.226,4.759,7.369,10.8,13.11,13.68,15.01
Taiwan,Household Care,3402,Average Revenue per User by Segment,Toilet Paper,USD (US$),Statista,6.796,6.063,6.229,7.274,7.466,9.434,12.52,15.51,18.98,19.77,21.63
