Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Tajikistan,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Tajikistan,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Tajikistan,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Tajikistan,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Tajikistan,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Tajikistan,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Tajikistan,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Tajikistan,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Tajikistan,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Tajikistan,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Tajikistan,Household Care,3402,Average Revenue per User by Segment,Total,USD (US$),Statista,17.62,18.38,18.92,21.32,23.65,24.3,28.93,33.61,39.56,39.85,41.06
Tajikistan,Household Care,3402,Average Revenue per User by Segment,Dishwashing Detergents,USD (US$),Statista,2.555,2.624,2.628,3.072,3.398,3.379,3.903,4.407,5.049,5.092,5.232
Tajikistan,Household Care,3402,Average Revenue per User by Segment,Household Cleaners,USD (US$),Statista,2.777,2.882,2.913,3.536,3.972,3.97,4.6,5.205,5.977,6.036,6.208
Tajikistan,Household Care,3402,Average Revenue per User by Segment,Household Paper,USD (US$),Statista,16.16,17.24,18.84,20.4,23.09,25.66,32.03,38.63,46.84,47.37,49.14
Tajikistan,Household Care,3402,Average Revenue per User by Segment,Laundry Care,USD (US$),Statista,9.004,9.347,9.459,10.4,11.35,11.4,13.29,15.16,17.55,17.68,18.17
Tajikistan,Household Care,3402,Average Revenue per User by Segment,Other Household Care,USD (US$),Statista,27.61,28.62,28.91,32.66,35.9,35.95,41.8,47.52,54.82,55.28,56.85
Tajikistan,Household Care,3402,Average Revenue per User by Segment,Paper Tissues,USD (US$),Statista,0.264,0.261,0.264,0.266,0.278,0.282,0.325,0.361,0.403,0.405,0.413
Tajikistan,Household Care,3402,Average Revenue per User by Segment,"Polishes, Room Scents & Insecticides",USD (US$),Statista,3.05,3.172,3.215,3.504,3.8,3.807,4.434,5.052,5.841,5.883,6.048
Tajikistan,Household Care,3402,Average Revenue per User by Segment,Toilet Paper,USD (US$),Statista,2.596,2.71,2.805,3.629,4.164,4.274,5.441,6.804,8.628,8.691,9.045
Tajikistan,Household Care,3402,Revenue,Total,million USD (US$),Statista,2.055,2.696,3.401,4.646,6.067,7.172,9.645,12.38,15.99,17.53,19.52
Tajikistan,Household Care,3402,Revenue,Dishwashing Detergents,million USD (US$),Statista,0.125,0.162,0.198,0.281,0.366,0.419,0.547,0.682,0.857,0.939,1.042
Tajikistan,Household Care,3402,Revenue,Household Cleaners,million USD (US$),Statista,0.146,0.19,0.236,0.347,0.459,0.527,0.69,0.863,1.087,1.193,1.325
Tajikistan,Household Care,3402,Revenue,Household Paper,million USD (US$),Statista,0.433,0.581,0.779,1.022,1.362,1.742,2.456,3.274,4.353,4.783,5.355
Tajikistan,Household Care,3402,Revenue,Laundry Care,million USD (US$),Statista,0.42,0.548,0.68,0.906,1.165,1.345,1.772,2.234,2.836,3.105,3.446
Tajikistan,Household Care,3402,Revenue,Other Household Care,million USD (US$),Statista,0.708,0.923,1.143,1.566,2.026,2.334,3.066,3.852,4.874,5.34,5.925
Tajikistan,Household Care,3402,Revenue,Paper Tissues,million USD (US$),Statista,0.01,0.012,0.015,0.019,0.023,0.027,0.035,0.043,0.052,0.057,0.063
Tajikistan,Household Care,3402,Revenue,"Polishes, Room Scents & Insecticides",million USD (US$),Statista,0.107,0.14,0.173,0.229,0.292,0.337,0.444,0.558,0.708,0.775,0.86
Tajikistan,Household Care,3402,Revenue,Toilet Paper,million USD (US$),Statista,0.106,0.139,0.176,0.277,0.374,0.442,0.635,0.877,1.22,1.336,1.5
Tajikistan,Household Care,3402,Revenue Change,Total,percent,Statista,,31.192,26.15,36.607,30.585,18.213,34.481,28.357,29.16,9.631,11.352
