Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Tanzania,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Tanzania,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Tanzania,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Tanzania,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Tanzania,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Tanzania,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Tanzania,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Tanzania,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Tanzania,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Tanzania,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Tanzania,Household Care,3402,Average Revenue per User by Segment,Total,USD (US$),Statista,15,16.43,16.79,18.15,19.61,18.92,21.36,23.66,26.75,26.75,27.24
Tanzania,Household Care,3402,Average Revenue per User by Segment,Dishwashing Detergents,USD (US$),Statista,2.221,2.523,2.614,3.009,3.315,3.19,3.6,3.982,4.494,4.502,4.588
Tanzania,Household Care,3402,Average Revenue per User by Segment,Household Cleaners,USD (US$),Statista,2.464,2.83,2.961,3.537,3.959,3.83,4.338,4.809,5.439,5.454,5.564
Tanzania,Household Care,3402,Average Revenue per User by Segment,Household Paper,USD (US$),Statista,11.13,9.397,8.025,6.667,6.003,5.233,5.132,4.882,4.689,4.535,4.409
Tanzania,Household Care,3402,Average Revenue per User by Segment,Laundry Care,USD (US$),Statista,8.542,9.816,10.29,11.15,12.15,11.81,13.47,15.05,17.16,17.17,17.51
Tanzania,Household Care,3402,Average Revenue per User by Segment,Other Household Care,USD (US$),Statista,26.9,30.87,32.29,35.91,39.37,38.17,43.38,48.34,54.94,55.01,56.1
Tanzania,Household Care,3402,Average Revenue per User by Segment,Paper Tissues,USD (US$),Statista,0.303,0.326,0.355,0.358,0.408,0.476,0.593,0.716,0.871,0.873,0.898
Tanzania,Household Care,3402,Average Revenue per User by Segment,"Polishes, Room Scents & Insecticides",USD (US$),Statista,2.788,3.212,3.371,3.627,3.929,3.811,4.34,4.849,5.525,5.527,5.636
Tanzania,Household Care,3402,Average Revenue per User by Segment,Toilet Paper,USD (US$),Statista,0.367,0.436,0.474,0.573,0.647,0.681,0.846,1.035,1.29,1.289,1.329
Tanzania,Household Care,3402,Revenue,Total,million USD (US$),Statista,6.955,9.879,12.92,17.87,23.36,27.33,36.33,46.12,59.05,64.83,72.14
Tanzania,Household Care,3402,Revenue,Dishwashing Detergents,million USD (US$),Statista,0.432,0.637,0.845,1.245,1.658,1.935,2.571,3.26,4.166,4.583,5.104
Tanzania,Household Care,3402,Revenue,Household Cleaners,million USD (US$),Statista,0.514,0.766,1.026,1.567,2.122,2.489,3.32,4.219,5.402,5.949,6.632
Tanzania,Household Care,3402,Revenue,Household Paper,million USD (US$),Statista,1.187,1.299,1.421,1.51,1.644,1.738,2.007,2.189,2.38,2.528,2.686
Tanzania,Household Care,3402,Revenue,Laundry Care,million USD (US$),Statista,1.584,2.361,3.168,4.391,5.789,6.824,9.159,11.74,15.15,16.65,18.56
Tanzania,Household Care,3402,Revenue,Other Household Care,million USD (US$),Statista,2.744,4.082,5.47,7.779,10.32,12.13,16.23,20.73,26.68,29.33,32.69
Tanzania,Household Care,3402,Revenue,Paper Tissues,million USD (US$),Statista,0.045,0.063,0.087,0.113,0.155,0.22,0.323,0.446,0.615,0.677,0.762
Tanzania,Household Care,3402,Revenue,"Polishes, Room Scents & Insecticides",million USD (US$),Statista,0.388,0.579,0.779,1.072,1.404,1.651,2.214,2.836,3.659,4.019,4.479
Tanzania,Household Care,3402,Revenue,Toilet Paper,million USD (US$),Statista,0.06,0.092,0.128,0.197,0.27,0.344,0.504,0.706,0.997,1.094,1.232
Tanzania,Household Care,3402,Revenue Change,Total,percent,Statista,,42.042,30.782,38.313,30.722,16.995,32.931,26.947,28.036,9.788,11.276
Tanzania,Household Care,3402,Revenue Change,Dishwashing Detergents,percent,Statista,,47.283,32.7,47.285,33.173,16.707,32.868,26.799,27.791,10.01,11.368
Tanzania,Household Care,3402,Revenue Change,Household Cleaners,percent,Statista,,48.863,34.013,52.729,35.418,17.295,33.387,27.078,28.04,10.126,11.481
Tanzania,Household Care,3402,Revenue Change,Household Paper,percent,Statista,,9.436,9.392,6.263,8.874,5.718,15.478,9.068,8.725,6.218,6.25
Tanzania,Household Care,3402,Revenue Change,Laundry Care,percent,Statista,,49.053,34.18,38.605,31.838,17.879,34.217,28.18,29.046,9.901,11.471
Tanzania,Household Care,3402,Revenue Change,Other Household Care,percent,Statista,,48.761,34.003,42.212,32.665,17.539,33.8,27.726,28.702,9.933,11.456
Tanzania,Household Care,3402,Revenue Change,Paper Tissues,percent,Statista,,39.657,39.365,28.933,37.799,41.661,46.682,38.333,37.836,9.995,12.53
Tanzania,Household Care,3402,Revenue Change,"Polishes, Room Scents & Insecticides",percent,Statista,,49.317,34.427,37.683,30.97,17.593,34.101,28.094,29.02,9.839,11.446
Tanzania,Household Care,3402,Revenue Change,Toilet Paper,percent,Statista,,53.89,39.246,54.382,36.645,27.708,46.297,40.222,41.13,9.751,12.614
Tanzania,Household Care,3402,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Tanzania,Household Care,3402,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Tanzania,Household Care,3402,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Tanzania,Household Care,3402,Online & Offline Split,Offline,percent,Statista,99.061,98.733,98.425,97.925,97.45,97.052,96.483,95.755,94.831,,
Tanzania,Household Care,3402,Online & Offline Split,Online,percent,Statista,0.939,1.267,1.575,2.075,2.55,2.948,3.517,4.245,5.169,,
Tanzania,Household Care,3402,Mobile/Desktop Split,Desktop,percent,Statista,72.096,63.164,56.877,52.564,49.372,47.03,44.914,43.249,41.628,,
Tanzania,Household Care,3402,Mobile/Desktop Split,Mobile,percent,Statista,27.904,36.836,43.123,47.436,50.628,52.97,55.086,56.751,58.372,,
Tanzania,Household Care,3402,Users by Segment,Total,million users,Statista,0.464,0.601,0.77,0.985,1.191,1.444,1.701,1.949,2.207,2.424,2.649
Tanzania,Household Care,3402,Users by Segment,Dishwashing Detergents,million users,Statista,0.195,0.252,0.323,0.414,0.5,0.606,0.714,0.819,0.927,1.018,1.112
Tanzania,Household Care,3402,Users by Segment,Household Cleaners,million users,Statista,0.209,0.271,0.346,0.443,0.536,0.65,0.765,0.877,0.993,1.091,1.192
Tanzania,Household Care,3402,Users by Segment,Household Paper,million users,Statista,0.107,0.138,0.177,0.226,0.274,0.332,0.391,0.448,0.508,0.557,0.609
Tanzania,Household Care,3402,Users by Segment,Laundry Care,million users,Statista,0.185,0.24,0.308,0.394,0.476,0.578,0.68,0.78,0.883,0.97,1.06
Tanzania,Household Care,3402,Users by Segment,Other Household Care,million users,Statista,0.102,0.132,0.169,0.217,0.262,0.318,0.374,0.429,0.486,0.533,0.583
Tanzania,Household Care,3402,Users by Segment,Paper Tissues,million users,Statista,0.148,0.192,0.246,0.315,0.381,0.462,0.544,0.624,0.706,0.776,0.848
Tanzania,Household Care,3402,Users by Segment,"Polishes, Room Scents & Insecticides",million users,Statista,0.139,0.18,0.231,0.295,0.357,0.433,0.51,0.585,0.662,0.727,0.795
Tanzania,Household Care,3402,Users by Segment,Toilet Paper,million users,Statista,0.162,0.21,0.269,0.345,0.417,0.505,0.595,0.682,0.773,0.848,0.927
Tanzania,Household Care,3402,Penetration Rate by Segment,Dishwashing Detergents,percent,Statista,0.356,0.448,0.557,0.692,0.813,0.958,1.097,1.222,1.345,1.436,1.526
Tanzania,Household Care,3402,Penetration Rate by Segment,Household Care,percent,Statista,0.848,1.068,1.327,1.648,1.936,2.281,2.611,2.909,3.202,3.419,3.633
Tanzania,Household Care,3402,Penetration Rate by Segment,Household Cleaners,percent,Statista,0.382,0.48,0.597,0.742,0.871,1.027,1.175,1.309,1.441,1.538,1.635
Tanzania,Household Care,3402,Penetration Rate by Segment,Household Paper,percent,Statista,0.195,0.246,0.305,0.379,0.445,0.525,0.6,0.669,0.736,0.786,0.836
Tanzania,Household Care,3402,Penetration Rate by Segment,Laundry Care,percent,Statista,0.339,0.427,0.531,0.659,0.775,0.913,1.044,1.164,1.281,1.368,1.453
Tanzania,Household Care,3402,Penetration Rate by Segment,Other Household Care,percent,Statista,0.187,0.235,0.292,0.363,0.426,0.502,0.574,0.64,0.704,0.752,0.799
Tanzania,Household Care,3402,Penetration Rate by Segment,Paper Tissues,percent,Statista,0.271,0.342,0.425,0.528,0.62,0.73,0.835,0.931,1.025,1.094,1.163
Tanzania,Household Care,3402,Penetration Rate by Segment,"Polishes, Room Scents & Insecticides",percent,Statista,0.255,0.32,0.398,0.495,0.581,0.684,0.783,0.873,0.961,1.026,1.09
Tanzania,Household Care,3402,Penetration Rate by Segment,Toilet Paper,percent,Statista,0.297,0.374,0.465,0.577,0.678,0.798,0.914,1.018,1.121,1.197,1.272
Tanzania,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Tanzania,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),Carvana Co.,billion USD (US$),Statista Company DB,0.859,1.955,3.94,5.587,12.81,,,,,,
Tanzania,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Chewy, Inc.",billion USD (US$),Statista Company DB,2.104,3.533,4.847,7.146,,,,,,,
Tanzania,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),Costco Wholesale Corp.,billion USD (US$),Statista Company DB,129,141.6,152.7,166.8,195.9,,,,,,
Tanzania,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Tanzania,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Nike, Inc.",billion USD (US$),Statista Company DB,36.4,39.12,37.4,44.54,,,,,,,
Tanzania,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Tanzania,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"The Home Depot, Inc.",billion USD (US$),Statista Company DB,100.9,108.2,110.2,132.1,151.2,,,,,,
Tanzania,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"W.W. Grainger, Inc.",billion USD (US$),Statista Company DB,10.42,11.22,11.49,11.8,13.02,,,,,,
Tanzania,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Tanzania,"Toys, Hobby & DIY",950,Revenue,Total,million USD (US$),Statista,7.517,10.63,14.32,24.4,31.02,31.91,38.4,43.82,49.96,54.58,59.43
Tanzania,"Toys, Hobby & DIY",950,Revenue,"DIY, Garden & Pets",million USD (US$),Statista,2.215,3.005,4.058,6.759,8.949,10.22,12.42,13.74,14.92,16.56,18.09
Tanzania,"Toys, Hobby & DIY",950,Revenue,Hobby & Stationery,million USD (US$),Statista,1.75,2.475,3.267,5.072,6.392,7.006,8.671,10.21,12.08,13.29,14.63
Tanzania,"Toys, Hobby & DIY",950,Revenue,Sports & Outdoor,million USD (US$),Statista,2.096,3.06,4.188,8.363,10.34,8.647,9.686,10.76,12.03,12.68,13.4
Tanzania,"Toys, Hobby & DIY",950,Revenue,Toys & Baby,million USD (US$),Statista,1.456,2.095,2.806,4.207,5.334,6.04,7.628,9.119,10.94,12.05,13.31
Tanzania,"Toys, Hobby & DIY",950,Revenue Change,Total,percent,Statista,,41.413,34.713,70.391,27.131,2.869,20.338,14.115,14.012,9.247,8.886
Tanzania,"Toys, Hobby & DIY",950,Revenue Change,"DIY, Garden & Pets",percent,Statista,,35.666,35.042,66.56,32.401,14.203,21.526,10.628,8.588,10.992,9.239
Tanzania,"Toys, Hobby & DIY",950,Revenue Change,Hobby & Stationery,percent,Statista,,41.429,32,55.249,26.025,9.606,23.765,17.749,18.315,10.017,10.083
Tanzania,"Toys, Hobby & DIY",950,Revenue Change,Sports & Outdoor,percent,Statista,,45.992,36.863,99.69,23.64,-16.373,12.016,11.088,11.803,5.403,5.678
Tanzania,"Toys, Hobby & DIY",950,Revenue Change,Toys & Baby,percent,Statista,,43.887,33.938,49.929,26.789,13.236,26.291,19.546,19.969,10.146,10.456
Tanzania,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,Total,USD (US$),Statista,6.229,6.361,6.158,7.793,7.436,5.914,5.779,5.586,5.492,5.41,5.338
Tanzania,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,"DIY, Garden & Pets",USD (US$),Statista,2.721,2.694,2.646,3.321,3.32,2.927,2.906,2.721,2.547,2.552,2.526
Tanzania,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,Hobby & Stationery,USD (US$),Statista,2.471,2.479,2.303,2.613,2.429,2.036,1.997,1.999,2.045,2.023,2.016
Tanzania,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,Sports & Outdoor,USD (US$),Statista,3.789,3.864,3.688,5.342,4.843,3.076,2.785,2.587,2.469,2.343,2.238
Tanzania,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,Toys & Baby,USD (US$),Statista,2.541,2.814,2.886,3.359,3.343,3.03,3.219,3.294,3.432,3.432,3.453
Tanzania,"Toys, Hobby & DIY",950,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Tanzania,"Toys, Hobby & DIY",950,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Tanzania,"Toys, Hobby & DIY",950,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Tanzania,"Toys, Hobby & DIY",950,Online & Offline Split,Offline,percent,Statista,99.511,99.404,99.298,98.949,98.819,98.824,98.77,98.671,98.552,,
Tanzania,"Toys, Hobby & DIY",950,Online & Offline Split,Online,percent,Statista,0.489,0.596,0.702,1.051,1.181,1.176,1.23,1.329,1.448,,
Tanzania,"Toys, Hobby & DIY",950,Mobile/Desktop Split,Desktop,percent,Statista,96.165,96.431,96.76,96.655,96.955,97.202,97.276,97.289,97.29,,
Tanzania,"Toys, Hobby & DIY",950,Mobile/Desktop Split,Mobile,percent,Statista,3.835,3.569,3.24,3.345,3.045,2.798,2.724,2.711,2.71,,
Tanzania,"Toys, Hobby & DIY",950,Users by Segment,Total,million users,Statista,1.207,1.672,2.325,3.131,4.171,5.397,6.646,7.844,9.098,10.087,11.134
Tanzania,"Toys, Hobby & DIY",950,Users by Segment,"DIY, Garden & Pets",million users,Statista,0.814,1.115,1.534,2.035,2.696,3.492,4.274,5.048,5.86,6.49,7.16
Tanzania,"Toys, Hobby & DIY",950,Users by Segment,Hobby & Stationery,million users,Statista,0.708,0.998,1.419,1.941,2.632,3.44,4.343,5.107,5.906,6.567,7.258
Tanzania,"Toys, Hobby & DIY",950,Users by Segment,Sports & Outdoor,million users,Statista,0.553,0.792,1.135,1.566,2.135,2.811,3.478,4.159,4.872,5.411,5.988
Tanzania,"Toys, Hobby & DIY",950,Users by Segment,Toys & Baby,million users,Statista,0.573,0.745,0.972,1.252,1.596,1.993,2.37,2.769,3.186,3.51,3.853
Tanzania,"Toys, Hobby & DIY",950,Penetration Rate by Segment,"DIY, Garden & Pets",percent,Statista,1.489,1.981,2.644,3.407,4.383,5.517,6.561,7.533,8.5,9.155,9.822
Tanzania,"Toys, Hobby & DIY",950,Penetration Rate by Segment,Hobby & Stationery,percent,Statista,1.296,1.773,2.446,3.25,4.279,5.435,6.667,7.62,8.568,9.263,9.956
Tanzania,"Toys, Hobby & DIY",950,Penetration Rate by Segment,Sports & Outdoor,percent,Statista,1.012,1.406,1.958,2.621,3.472,4.441,5.339,6.206,7.068,7.632,8.214
Tanzania,"Toys, Hobby & DIY",950,Penetration Rate by Segment,"Toys, Hobby & DIY",percent,Statista,2.208,2.969,4.009,5.242,6.783,8.526,10.203,11.706,13.198,14.228,15.273
Tanzania,"Toys, Hobby & DIY",950,Penetration Rate by Segment,Toys & Baby,percent,Statista,1.048,1.322,1.676,2.097,2.595,3.149,3.638,4.132,4.622,4.951,5.286
Tanzania,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Tanzania,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Tanzania,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),BANDAI NAMCO Holdings Inc.,billion USD (US$),Statista Company DB,6.047,6.632,6.642,6.939,,,,,,,
Tanzania,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Build-A-Bear Workshop, Inc.",billion USD (US$),Statista Company DB,0.358,0.337,0.339,0.255,,,,,,,
Tanzania,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Carter'S, Inc.",billion USD (US$),Statista Company DB,3.444,3.501,3.554,3.051,3.523,,,,,,
Tanzania,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Costco Wholesale Corp.,billion USD (US$),Statista Company DB,129,141.6,152.7,166.8,195.9,,,,,,
Tanzania,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Tanzania,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Tanzania,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
