Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Thailand,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Thailand,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Thailand,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Thailand,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Thailand,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Thailand,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Thailand,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Thailand,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Thailand,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Thailand,Household Care,3402,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Thailand,Household Care,3402,Average Revenue per User by Segment,Total,USD (US$),Statista,22.67,37.99,60.55,101.5,210.5,206,240,265.2,296.3,307.3,319.5
Thailand,Household Care,3402,Average Revenue per User by Segment,Dishwashing Detergents,USD (US$),Statista,3.306,5.52,8.764,15.15,33.68,32.24,36.77,39.8,43.57,45.89,48.11
Thailand,Household Care,3402,Average Revenue per User by Segment,Household Cleaners,USD (US$),Statista,4.486,7.489,11.89,20.94,48.51,46.38,52.83,57.1,62.43,65.81,68.99
Thailand,Household Care,3402,Average Revenue per User by Segment,Household Paper,USD (US$),Statista,4.657,7.912,12.79,21.72,45.12,46.2,56.13,64.45,74.53,78.26,82.57
Thailand,Household Care,3402,Average Revenue per User by Segment,Laundry Care,USD (US$),Statista,11.54,19.26,30.58,49.1,92.03,89.86,104.6,115.5,129,135.4,142.1
Thailand,Household Care,3402,Average Revenue per User by Segment,Other Household Care,USD (US$),Statista,48.51,81.29,129.6,217.3,450.4,440.7,513.5,567.5,634,647.5,664.8
Thailand,Household Care,3402,Average Revenue per User by Segment,Paper Tissues,USD (US$),Statista,0.509,0.866,1.399,2.617,6.697,6.625,7.785,8.656,9.707,10.23,10.77
Thailand,Household Care,3402,Average Revenue per User by Segment,"Polishes, Room Scents & Insecticides",USD (US$),Statista,4.849,8.096,12.85,20.56,38.19,37.39,43.62,48.3,54.12,56.8,59.62
Thailand,Household Care,3402,Average Revenue per User by Segment,Toilet Paper,USD (US$),Statista,3.679,6.252,10.1,18.03,41.84,41.98,49.99,56.27,63.81,67.16,70.76
Thailand,Household Care,3402,Revenue,Total,million USD (US$),Statista,67.09,123.5,220.1,407.3,904.6,979.2,"1,243","1,483","1,783","1,965","2,166"
Thailand,Household Care,3402,Revenue,Dishwashing Detergents,million USD (US$),Statista,4.11,7.535,13.38,25.53,60.79,64.38,79.98,93.48,110.1,123.2,137
Thailand,Household Care,3402,Revenue,Household Cleaners,million USD (US$),Statista,5.974,10.95,19.45,37.81,93.81,99.22,123.1,143.7,169,189.3,210.5
Thailand,Household Care,3402,Revenue,Household Paper,million USD (US$),Statista,3.17,5.915,10.69,20.04,44.6,50.52,66.85,82.89,103.1,115.1,128.7
Thailand,Household Care,3402,Revenue,Laundry Care,million USD (US$),Statista,13.66,25.04,44.47,78.8,158.2,170.9,216.6,258.3,310.5,346.4,385.4
Thailand,Household Care,3402,Revenue,Other Household Care,million USD (US$),Statista,31.58,58.13,103.6,191.8,425.8,461,585.1,698.2,839.2,910.8,991.5
Thailand,Household Care,3402,Revenue,Paper Tissues,million USD (US$),Statista,0.482,0.9,1.627,3.36,9.209,10.08,12.9,15.49,18.69,20.94,23.37
Thailand,Household Care,3402,Revenue,"Polishes, Room Scents & Insecticides",million USD (US$),Statista,4.305,7.894,14.02,24.74,49.23,53.32,67.76,81.04,97.68,108.9,121.3
Thailand,Household Care,3402,Revenue,Toilet Paper,million USD (US$),Statista,3.811,7.112,12.86,25.31,62.93,69.85,90.61,110.1,134.4,150.3,167.9
Thailand,Household Care,3402,Revenue Change,Total,percent,Statista,,84.081,78.219,85.052,122.097,8.247,26.94,19.308,20.229,10.208,10.229
Thailand,Household Care,3402,Revenue Change,Dishwashing Detergents,percent,Statista,,83.333,77.571,90.807,138.112,5.906,24.231,16.879,17.779,11.898,11.201
Thailand,Household Care,3402,Revenue Change,Household Cleaners,percent,Statista,,83.294,77.626,94.396,148.109,5.767,24.068,16.734,17.606,12.012,11.199
Thailand,Household Care,3402,Revenue Change,Household Paper,percent,Statista,,86.593,80.727,87.465,122.555,13.274,32.324,23.994,24.382,11.639,11.816
Thailand,Household Care,3402,Revenue Change,Laundry Care,percent,Statista,,83.309,77.596,77.198,100.761,8.028,26.741,19.252,20.209,11.562,11.259
Thailand,Household Care,3402,Revenue Change,Other Household Care,percent,Statista,,84.072,78.221,85.135,122.002,8.267,26.92,19.33,20.195,8.532,8.86
Thailand,Household Care,3402,Revenue Change,Paper Tissues,percent,Statista,,86.609,80.738,106.515,174.077,9.458,27.976,20.078,20.658,12.039,11.605
Thailand,Household Care,3402,Revenue Change,"Polishes, Room Scents & Insecticides",percent,Statista,,83.368,77.603,76.462,98.989,8.308,27.082,19.599,20.533,11.486,11.387
Thailand,Household Care,3402,Revenue Change,Toilet Paper,percent,Statista,,86.618,80.821,96.812,148.637,10.996,29.721,21.51,22.071,11.83,11.71
Thailand,Household Care,3402,Comparable Estimates - eCommerce (Thailand),*Statista,billion USD (US$),,3.846,5.301,7.29,10.91,19.09,19.26,24.2,27.89,32.3,35.42,38.72
Thailand,Household Care,3402,Comparable Estimates - eCommerce (Thailand),UNCTAD,billion USD (US$),,,,27,,,,,,,,
Thailand,Household Care,3402,Online & Offline Split,Offline,percent,Statista,98.34,97.016,94.848,90.975,82.152,80.327,77.795,74.808,71.332,,
Thailand,Household Care,3402,Online & Offline Split,Online,percent,Statista,1.66,2.984,5.152,9.025,17.848,19.673,22.205,25.192,28.668,,
Thailand,Household Care,3402,Mobile/Desktop Split,Desktop,percent,Statista,42.867,39.906,37.9,35.915,34.359,33.193,32.213,31.672,31.137,,
Thailand,Household Care,3402,Mobile/Desktop Split,Mobile,percent,Statista,57.133,60.094,62.1,64.085,65.641,66.807,67.787,68.328,68.863,,
Thailand,Household Care,3402,Users by Segment,Total,million users,Statista,2.959,3.25,3.635,4.012,4.298,4.754,5.179,5.592,6.017,6.393,6.779
Thailand,Household Care,3402,Users by Segment,Dishwashing Detergents,million users,Statista,1.243,1.365,1.527,1.685,1.805,1.997,2.175,2.349,2.527,2.685,2.847
Thailand,Household Care,3402,Users by Segment,Household Cleaners,million users,Statista,1.332,1.463,1.636,1.805,1.934,2.139,2.33,2.517,2.708,2.877,3.051
Thailand,Household Care,3402,Users by Segment,Household Paper,million users,Statista,0.681,0.748,0.836,0.923,0.988,1.093,1.191,1.286,1.384,1.47,1.559
Thailand,Household Care,3402,Users by Segment,Laundry Care,million users,Statista,1.184,1.3,1.454,1.605,1.719,1.902,2.071,2.237,2.407,2.557,2.712
Thailand,Household Care,3402,Users by Segment,Other Household Care,million users,Statista,0.651,0.715,0.8,0.883,0.945,1.046,1.139,1.23,1.324,1.407,1.491
Thailand,Household Care,3402,Users by Segment,Paper Tissues,million users,Statista,0.947,1.04,1.163,1.284,1.375,1.521,1.657,1.79,1.925,2.046,2.169
Thailand,Household Care,3402,Users by Segment,"Polishes, Room Scents & Insecticides",million users,Statista,0.888,0.975,1.091,1.204,1.289,1.426,1.554,1.678,1.805,1.918,2.034
Thailand,Household Care,3402,Users by Segment,Toilet Paper,million users,Statista,1.036,1.138,1.272,1.404,1.504,1.664,1.812,1.957,2.106,2.238,2.373
Thailand,Household Care,3402,Penetration Rate by Segment,Dishwashing Detergents,percent,Statista,1.796,1.966,2.193,2.414,2.58,2.849,3.099,3.343,3.593,3.816,4.045
