Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Timor-Leste,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Timor-Leste,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),Carvana Co.,billion USD (US$),Statista Company DB,0.859,1.955,3.94,5.587,12.81,,,,,,
Timor-Leste,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Chewy, Inc.",billion USD (US$),Statista Company DB,2.104,3.533,4.847,7.146,,,,,,,
Timor-Leste,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),Costco Wholesale Corp.,billion USD (US$),Statista Company DB,129,141.6,152.7,166.8,195.9,,,,,,
Timor-Leste,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Timor-Leste,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Nike, Inc.",billion USD (US$),Statista Company DB,36.4,39.12,37.4,44.54,,,,,,,
Timor-Leste,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Timor-Leste,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"The Home Depot, Inc.",billion USD (US$),Statista Company DB,100.9,108.2,110.2,132.1,151.2,,,,,,
Timor-Leste,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"W.W. Grainger, Inc.",billion USD (US$),Statista Company DB,10.42,11.22,11.49,11.8,13.02,,,,,,
Timor-Leste,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Timor-Leste,"Toys, Hobby & DIY",950,Revenue,Total,million USD (US$),Statista,0.97,1.096,1.284,1.909,2.244,2.257,2.678,2.998,3.368,3.635,3.919
Timor-Leste,"Toys, Hobby & DIY",950,Revenue,"DIY, Garden & Pets",million USD (US$),Statista,0.121,0.192,0.276,0.488,0.569,0.552,0.685,0.776,0.867,0.945,1.022
Timor-Leste,"Toys, Hobby & DIY",950,Revenue,Hobby & Stationery,million USD (US$),Statista,0.225,0.237,0.266,0.379,0.456,0.474,0.559,0.631,0.719,0.779,0.844
Timor-Leste,"Toys, Hobby & DIY",950,Revenue,Sports & Outdoor,million USD (US$),Statista,0.207,0.225,0.255,0.403,0.475,0.445,0.5,0.541,0.592,0.628,0.665
Timor-Leste,"Toys, Hobby & DIY",950,Revenue,Toys & Baby,million USD (US$),Statista,0.416,0.441,0.488,0.64,0.745,0.787,0.933,1.049,1.19,1.284,1.388
Timor-Leste,"Toys, Hobby & DIY",950,Revenue Change,Total,percent,Statista,,13.025,17.153,48.676,17.548,0.579,18.653,11.949,12.342,7.928,7.813
Timor-Leste,"Toys, Hobby & DIY",950,Revenue Change,"DIY, Garden & Pets",percent,Statista,,57.942,43.616,77.104,16.595,-3.075,24.275,13.217,11.648,9.025,8.182
Timor-Leste,"Toys, Hobby & DIY",950,Revenue Change,Hobby & Stationery,percent,Statista,,5.791,11.916,42.513,20.301,3.972,18.067,12.871,13.937,8.243,8.347
Timor-Leste,"Toys, Hobby & DIY",950,Revenue Change,Sports & Outdoor,percent,Statista,,8.438,13.339,57.905,18.037,-6.293,12.264,8.283,9.294,6.12,5.99
Timor-Leste,"Toys, Hobby & DIY",950,Revenue Change,Toys & Baby,percent,Statista,,6.005,10.514,31.167,16.398,5.654,18.66,12.373,13.441,7.899,8.1
Timor-Leste,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,Total,USD (US$),Statista,19.28,14.92,12.44,13.91,13.16,11.13,10.97,10.62,10.47,10.24,10.06
