Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Togo,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Togo,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),Carvana Co.,billion USD (US$),Statista Company DB,0.859,1.955,3.94,5.587,12.81,,,,,,
Togo,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Chewy, Inc.",billion USD (US$),Statista Company DB,2.104,3.533,4.847,7.146,,,,,,,
Togo,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),Costco Wholesale Corp.,billion USD (US$),Statista Company DB,129,141.6,152.7,166.8,195.9,,,,,,
Togo,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Togo,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Nike, Inc.",billion USD (US$),Statista Company DB,36.4,39.12,37.4,44.54,,,,,,,
Togo,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Togo,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"The Home Depot, Inc.",billion USD (US$),Statista Company DB,100.9,108.2,110.2,132.1,151.2,,,,,,
Togo,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"W.W. Grainger, Inc.",billion USD (US$),Statista Company DB,10.42,11.22,11.49,11.8,13.02,,,,,,
Togo,"Toys, Hobby & DIY",950,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Togo,"Toys, Hobby & DIY",950,Revenue,Total,million USD (US$),Statista,1.869,2.404,3.15,5.191,7.307,8.337,10.89,13.41,16.38,18.06,20.02
Togo,"Toys, Hobby & DIY",950,Revenue,"DIY, Garden & Pets",million USD (US$),Statista,0.221,0.295,0.394,0.659,0.884,1.015,1.241,1.395,1.539,1.701,1.856
Togo,"Toys, Hobby & DIY",950,Revenue,Hobby & Stationery,million USD (US$),Statista,0.441,0.565,0.737,1.216,1.717,2.034,2.712,3.399,4.222,4.667,5.195
Togo,"Toys, Hobby & DIY",950,Revenue,Sports & Outdoor,million USD (US$),Statista,0.45,0.576,0.76,1.371,2.082,2.094,2.632,3.169,3.79,4.156,4.572
Togo,"Toys, Hobby & DIY",950,Revenue,Toys & Baby,million USD (US$),Statista,0.757,0.969,1.259,1.946,2.623,3.194,4.304,5.446,6.831,7.539,8.396
Togo,"Toys, Hobby & DIY",950,Revenue Change,Total,percent,Statista,,28.625,31.032,64.794,40.763,14.096,30.623,23.14,22.148,10.256,10.853
Togo,"Toys, Hobby & DIY",950,Revenue Change,"DIY, Garden & Pets",percent,Statista,,33.363,33.695,67.165,34.097,14.806,22.266,12.409,10.323,10.526,9.112
Togo,"Toys, Hobby & DIY",950,Revenue Change,Hobby & Stationery,percent,Statista,,27.889,30.54,65.016,41.201,18.462,33.333,25.332,24.213,10.54,11.313
Togo,"Toys, Hobby & DIY",950,Revenue Change,Sports & Outdoor,percent,Statista,,28.035,31.898,80.49,51.86,0.576,25.692,20.403,19.596,9.657,10.01
Togo,"Toys, Hobby & DIY",950,Revenue Change,Toys & Baby,percent,Statista,,27.99,29.995,54.567,34.789,21.769,34.753,26.533,25.432,10.365,11.368
Togo,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,Total,USD (US$),Statista,11.99,11.19,10.53,12.78,13.38,11.69,12.28,12.7,13.29,13.21,13.25
Togo,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,"DIY, Garden & Pets",USD (US$),Statista,2.106,2.059,1.999,2.498,2.506,2.199,2.176,2.052,1.936,1.931,1.907
Togo,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,Hobby & Stationery,USD (US$),Statista,4.815,4.397,4.035,4.828,4.988,4.477,4.688,4.952,5.288,5.255,5.286
Togo,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,Sports & Outdoor,USD (US$),Statista,6.286,5.655,5.197,6.751,7.454,5.642,5.68,5.669,5.755,5.68,5.639
Togo,"Toys, Hobby & DIY",950,Average Revenue per User by Segment,Toys & Baby,USD (US$),Statista,10.23,10.13,10.07,11.98,12.56,12.12,13.61,14.61,15.83,15.84,16.04
Togo,"Toys, Hobby & DIY",950,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Togo,"Toys, Hobby & DIY",950,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Togo,"Toys, Hobby & DIY",950,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Togo,"Toys, Hobby & DIY",950,Online & Offline Split,Offline,percent,Statista,99.301,99.161,98.971,98.395,97.878,97.538,97.103,96.576,95.961,,
Togo,"Toys, Hobby & DIY",950,Online & Offline Split,Online,percent,Statista,0.699,0.839,1.029,1.605,2.122,2.462,2.897,3.424,4.039,,
Togo,"Toys, Hobby & DIY",950,Mobile/Desktop Split,Desktop,percent,Statista,94.493,94.356,94.631,94.567,94.673,94.825,94.831,94.782,94.709,,
Togo,"Toys, Hobby & DIY",950,Mobile/Desktop Split,Mobile,percent,Statista,5.507,5.644,5.369,5.433,5.327,5.175,5.169,5.218,5.291,,
Togo,"Toys, Hobby & DIY",950,Users by Segment,Total,million users,Statista,0.156,0.215,0.299,0.406,0.546,0.713,0.887,1.056,1.232,1.367,1.511
