Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Uganda,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Uganda,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Uganda,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Bath & Body Works, Inc.",billion USD (US$),Statista Company DB,12.63,13.24,12.91,11.85,7.882,,,,,,
Uganda,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Uganda,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Cvs Health Corp.,billion USD (US$),Statista Company DB,184.8,194.6,256.8,268.7,292.1,,,,,,
Uganda,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Uganda,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Uganda,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Ulta Beauty, Inc.",billion USD (US$),Statista Company DB,5.885,6.717,7.398,6.152,,,,,,,
Uganda,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Walgreens Boots Alliance, Inc.",billion USD (US$),Statista Company DB,118.2,131.5,136.9,139.5,132.5,,,,,,
Uganda,"Beauty, Health, Personal & Household Care",3304,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Uganda,"Beauty, Health, Personal & Household Care",3304,Revenue,Total,million USD (US$),Statista,41.2,50.55,60.02,77.77,93.15,100.3,122.6,143.1,169.1,183.5,200.3
Uganda,"Beauty, Health, Personal & Household Care",3304,Revenue,Beauty Care,million USD (US$),Statista,8.143,10.3,12.36,16.89,20.68,21.87,26.44,30.43,35.71,38.88,42.48
Uganda,"Beauty, Health, Personal & Household Care",3304,Revenue,Health Care,million USD (US$),Statista,5.356,6.115,6.989,8.091,9.188,9.86,11.96,13.75,15.8,17.04,18.46
Uganda,"Beauty, Health, Personal & Household Care",3304,Revenue,Household Care,million USD (US$),Statista,13.72,16.6,19.67,23.99,29.33,33.44,42.66,51.96,63.68,69.37,76.37
Uganda,"Beauty, Health, Personal & Household Care",3304,Revenue,Personal Care,million USD (US$),Statista,13.99,17.53,20.99,28.8,33.95,35.1,41.56,46.92,53.91,58.19,62.95
Uganda,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Total,percent,Statista,,22.694,18.734,29.573,19.776,7.676,22.233,16.721,18.169,8.516,9.155
Uganda,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Beauty Care,percent,Statista,,26.489,20,36.65,22.439,5.754,20.896,15.091,17.351,8.877,9.259
Uganda,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Health Care,percent,Statista,,14.171,14.293,15.768,13.558,7.314,21.298,14.967,14.909,7.848,8.333
Uganda,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Household Care,percent,Statista,,20.991,18.494,21.962,22.259,14.013,27.572,21.8,22.556,8.935,10.091
Uganda,"Beauty, Health, Personal & Household Care",3304,Revenue Change,Personal Care,percent,Statista,,25.304,19.738,37.208,17.882,3.387,18.405,12.897,14.898,7.939,8.18
Uganda,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Total,USD (US$),Statista,30.8,29.06,27.31,28.38,28.23,25.7,27.07,27.71,29.05,28.79,28.84
Uganda,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Beauty Care,USD (US$),Statista,8.694,8.463,8.039,8.803,8.955,8.008,8.34,8.42,8.763,8.717,8.738
Uganda,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Health Care,USD (US$),Statista,6.255,5.494,4.97,4.613,4.351,3.949,4.125,4.162,4.242,4.178,4.153
Uganda,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Household Care,USD (US$),Statista,26.98,25.11,23.56,23.04,23.39,22.56,24.78,26.48,28.79,28.65,28.94
Uganda,"Beauty, Health, Personal & Household Care",3304,Average Revenue per User by Segment,Personal Care,USD (US$),Statista,16.86,16.26,15.41,16.95,16.6,14.51,14.8,14.66,14.94,14.73,14.62
Uganda,"Beauty, Health, Personal & Household Care",3304,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Uganda,"Beauty, Health, Personal & Household Care",3304,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Uganda,"Beauty, Health, Personal & Household Care",3304,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Uganda,"Beauty, Health, Personal & Household Care",3304,Online & Offline Split,Offline,percent,Statista,98.192,97.881,97.598,96.867,96.469,96.192,95.83,95.347,94.733,,
Uganda,"Beauty, Health, Personal & Household Care",3304,Online & Offline Split,Online,percent,Statista,1.808,2.119,2.402,3.133,3.531,3.808,4.17,4.653,5.267,,
Uganda,"Beauty, Health, Personal & Household Care",3304,Mobile/Desktop Split,Desktop,percent,Statista,59.628,57.145,55.65,54.388,53.126,51.944,50.799,49.793,48.805,,
Uganda,"Beauty, Health, Personal & Household Care",3304,Mobile/Desktop Split,Mobile,percent,Statista,40.372,42.855,44.35,45.612,46.874,48.056,49.201,50.207,51.195,,
Uganda,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Total,million users,Statista,1.338,1.739,2.197,2.74,3.299,3.901,4.53,5.163,5.821,6.372,6.944
Uganda,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Beauty Care,million users,Statista,0.937,1.217,1.538,1.918,2.31,2.731,3.171,3.614,4.075,4.46,4.861
Uganda,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Health Care,million users,Statista,0.856,1.113,1.406,1.754,2.112,2.497,2.899,3.304,3.726,4.078,4.444
Uganda,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Household Care,million users,Statista,0.508,0.661,0.835,1.041,1.254,1.482,1.721,1.962,2.212,2.421,2.639
Uganda,"Beauty, Health, Personal & Household Care",3304,Users by Segment,Personal Care,million users,Statista,0.83,1.078,1.362,1.699,2.046,2.419,2.808,3.201,3.609,3.951,4.306
Uganda,"Beauty, Health, Personal & Household Care",3304,Penetration Rate by Segment,"Beauty, Health, Personal & Household Care",percent,Statista,3.25,4.07,4.963,5.991,7.002,8.055,9.114,10.128,11.132,11.874,12.61
Uganda,"Beauty, Health, Personal & Household Care",3304,Penetration Rate by Segment,Beauty Care,percent,Statista,2.275,2.849,3.474,4.194,4.901,5.638,6.38,7.089,7.792,8.312,8.827
Uganda,"Beauty, Health, Personal & Household Care",3304,Penetration Rate by Segment,Health Care,percent,Statista,2.08,2.605,3.177,3.834,4.481,5.155,5.833,6.482,7.124,7.599,8.07
Uganda,"Beauty, Health, Personal & Household Care",3304,Penetration Rate by Segment,Household Care,percent,Statista,1.235,1.547,1.886,2.277,2.661,3.061,3.463,3.849,4.23,4.512,4.792
Uganda,"Beauty, Health, Personal & Household Care",3304,Penetration Rate by Segment,Personal Care,percent,Statista,2.015,2.524,3.077,3.715,4.341,4.994,5.65,6.279,6.902,7.362,7.818
Uganda,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
Uganda,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Uganda,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),BANDAI NAMCO Holdings Inc.,billion USD (US$),Statista Company DB,6.047,6.632,6.642,6.939,,,,,,,
Uganda,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Build-A-Bear Workshop, Inc.",billion USD (US$),Statista Company DB,0.358,0.337,0.339,0.255,,,,,,,
Uganda,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Carter'S, Inc.",billion USD (US$),Statista Company DB,3.444,3.501,3.554,3.051,3.523,,,,,,
Uganda,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Costco Wholesale Corp.,billion USD (US$),Statista Company DB,129,141.6,152.7,166.8,195.9,,,,,,
Uganda,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Uganda,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Uganda,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Uganda,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Uganda,Toys & Baby,9503,Revenue,Total,million USD (US$),Statista,1.335,1.625,1.993,2.916,3.699,4.156,5.261,6.322,7.613,8.35,9.206
Uganda,Toys & Baby,9503,Revenue,Baby,million USD (US$),Statista,0.176,0.23,0.286,0.426,0.518,0.561,0.694,0.817,0.973,1.065,1.171
Uganda,Toys & Baby,9503,Revenue,Other Toys & Baby,million USD (US$),Statista,0,0,0,0,0,0,0,0,0,0,0
Uganda,Toys & Baby,9503,Revenue,Toys,million USD (US$),Statista,1.159,1.395,1.706,2.49,3.181,3.594,4.567,5.504,6.64,7.285,8.035
Uganda,Toys & Baby,9503,Revenue Change,Total,percent,Statista,,21.723,22.646,46.312,26.852,12.355,26.588,20.167,20.421,9.681,10.251
Uganda,Toys & Baby,9503,Revenue Change,Baby,percent,Statista,,30.887,24.511,48.726,21.685,8.274,23.584,17.801,19.087,9.422,9.953
Uganda,Toys & Baby,9503,Revenue Change,Other Toys & Baby,percent,Statista,,�,�,�,�,�,�,�,�,�,�
Uganda,Toys & Baby,9503,Revenue Change,Toys,percent,Statista,,20.362,22.294,45.955,27.751,12.983,27.073,20.517,20.64,9.714,10.295
Uganda,Toys & Baby,9503,Average Revenue per User,Total,USD (US$),Statista,2.195,2.033,1.92,2.201,2.219,2.03,2.193,2.255,2.361,2.356,2.369
Uganda,Toys & Baby,9503,Average Revenue per User,Baby,USD (US$),Statista,0.482,0.48,0.46,0.536,0.518,0.457,0.482,0.486,0.503,0.501,0.502
Uganda,Toys & Baby,9503,Average Revenue per User,Other Toys & Baby,USD (US$),Statista,0,0,0,0,0,0,0,0,0,0,0
Uganda,Toys & Baby,9503,Average Revenue per User,Toys,USD (US$),Statista,2.383,2.181,2.055,2.349,2.385,2.194,2.38,2.454,2.574,2.569,2.584
Uganda,Toys & Baby,9503,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Uganda,Toys & Baby,9503,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Uganda,Toys & Baby,9503,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Uganda,Toys & Baby,9503,Online & Offline Split,Offline,percent,Statista,99.676,99.638,99.59,99.472,99.374,99.28,99.205,99.112,99,,
Uganda,Toys & Baby,9503,Online & Offline Split,Online,percent,Statista,0.324,0.362,0.41,0.528,0.626,0.72,0.795,0.888,1,,
Uganda,Toys & Baby,9503,Mobile/Desktop Split,Desktop,percent,Statista,56.224,54.08,52.878,52.214,51.89,51.742,51.682,51.666,51.666,,
Uganda,Toys & Baby,9503,Mobile/Desktop Split,Mobile,percent,Statista,43.776,45.92,47.122,47.786,48.11,48.258,48.318,48.334,48.334,,
Uganda,Toys & Baby,9503,Users,Total,million users,Statista,0.608,0.799,1.038,1.325,1.667,2.047,2.399,2.803,3.225,3.545,3.887
Uganda,Toys & Baby,9503,Users,Baby,million users,Statista,0.365,0.479,0.623,0.795,1,1.228,1.44,1.682,1.935,2.127,2.332
Uganda,Toys & Baby,9503,Users,Other Toys & Baby,million users,Statista,0.109,0.144,0.187,0.238,0.3,0.369,0.432,0.505,0.58,0.638,0.7
Uganda,Toys & Baby,9503,Users,Toys,million users,Statista,0.487,0.639,0.831,1.06,1.334,1.638,1.919,2.243,2.58,2.836,3.109
Uganda,Toys & Baby,9503,Penetration Rate,Baby,percent,Statista,0.886,1.122,1.407,1.737,2.123,2.536,2.896,3.3,3.7,3.963,4.234
Uganda,Toys & Baby,9503,Penetration Rate,Other Toys & Baby,percent,Statista,0.266,0.337,0.422,0.521,0.637,0.761,0.869,0.99,1.11,1.189,1.27
Uganda,Toys & Baby,9503,Penetration Rate,Toys,percent,Statista,1.182,1.496,1.876,2.317,2.83,3.382,3.862,4.399,4.933,5.285,5.646
Uganda,Toys & Baby,9503,Penetration Rate,Toys & Baby,percent,Statista,1.477,1.87,2.345,2.896,3.538,4.227,4.827,5.499,6.166,6.606,7.057
Uganda,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Adidas Ag,billion USD (US$),Statista Company DB,,26.09,26.7,22.79,25.49,,,,,,
Uganda,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Uganda,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Anta Sports Products Ltd.,billion USD (US$),Statista Company DB,2.535,3.758,5.059,5.348,,,,,,,
Uganda,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Dick'S Sporting Goods, Inc.",billion USD (US$),Statista Company DB,8.59,8.437,8.751,9.584,12.29,,,,,,
Uganda,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Fila Holdings Corp.,billion USD (US$),Statista Company DB,2.24,2.697,2.972,2.662,3.35,,,,,,
Uganda,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Fitbit,billion USD (US$),Statista Company DB,1.616,1.512,1.435,,,,,,,,
Uganda,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
