Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Ukraine,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Adidas Ag,billion USD (US$),Statista Company DB,,26.09,26.7,22.79,25.49,,,,,,
Ukraine,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Ukraine,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Anta Sports Products Ltd.,billion USD (US$),Statista Company DB,2.535,3.758,5.059,5.348,,,,,,,
Ukraine,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Dick'S Sporting Goods, Inc.",billion USD (US$),Statista Company DB,8.59,8.437,8.751,9.584,12.29,,,,,,
Ukraine,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Fila Holdings Corp.,billion USD (US$),Statista Company DB,2.24,2.697,2.972,2.662,3.35,,,,,,
Ukraine,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Fitbit,billion USD (US$),Statista Company DB,1.616,1.512,1.435,,,,,,,,
Ukraine,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Ukraine,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Lululemon Athletica, Inc.",billion USD (US$),Statista Company DB,2.649,3.288,3.979,4.402,,,,,,,
Ukraine,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Nike, Inc.",billion USD (US$),Statista Company DB,36.4,39.12,37.4,44.54,,,,,,,
Ukraine,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Under Armour, Inc.",billion USD (US$),Statista Company DB,4.977,5.193,5.267,4.475,5.685,,,,,,
Ukraine,Sports & Outdoor,9506,Revenue,Total,million USD (US$),Statista,19.75,27.49,35.67,60.59,82.28,20.28,52.38,61.71,72.4,74.96,79.02
Ukraine,Sports & Outdoor,9506,Revenue,Athletic Footwear,million USD (US$),Statista,8.491,12.79,17.2,30.73,41.98,8.644,20.92,23.94,27.27,27.42,28.12
Ukraine,Sports & Outdoor,9506,Revenue,Fishing Articles & Equipment,million USD (US$),Statista,1.704,2.033,2.422,3.974,5.225,1.413,3.631,4.161,4.751,4.843,5.008
Ukraine,Sports & Outdoor,9506,Revenue,Other Sports & Outdoor,million USD (US$),Statista,3.078,3.677,4.385,6.574,8.492,2.339,6.1,7.094,8.222,8.377,8.679
Ukraine,Sports & Outdoor,9506,Revenue,Sports & Swimwear,million USD (US$),Statista,2.302,4.004,5.721,9.109,12.99,4.269,12.55,16.12,20.41,22.35,24.84
Ukraine,Sports & Outdoor,9506,Revenue,Summer Sports Equipment,million USD (US$),Statista,2.582,3.085,3.686,6.121,8.103,2.192,5.631,6.452,7.362,7.508,7.766
Ukraine,Sports & Outdoor,9506,Revenue,Winter Sports Equipment,million USD (US$),Statista,1.595,1.898,2.255,4.085,5.479,1.42,3.542,3.949,4.39,4.469,4.6
Ukraine,Sports & Outdoor,9506,Revenue Change,Total,percent,Statista,,39.19,29.756,69.863,35.798,-75.352,158.284,17.812,17.323,3.536,5.416
Ukraine,Sports & Outdoor,9506,Revenue Change,Athletic Footwear,percent,Statista,,50.63,34.48,78.663,36.609,-79.409,142.018,14.436,13.91,0.55,2.553
Ukraine,Sports & Outdoor,9506,Revenue Change,Fishing Articles & Equipment,percent,Statista,,19.308,19.134,64.079,31.48,-72.957,156.971,14.597,14.179,1.936,3.407
Ukraine,Sports & Outdoor,9506,Revenue Change,Other Sports & Outdoor,percent,Statista,,19.461,19.255,49.92,29.176,-72.456,160.795,16.295,15.901,1.885,3.605
Ukraine,Sports & Outdoor,9506,Revenue Change,Sports & Swimwear,percent,Statista,,73.936,42.882,59.22,42.606,-67.136,193.98,28.446,26.613,9.505,11.141
Ukraine,Sports & Outdoor,9506,Revenue Change,Summer Sports Equipment,percent,Statista,,19.481,19.481,66.061,32.38,-72.948,156.889,14.58,14.104,1.983,3.436
Ukraine,Sports & Outdoor,9506,Revenue Change,Winter Sports Equipment,percent,Statista,,18.997,18.809,81.153,34.125,-74.083,149.437,11.491,11.167,1.8,2.931
Ukraine,Sports & Outdoor,9506,Average Revenue per User,Total,USD (US$),Statista,8.58,9.504,10.06,14.34,16.48,3.501,8.169,8.859,9.636,9.217,9.059
Ukraine,Sports & Outdoor,9506,Average Revenue per User,Athletic Footwear,USD (US$),Statista,6.147,7.372,8.084,12.12,14.02,2.488,5.438,5.726,6.048,5.618,5.373
Ukraine,Sports & Outdoor,9506,Average Revenue per User,Fishing Articles & Equipment,USD (US$),Statista,3.7,3.514,3.416,4.702,5.233,1.22,2.832,2.987,3.162,2.977,2.871
Ukraine,Sports & Outdoor,9506,Average Revenue per User,Other Sports & Outdoor,USD (US$),Statista,7.038,6.691,6.509,8.187,8.952,2.126,5.007,5.36,5.76,5.421,5.236
Ukraine,Sports & Outdoor,9506,Average Revenue per User,Sports & Swimwear,USD (US$),Statista,2.5,3.461,4.034,5.389,6.507,1.843,4.894,5.785,6.791,6.87,7.12
Ukraine,Sports & Outdoor,9506,Average Revenue per User,Summer Sports Equipment,USD (US$),Statista,2.243,2.133,2.079,2.897,3.246,0.757,1.757,1.852,1.96,1.846,1.78
Ukraine,Sports & Outdoor,9506,Average Revenue per User,Winter Sports Equipment,USD (US$),Statista,1.733,1.641,1.59,2.416,2.744,0.613,1.381,1.417,1.461,1.374,1.318
Ukraine,Sports & Outdoor,9506,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Ukraine,Sports & Outdoor,9506,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Ukraine,Sports & Outdoor,9506,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Ukraine,Sports & Outdoor,9506,Online & Offline Split,Offline,percent,Statista,93.765,92.638,91.37,85.074,81.229,84.202,83.989,82.79,81.325,,
Ukraine,Sports & Outdoor,9506,Online & Offline Split,Online,percent,Statista,6.235,7.362,8.63,14.926,18.771,15.798,16.011,17.21,18.675,,
Ukraine,Sports & Outdoor,9506,Mobile/Desktop Split,Desktop,percent,Statista,63.023,60.202,58.653,57.381,56.839,57.291,57.292,57.206,57.139,,
Ukraine,Sports & Outdoor,9506,Mobile/Desktop Split,Mobile,percent,Statista,36.977,39.798,41.347,42.619,43.161,42.709,42.708,42.794,42.861,,
Ukraine,Sports & Outdoor,9506,Users,Total,million users,Statista,2.302,2.893,3.546,4.226,4.992,5.792,6.412,6.967,7.513,8.134,8.723
Ukraine,Sports & Outdoor,9506,Users,Athletic Footwear,million users,Statista,1.381,1.736,2.127,2.536,2.995,3.475,3.847,4.18,4.508,4.88,5.234
Ukraine,Sports & Outdoor,9506,Users,Fishing Articles & Equipment,million users,Statista,0.46,0.579,0.709,0.845,0.998,1.158,1.282,1.393,1.503,1.627,1.745
Ukraine,Sports & Outdoor,9506,Users,Other Sports & Outdoor,million users,Statista,0.437,0.55,0.674,0.803,0.949,1.1,1.218,1.324,1.428,1.545,1.657
Ukraine,Sports & Outdoor,9506,Users,Sports & Swimwear,million users,Statista,0.921,1.157,1.418,1.69,1.997,2.317,2.565,2.787,3.005,3.253,3.489
Ukraine,Sports & Outdoor,9506,Users,Summer Sports Equipment,million users,Statista,1.151,1.446,1.773,2.113,2.496,2.896,3.206,3.483,3.757,4.067,4.362
Ukraine,Sports & Outdoor,9506,Users,Winter Sports Equipment,million users,Statista,0.921,1.157,1.418,1.69,1.997,2.317,2.565,2.787,3.005,3.253,3.489
Ukraine,Sports & Outdoor,9506,Penetration Rate,Athletic Footwear,percent,Statista,3.105,3.923,4.836,5.798,6.891,8.045,8.965,9.806,10.647,11.606,12.534
Ukraine,Sports & Outdoor,9506,Penetration Rate,Fishing Articles & Equipment,percent,Statista,1.035,1.308,1.612,1.933,2.297,2.682,2.988,3.269,3.549,3.869,4.178
Ukraine,Sports & Outdoor,9506,Penetration Rate,Other Sports & Outdoor,percent,Statista,0.983,1.242,1.531,1.836,2.182,2.548,2.839,3.105,3.372,3.675,3.969
Ukraine,Sports & Outdoor,9506,Penetration Rate,Sports & Outdoor,percent,Statista,5.175,6.538,8.059,9.663,11.485,13.409,14.942,16.343,17.746,19.343,20.89
Ukraine,Sports & Outdoor,9506,Penetration Rate,Sports & Swimwear,percent,Statista,2.07,2.615,3.224,3.865,4.594,5.364,5.977,6.537,7.098,7.737,8.356
Ukraine,Sports & Outdoor,9506,Penetration Rate,Summer Sports Equipment,percent,Statista,2.587,3.269,4.03,4.831,5.743,6.704,7.471,8.172,8.873,9.671,10.445
Ukraine,Sports & Outdoor,9506,Penetration Rate,Winter Sports Equipment,percent,Statista,2.07,2.615,3.224,3.865,4.594,5.364,5.977,6.537,7.098,7.737,8.356
Ukraine,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Ukraine,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"Carmax, Inc.",billion USD (US$),Statista Company DB,17.54,18.61,20.78,19.51,,,,,,,
Ukraine,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),Carvana Co.,billion USD (US$),Statista Company DB,0.859,1.955,3.94,5.587,12.81,,,,,,
Ukraine,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"Chewy, Inc.",billion USD (US$),Statista Company DB,2.104,3.533,4.847,7.146,,,,,,,
Ukraine,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),Costco Wholesale Corp.,billion USD (US$),Statista Company DB,129,141.6,152.7,166.8,195.9,,,,,,
Ukraine,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Ukraine,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"Lowe'S Cos., Inc.",billion USD (US$),Statista Company DB,68.62,71.31,72.15,89.6,96.25,,,,,,
Ukraine,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"The Home Depot, Inc.",billion USD (US$),Statista Company DB,100.9,108.2,110.2,132.1,151.2,,,,,,
Ukraine,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),Vroom,billion USD (US$),Statista Company DB,,0.855,1.192,1.358,3.184,,,,,,
Ukraine,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"W.W. Grainger, Inc.",billion USD (US$),Statista Company DB,10.42,11.22,11.49,11.8,13.02,,,,,,
Ukraine,"DIY, Garden & Pets",4419,Revenue,Total,million USD (US$),Statista,12.38,21.7,30.62,49.45,63.52,18.33,46.8,51.36,55.7,57.49,59.53
Ukraine,"DIY, Garden & Pets",4419,Revenue,DIY & Garden,million USD (US$),Statista,12.05,21.25,30.01,48.3,61.55,17.69,44.81,48.69,52.12,53.57,55.14
Ukraine,"DIY, Garden & Pets",4419,Revenue,"Other DIY, Garden & Pets",million USD (US$),Statista,0,0,0,0,0,0,0,0,0,0,0
Ukraine,"DIY, Garden & Pets",4419,Revenue,Pet Food,million USD (US$),Statista,0.323,0.451,0.612,1.15,1.968,0.645,1.983,2.672,3.581,3.924,4.396
Ukraine,"DIY, Garden & Pets",4419,Revenue Change,Total,percent,Statista,,75.283,41.106,61.496,28.453,-71.143,155.319,9.744,8.45,3.214,3.548
Ukraine,"DIY, Garden & Pets",4419,Revenue Change,DIY & Garden,percent,Statista,,76.349,41.224,60.946,27.433,-71.259,153.307,8.659,7.045,2.782,2.931
Ukraine,"DIY, Garden & Pets",4419,Revenue Change,"Other DIY, Garden & Pets",percent,Statista,,�,�,�,�,�,�,�,�,�,�
Ukraine,"DIY, Garden & Pets",4419,Revenue Change,Pet Food,percent,Statista,,39.437,35.714,87.97,71.13,-67.21,207.299,34.745,34.019,9.578,12.029
Ukraine,"DIY, Garden & Pets",4419,Average Revenue per User,Total,USD (US$),Statista,3.662,5.329,6.378,9.002,10.09,2.58,6.033,6.194,6.316,6.11,5.978
Ukraine,"DIY, Garden & Pets",4419,Average Revenue per User,DIY & Garden,USD (US$),Statista,5.094,7.455,8.929,12.56,13.96,3.556,8.254,8.388,8.443,8.132,7.908
Ukraine,"DIY, Garden & Pets",4419,Average Revenue per User,"Other DIY, Garden & Pets",USD (US$),Statista,0,0,0,0,0,0,0,0,0,0,0
Ukraine,"DIY, Garden & Pets",4419,Average Revenue per User,Pet Food,USD (US$),Statista,0.137,0.158,0.182,0.299,0.447,0.13,0.365,0.46,0.58,0.596,0.631
Ukraine,"DIY, Garden & Pets",4419,"Comparable Estimates - DIY, Garden & Pets (Worldwide)",*Statista,billion USD (US$),,108.3,120.9,134,193.1,248.1,247.7,289.7,315.4,342.6,367.6,392.9
Ukraine,"DIY, Garden & Pets",4419,"Comparable Estimates - DIY, Garden & Pets (Worldwide)",Million Insights,billion USD (US$),,,,,96.4,99.68,,,,,,
Ukraine,"DIY, Garden & Pets",4419,Online & Offline Split,Offline,percent,Statista,95.884,95.405,94.449,91.954,90.362,89.746,89.055,88.293,87.424,,
