Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
United Kingdom,Toys & Baby,9503,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,6.43,,,,,,
United Kingdom,Toys & Baby,9503,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,27.01,,,,,,
United Kingdom,Toys & Baby,9503,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,30.547,,,,,,
United Kingdom,Toys & Baby,9503,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,19.936,,,,,,
United Kingdom,Toys & Baby,9503,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,16.077,,,,,,
United Kingdom,Toys & Baby,9503,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,61.415,,,,,,
United Kingdom,Toys & Baby,9503,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,38.585,,,,,,
United Kingdom,Toys & Baby,9503,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,35.87,,,,,,
United Kingdom,Toys & Baby,9503,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,27.174,,,,,,
United Kingdom,Toys & Baby,9503,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,36.957,,,,,,
United Kingdom,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Alibaba Group Holding Ltd.,billion USD (US$),Statista Company DB,37.03,56.96,73.78,103.9,,,,,,,
United Kingdom,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
United Kingdom,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),BANDAI NAMCO Holdings Inc.,billion USD (US$),Statista Company DB,6.047,6.632,6.642,6.939,,,,,,,
United Kingdom,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Build-A-Bear Workshop, Inc.",billion USD (US$),Statista Company DB,0.358,0.337,0.339,0.255,,,,,,,
United Kingdom,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Carter'S, Inc.",billion USD (US$),Statista Company DB,3.444,3.501,3.554,3.051,3.523,,,,,,
United Kingdom,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Costco Wholesale Corp.,billion USD (US$),Statista Company DB,129.0,141.6,152.7,166.8,195.9,,,,,,
United Kingdom,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
United Kingdom,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
United Kingdom,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
United Kingdom,Toys & Baby,9503,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
United Kingdom,Toys & Baby,9503,Revenue,Total,billion USD (US$),Statista,4.079,4.12,4.277,5.076,5.689,5.32,6.487,7.157,7.874,8.335,8.854
United Kingdom,Toys & Baby,9503,Revenue,Baby,billion USD (US$),Statista,0.628,0.653,0.686,0.809,0.883,0.854,1.074,1.219,1.377,1.467,1.573
United Kingdom,Toys & Baby,9503,Revenue,Other Toys & Baby,billion USD (US$),Statista,1.431,1.446,1.501,1.781,1.996,1.866,2.276,2.511,2.763,2.913,3.087
United Kingdom,Toys & Baby,9503,Revenue,Toys,billion USD (US$),Statista,2.019,2.022,2.091,2.486,2.81,2.599,3.137,3.426,3.735,3.954,4.194
United Kingdom,Toys & Baby,9503,Revenue Change,Total,percent,Statista,,1.005,3.811,18.681,12.076,-6.486,21.936,10.328,10.018,5.855,6.227
United Kingdom,Toys & Baby,9503,Revenue Change,Baby,percent,Statista,,3.931,4.992,18.04,9.068,-3.262,25.761,13.501,12.961,6.536,7.226
United Kingdom,Toys & Baby,9503,Revenue Change,Other Toys & Baby,percent,Statista,,1.048,3.804,18.654,12.072,-6.513,21.972,10.325,10.036,5.429,5.973
United Kingdom,Toys & Baby,9503,Revenue Change,Toys,percent,Statista,,0.149,3.412,18.89,13.033,-7.509,20.7,9.213,9.019,5.863,6.07
United Kingdom,Toys & Baby,9503,Average Revenue per User,Total,thousand USD (US$),Statista,0.463,0.421,0.39,0.415,0.425,0.371,0.431,0.463,0.496,0.508,0.526
United Kingdom,Toys & Baby,9503,Average Revenue per User,Baby,thousand USD (US$),Statista,0.119,0.111,0.104,0.11,0.11,0.099,0.119,0.132,0.144,0.149,0.156
United Kingdom,Toys & Baby,9503,Average Revenue per User,Other Toys & Baby,thousand USD (US$),Statista,0.903,0.821,0.761,0.808,0.828,0.723,0.841,0.902,0.967,0.987,1.019
United Kingdom,Toys & Baby,9503,Average Revenue per User,Toys,thousand USD (US$),Statista,0.287,0.258,0.238,0.254,0.262,0.227,0.261,0.277,0.294,0.301,0.311
United Kingdom,Toys & Baby,9503,Comparable Estimates - eCommerce (United Kingdom),*Statista,billion USD (US$),,125.4,129.1,134.2,163.4,177.5,164.1,211.7,239.7,271,286.2,304.8
United Kingdom,Toys & Baby,9503,Comparable Estimates - eCommerce (United Kingdom),Office for National Statistics,billion USD (US$),,,478.9,523.7,,,,,,,,
United Kingdom,Toys & Baby,9503,Comparable Estimates - eCommerce (United Kingdom),UNCTAD,billion USD (US$),,,,251,,,,,,,,
United Kingdom,Toys & Baby,9503,Online & Offline Split,Offline,percent,Statista,54.575,54.391,53.607,48.028,44.429,40.943,38.257,35.263,32.269,,
United Kingdom,Toys & Baby,9503,Online & Offline Split,Online,percent,Statista,45.425,45.609,46.393,51.972,55.571,59.057,61.743,64.737,67.731,,
