Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Uzbekistan,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Adidas Ag,billion USD (US$),Statista Company DB,,26.09,26.7,22.79,25.49,,,,,,
Uzbekistan,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Uzbekistan,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Anta Sports Products Ltd.,billion USD (US$),Statista Company DB,2.535,3.758,5.059,5.348,,,,,,,
Uzbekistan,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Dick'S Sporting Goods, Inc.",billion USD (US$),Statista Company DB,8.59,8.437,8.751,9.584,12.29,,,,,,
Uzbekistan,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Fila Holdings Corp.,billion USD (US$),Statista Company DB,2.24,2.697,2.972,2.662,3.35,,,,,,
Uzbekistan,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Fitbit,billion USD (US$),Statista Company DB,1.616,1.512,1.435,,,,,,,,
Uzbekistan,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Uzbekistan,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Lululemon Athletica, Inc.",billion USD (US$),Statista Company DB,2.649,3.288,3.979,4.402,,,,,,,
Uzbekistan,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Nike, Inc.",billion USD (US$),Statista Company DB,36.4,39.12,37.4,44.54,,,,,,,
Uzbekistan,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Under Armour, Inc.",billion USD (US$),Statista Company DB,4.977,5.193,5.267,4.475,5.685,,,,,,
Uzbekistan,Sports & Outdoor,9506,Revenue,Total,million USD (US$),Statista,5.647,7.369,9.91,16.24,24.15,22.98,27.7,32.44,38.12,41.4,45.11
Uzbekistan,Sports & Outdoor,9506,Revenue,Athletic Footwear,million USD (US$),Statista,2.186,2.797,3.636,5.83,9.103,6.684,7.187,7.834,8.588,8.779,9.02
Uzbekistan,Sports & Outdoor,9506,Revenue,Fishing Articles & Equipment,million USD (US$),Statista,0.492,0.601,0.753,1.259,1.767,1.825,2.187,2.486,2.834,3.12,3.417
Uzbekistan,Sports & Outdoor,9506,Revenue,Other Sports & Outdoor,million USD (US$),Statista,0.858,1.044,1.306,1.976,2.701,2.866,3.507,4.065,4.725,5.191,5.697
Uzbekistan,Sports & Outdoor,9506,Revenue,Sports & Swimwear,million USD (US$),Statista,1.222,1.851,2.877,4.909,7.398,8.347,10.94,13.67,17.01,18.84,21
