Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Vietnam,Sports & Outdoor,9506,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,18.333,,,,,,
Vietnam,Sports & Outdoor,9506,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,36.667,,,,,,
Vietnam,Sports & Outdoor,9506,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,25,,,,,,
Vietnam,Sports & Outdoor,9506,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,12.778,,,,,,
Vietnam,Sports & Outdoor,9506,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,7.22,,,,,,
Vietnam,Sports & Outdoor,9506,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,41.111,,,,,,
Vietnam,Sports & Outdoor,9506,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,58.889,,,,,,
Vietnam,Sports & Outdoor,9506,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,42.683,,,,,,
Vietnam,Sports & Outdoor,9506,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,23.171,,,,,,
Vietnam,Sports & Outdoor,9506,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,34.146,,,,,,
Vietnam,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Adidas Ag,billion USD (US$),Statista Company DB,,26.09,26.7,22.79,25.49,,,,,,
Vietnam,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Vietnam,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Anta Sports Products Ltd.,billion USD (US$),Statista Company DB,2.535,3.758,5.059,5.348,,,,,,,
Vietnam,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Dick'S Sporting Goods, Inc.",billion USD (US$),Statista Company DB,8.59,8.437,8.751,9.584,12.29,,,,,,
Vietnam,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Fila Holdings Corp.,billion USD (US$),Statista Company DB,2.24,2.697,2.972,2.662,3.35,,,,,,
Vietnam,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),Fitbit,billion USD (US$),Statista Company DB,1.616,1.512,1.435,,,,,,,,
Vietnam,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Vietnam,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Lululemon Athletica, Inc.",billion USD (US$),Statista Company DB,2.649,3.288,3.979,4.402,,,,,,,
Vietnam,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Nike, Inc.",billion USD (US$),Statista Company DB,36.4,39.12,37.4,44.54,,,,,,,
Vietnam,Sports & Outdoor,9506,Top Company Revenues (Worldwide & Consolidated),"Under Armour, Inc.",billion USD (US$),Statista Company DB,4.977,5.193,5.267,4.475,5.685,,,,,,
Vietnam,Sports & Outdoor,9506,Revenue,Total,million USD (US$),Statista,59.07,76.11,98.36,159.2,260.9,265.6,317,355.6,401.7,443.6,485.7
Vietnam,Sports & Outdoor,9506,Revenue,Athletic Footwear,million USD (US$),Statista,15.72,17.35,20.52,33.63,49.67,52.54,65.17,76.01,89.28,98.22,108
Vietnam,Sports & Outdoor,9506,Revenue,Fishing Articles & Equipment,million USD (US$),Statista,9.603,13.27,17.74,28.56,49,49.44,58.43,64.87,72.47,80.35,88.05
Vietnam,Sports & Outdoor,9506,Revenue,Other Sports & Outdoor,million USD (US$),Statista,13.47,17.36,22.44,36.31,59.52,60.6,72.32,81.13,91.64,101.4,111.1
Vietnam,Sports & Outdoor,9506,Revenue,Sports & Swimwear,million USD (US$),Statista,4.115,5.795,7.838,11.57,16.99,17.43,20.88,23.4,26.29,29.02,31.76
Vietnam,Sports & Outdoor,9506,Revenue,Summer Sports Equipment,million USD (US$),Statista,14.82,20.49,27.37,44.85,77.97,78.07,91.59,101,112,123.7,135
Vietnam,Sports & Outdoor,9506,Revenue,Winter Sports Equipment,million USD (US$),Statista,1.329,1.837,2.454,4.271,7.773,7.561,8.628,9.264,10.02,10.88,11.65
Vietnam,Sports & Outdoor,9506,Revenue Change,Total,percent,Statista,,28.847,29.234,61.854,63.882,1.801,19.352,12.177,12.964,10.431,9.491
Vietnam,Sports & Outdoor,9506,Revenue Change,Athletic Footwear,percent,Statista,,10.369,18.271,63.889,47.696,5.778,24.039,16.633,17.458,10.013,9.957
Vietnam,Sports & Outdoor,9506,Revenue Change,Fishing Articles & Equipment,percent,Statista,,38.186,33.685,60.992,71.569,0.898,18.184,11.022,11.716,10.873,9.583
Vietnam,Sports & Outdoor,9506,Revenue Change,Other Sports & Outdoor,percent,Statista,,28.879,29.263,61.809,63.922,1.815,19.34,12.182,12.955,10.65,9.566
Vietnam,Sports & Outdoor,9506,Revenue Change,Sports & Swimwear,percent,Statista,,40.826,35.255,47.614,46.845,2.59,19.793,12.069,12.35,10.384,9.442
Vietnam,Sports & Outdoor,9506,Revenue Change,Summer Sports Equipment,percent,Statista,,38.259,33.577,63.866,73.846,0.128,17.318,10.274,10.891,10.446,9.135
Vietnam,Sports & Outdoor,9506,Revenue Change,Winter Sports Equipment,percent,Statista,,38.224,33.587,74.042,81.995,-2.727,14.112,7.371,8.161,8.583,7.077
Vietnam,Sports & Outdoor,9506,Average Revenue per User,Total,USD (US$),Statista,9.016,8.744,9.566,13.21,18.5,16.37,17.42,18.03,18.83,19.23,19.64
Vietnam,Sports & Outdoor,9506,Average Revenue per User,Athletic Footwear,USD (US$),Statista,4,3.323,3.325,4.653,5.869,5.397,5.968,6.421,6.976,7.098,7.283
Vietnam,Sports & Outdoor,9506,Average Revenue per User,Fishing Articles & Equipment,USD (US$),Statista,7.329,7.625,8.625,11.85,17.37,15.24,16.05,16.44,16.99,17.42,17.81
Vietnam,Sports & Outdoor,9506,Average Revenue per User,Other Sports & Outdoor,USD (US$),Statista,10.82,10.5,11.48,15.86,22.21,19.66,20.91,21.64,22.61,23.13,23.66
Vietnam,Sports & Outdoor,9506,Average Revenue per User,Sports & Swimwear,USD (US$),Statista,1.57,1.665,1.906,2.401,3.011,2.686,2.868,2.965,3.081,3.146,3.212
Vietnam,Sports & Outdoor,9506,Average Revenue per User,Summer Sports Equipment,USD (US$),Statista,4.525,4.707,5.325,7.444,11.06,9.623,10.07,10.23,10.5,10.73,10.92
Vietnam,Sports & Outdoor,9506,Average Revenue per User,Winter Sports Equipment,USD (US$),Statista,0.507,0.527,0.597,0.886,1.378,1.165,1.185,1.174,1.174,1.179,1.178
Vietnam,Sports & Outdoor,9506,Comparable Estimates - eCommerce (Southeast Asia),*Statista,billion USD (US$),,28.85,40.7,56.22,84.2,124.6,126.4,158.5,183.2,212.5,230.3,249.7
