Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Zambia,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Zambia,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"Carmax, Inc.",billion USD (US$),Statista Company DB,17.54,18.61,20.78,19.51,,,,,,,
Zambia,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),Carvana Co.,billion USD (US$),Statista Company DB,0.859,1.955,3.94,5.587,12.81,,,,,,
Zambia,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"Chewy, Inc.",billion USD (US$),Statista Company DB,2.104,3.533,4.847,7.146,,,,,,,
Zambia,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),Costco Wholesale Corp.,billion USD (US$),Statista Company DB,129,141.6,152.7,166.8,195.9,,,,,,
Zambia,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Zambia,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"Lowe'S Cos., Inc.",billion USD (US$),Statista Company DB,68.62,71.31,72.15,89.6,96.25,,,,,,
Zambia,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"The Home Depot, Inc.",billion USD (US$),Statista Company DB,100.9,108.2,110.2,132.1,151.2,,,,,,
Zambia,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),Vroom,billion USD (US$),Statista Company DB,,0.855,1.192,1.358,3.184,,,,,,
Zambia,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"W.W. Grainger, Inc.",billion USD (US$),Statista Company DB,10.42,11.22,11.49,11.8,13.02,,,,,,
Zambia,"DIY, Garden & Pets",4419,Revenue,Total,million USD (US$),Statista,1.42,1.867,2.478,3.977,5.099,5.631,6.578,7.062,7.585,8.144,8.65
Zambia,"DIY, Garden & Pets",4419,Revenue,DIY & Garden,million USD (US$),Statista,1.325,1.738,2.305,3.646,4.578,4.961,5.601,5.822,5.939,6.323,6.607
Zambia,"DIY, Garden & Pets",4419,Revenue,"Other DIY, Garden & Pets",million USD (US$),Statista,0,0,0,0,0,0,0,0,0,0,0
Zambia,"DIY, Garden & Pets",4419,Revenue,Pet Food,million USD (US$),Statista,0.095,0.129,0.173,0.331,0.521,0.67,0.977,1.24,1.646,1.82,2.043
Zambia,"DIY, Garden & Pets",4419,Revenue Change,Total,percent,Statista,,31.479,32.726,60.492,28.212,10.433,16.818,7.358,7.406,7.37,6.213
Zambia,"DIY, Garden & Pets",4419,Revenue Change,DIY & Garden,percent,Statista,,31.17,32.624,58.178,25.562,8.366,12.901,3.946,2.01,6.466,4.492
Zambia,"DIY, Garden & Pets",4419,Revenue Change,"Other DIY, Garden & Pets",percent,Statista,,�,�,�,�,�,�,�,�,�,�
Zambia,"DIY, Garden & Pets",4419,Revenue Change,Pet Food,percent,Statista,,35.462,34.109,91.561,57.151,28.744,45.742,26.893,32.742,10.571,12.253
Zambia,"DIY, Garden & Pets",4419,Average Revenue per User,Total,USD (US$),Statista,3.067,3.017,2.984,3.768,3.798,3.371,3.392,3.213,3.074,2.995,2.909
Zambia,"DIY, Garden & Pets",4419,Average Revenue per User,DIY & Garden,USD (US$),Statista,4.088,4.013,3.966,4.935,4.871,4.242,4.125,3.785,3.439,3.322,3.174
Zambia,"DIY, Garden & Pets",4419,Average Revenue per User,"Other DIY, Garden & Pets",USD (US$),Statista,0,0,0,0,0,0,0,0,0,0,0
Zambia,"DIY, Garden & Pets",4419,Average Revenue per User,Pet Food,USD (US$),Statista,0.294,0.298,0.298,0.449,0.554,0.574,0.72,0.806,0.953,0.956,0.982
Zambia,"DIY, Garden & Pets",4419,"Comparable Estimates - DIY, Garden & Pets (Worldwide)",*Statista,billion USD (US$),,108.3,120.9,134,193.1,248.1,247.7,289.7,315.4,342.6,367.6,392.9
Zambia,"DIY, Garden & Pets",4419,"Comparable Estimates - DIY, Garden & Pets (Worldwide)",Million Insights,billion USD (US$),,,,,96.4,99.68,,,,,,
Zambia,"DIY, Garden & Pets",4419,Online & Offline Split,Offline,percent,Statista,97.698,97.35,96.704,95.256,94.037,93.37,92.643,91.863,91.025,,
