Region,Market,Market_HSN,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Zimbabwe,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Zimbabwe,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"Carmax, Inc.",billion USD (US$),Statista Company DB,17.54,18.61,20.78,19.51,,,,,,,
Zimbabwe,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),Carvana Co.,billion USD (US$),Statista Company DB,0.859,1.955,3.94,5.587,12.81,,,,,,
Zimbabwe,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"Chewy, Inc.",billion USD (US$),Statista Company DB,2.104,3.533,4.847,7.146,,,,,,,
Zimbabwe,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),Costco Wholesale Corp.,billion USD (US$),Statista Company DB,129,141.6,152.7,166.8,195.9,,,,,,
Zimbabwe,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Zimbabwe,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"Lowe'S Cos., Inc.",billion USD (US$),Statista Company DB,68.62,71.31,72.15,89.6,96.25,,,,,,
Zimbabwe,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"The Home Depot, Inc.",billion USD (US$),Statista Company DB,100.9,108.2,110.2,132.1,151.2,,,,,,
Zimbabwe,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),Vroom,billion USD (US$),Statista Company DB,,0.855,1.192,1.358,3.184,,,,,,
Zimbabwe,"DIY, Garden & Pets",4419,Top Company Revenues (Worldwide & Consolidated),"W.W. Grainger, Inc.",billion USD (US$),Statista Company DB,10.42,11.22,11.49,11.8,13.02,,,,,,
Zimbabwe,"DIY, Garden & Pets",4419,Revenue,Total,million USD (US$),Statista,1.869,3.816,3.705,4.302,5.39,6.051,7.176,8.126,9.37,9.946,10.64
Zimbabwe,"DIY, Garden & Pets",4419,Revenue,DIY & Garden,million USD (US$),Statista,1.795,3.72,3.565,3.87,4.585,4.853,5.291,5.353,5.309,5.468,5.554
Zimbabwe,"DIY, Garden & Pets",4419,Revenue,"Other DIY, Garden & Pets",million USD (US$),Statista,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,"DIY, Garden & Pets",4419,Revenue,Pet Food,million USD (US$),Statista,0.074,0.096,0.14,0.432,0.805,1.197,1.884,2.772,4.061,4.478,5.083
Zimbabwe,"DIY, Garden & Pets",4419,Revenue Change,Total,percent,Statista,,104.173,-2.909,16.113,25.291,12.263,18.592,13.239,15.309,6.147,6.978
Zimbabwe,"DIY, Garden & Pets",4419,Revenue Change,DIY & Garden,percent,Statista,,107.242,-4.167,8.555,18.475,5.845,9.025,1.172,-0.822,2.995,1.573
Zimbabwe,"DIY, Garden & Pets",4419,Revenue Change,"Other DIY, Garden & Pets",percent,Statista,,�,�,�,�,�,�,�,�,�,�
Zimbabwe,"DIY, Garden & Pets",4419,Revenue Change,Pet Food,percent,Statista,,30.72,45.099,209.527,86.369,48.64,57.393,47.134,46.501,10.268,13.51
Zimbabwe,"DIY, Garden & Pets",4419,Average Revenue per User,Total,USD (US$),Statista,4.194,5.283,4.236,4.378,4.393,4.007,4.17,4.236,4.417,4.271,4.199
Zimbabwe,"DIY, Garden & Pets",4419,Average Revenue per User,DIY & Garden,USD (US$),Statista,5.755,7.357,5.823,5.626,5.338,4.592,4.393,3.987,3.575,3.354,3.132
Zimbabwe,"DIY, Garden & Pets",4419,Average Revenue per User,"Other DIY, Garden & Pets",USD (US$),Statista,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,"DIY, Garden & Pets",4419,Average Revenue per User,Pet Food,USD (US$),Statista,0.236,0.19,0.228,0.628,0.938,1.133,1.564,2.065,2.734,2.747,2.866
Zimbabwe,"DIY, Garden & Pets",4419,"Comparable Estimates - DIY, Garden & Pets (Worldwide)",*Statista,billion USD (US$),,108.3,120.9,134,193.1,248.1,247.7,289.7,315.4,342.6,367.6,392.9
Zimbabwe,"DIY, Garden & Pets",4419,"Comparable Estimates - DIY, Garden & Pets (Worldwide)",Million Insights,billion USD (US$),,,,,96.4,99.68,,,,,,
Zimbabwe,"DIY, Garden & Pets",4419,Online & Offline Split,Offline,percent,Statista,97.727,97.413,96.86,95.511,94.372,93.673,92.915,92.102,91.224,,
Zimbabwe,"DIY, Garden & Pets",4419,Online & Offline Split,Online,percent,Statista,2.273,2.587,3.14,4.489,5.628,6.327,7.085,7.898,8.776,,
Zimbabwe,"DIY, Garden & Pets",4419,Mobile/Desktop Split,Desktop,percent,Statista,99.939,99.927,99.911,99.811,99.731,99.633,99.524,99.388,99.217,,
Zimbabwe,"DIY, Garden & Pets",4419,Mobile/Desktop Split,Mobile,percent,Statista,0.061,0.073,0.089,0.189,0.269,0.367,0.476,0.612,0.783,,
Zimbabwe,"DIY, Garden & Pets",4419,Users,Total,million users,Statista,0.446,0.722,0.875,0.983,1.227,1.51,1.721,1.918,2.121,2.329,2.533
Zimbabwe,"DIY, Garden & Pets",4419,Users,DIY & Garden,million users,Statista,0.312,0.506,0.612,0.688,0.859,1.057,1.205,1.343,1.485,1.63,1.773
Zimbabwe,"DIY, Garden & Pets",4419,Users,"Other DIY, Garden & Pets",million users,Statista,0.111,0.181,0.219,0.246,0.307,0.378,0.43,0.48,0.53,0.582,0.633
Zimbabwe,"DIY, Garden & Pets",4419,Users,Pet Food,million users,Statista,0.312,0.506,0.612,0.688,0.859,1.057,1.205,1.343,1.485,1.63,1.773
Zimbabwe,"DIY, Garden & Pets",4419,Penetration Rate,"DIY, Garden & Pets",percent,Statista,3.13,5.003,5.972,6.611,8.13,9.849,11.044,12.11,13.168,14.207,15.188
Zimbabwe,"DIY, Garden & Pets",4419,Penetration Rate,DIY & Garden,percent,Statista,2.191,3.502,4.181,4.628,5.691,6.894,7.731,8.477,9.218,9.945,10.632
Zimbabwe,"DIY, Garden & Pets",4419,Penetration Rate,"Other DIY, Garden & Pets",percent,Statista,0.783,1.251,1.493,1.653,2.032,2.462,2.761,3.028,3.292,3.552,3.797
Zimbabwe,"DIY, Garden & Pets",4419,Penetration Rate,Pet Food,percent,Statista,2.191,3.502,4.181,4.628,5.691,6.894,7.731,8.477,9.218,9.945,10.632
Zimbabwe,Hobby & Stationery,9619,Top Company Revenues (Worldwide & Consolidated),"Amazon.com, Inc.",billion USD (US$),Statista Company DB,177.9,232.9,280.5,386.1,469.8,,,,,,
Zimbabwe,Hobby & Stationery,9619,Top Company Revenues (Worldwide & Consolidated),Askul Corp.,billion USD (US$),Statista Company DB,3.213,3.509,3.673,3.954,,,,,,,
Zimbabwe,Hobby & Stationery,9619,Top Company Revenues (Worldwide & Consolidated),"Canon, Inc.",billion USD (US$),Statista Company DB,36.37,35.79,32.96,29.6,,,,,,,
Zimbabwe,Hobby & Stationery,9619,Top Company Revenues (Worldwide & Consolidated),Costco Wholesale Corp.,billion USD (US$),Statista Company DB,129,141.6,152.7,166.8,195.9,,,,,,
Zimbabwe,Hobby & Stationery,9619,Top Company Revenues (Worldwide & Consolidated),"Coupang, Inc.",billion USD (US$),Statista Company DB,,,6.273,11.97,18.41,,,,,,
Zimbabwe,Hobby & Stationery,9619,Top Company Revenues (Worldwide & Consolidated),"JD.com, Inc.",billion USD (US$),Statista Company DB,53.61,69.83,84.07,108.1,,,,,,,
Zimbabwe,Hobby & Stationery,9619,Top Company Revenues (Worldwide & Consolidated),"Suning.Com Co., Ltd.",billion USD (US$),Statista Company DB,27.7,36.89,38.82,36.42,,,,,,,
Zimbabwe,Hobby & Stationery,9619,Top Company Revenues (Worldwide & Consolidated),Target Corp.,billion USD (US$),Statista Company DB,71.88,75.36,78.11,93.56,106,,,,,,
Zimbabwe,Hobby & Stationery,9619,Top Company Revenues (Worldwide & Consolidated),"The Home Depot, Inc.",billion USD (US$),Statista Company DB,100.9,108.2,110.2,132.1,151.2,,,,,,
Zimbabwe,Hobby & Stationery,9619,Top Company Revenues (Worldwide & Consolidated),"Walmart, Inc.",billion USD (US$),Statista Company DB,500.3,514.4,524,559.2,572.8,,,,,,
Zimbabwe,Hobby & Stationery,9619,Revenue,Total,million USD (US$),Statista,2.033,2.189,2.488,12.35,6.477,7.854,10.22,12.78,15.57,17.09,18.91
